ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
1970;1.974.751.667;872.1;2.749.015.861;2.232.733.333;1.158.237.597;6.791.122.222;1644.95;1053.85;1.450.808.333;1.299.966.667;1.137.416.491;1430.8;1.335.546.667;2.172.788.333;1.184.635;8.222.088.889;721;1.613.902.321;1.180.815.931;5.138.666.667;1947.2;1231.95;1.497.644.574;1.473.460.152;8.015.666.667;1.483.878.997;1340.6
1971;1.922.765;;3.127.378.571;1.983.266.667;;941.8;1833.9;1331.55;1463.77;1.826.125;1.265.559.794;1.573.576.667;1.480.466.667;2.207.115.117;277.8;7.650.660.714;1.252.775;1.644.089.341;1.580.503.569;1544.3;1439.5;;1.390.372.384;1.659.415.568;;137.110.683;1397.9
1972;2.044.265;;2.844.758.701;2.016.733.333;;93;1350.2;973.675;1626.4;1467.25;1.324.769.287;1.749.033.333;1.765.514.286;2.216.988.422;;1051.7;;1.907.615.751;1.436.975.674;;2674;152.5;2.119.581.594;1.873.910.897;;1.611.193.764;1373.15
1973;2.100.766.667;;2.952.473.366;2.489.333.333;9.970.637.363;1.193.977.273;1407.8;1113.05;1486.58;1.878.501.667;1.338.939.434;1.488.376.667;158.982.381;2.495.159.191;1.307.926.667;8.949.809.091;1150.7;1.727.002.015;1.482.232.375;9.597.083.333;2462.2;537.3;1.834.707.797;1.860.868.214;1328.1;153.111.276;1.619.666.667
1974;2.029.366.667;492.9;2.878.937.459;2.810.783.333;1.301.821.429;1.425.367.576;1291;1115.25;1.429.736.667;2208.55;116.109.442;1.490.610.119;1.659.785.714;2.647.369.812;1.480.525;1.207.786.667;1663.18;152.807.033;1.136.589.047;1.348.233.333;2784.7;1760.7;1.333.340.065;1.485.229.194;2004.6;1.432.704.341;1624.7
1975;1.993.066.667;2536.9;3.030.576.745;2.485.216.667;1.137.188.462;1165.43;1353.9;1.303.215;1.200.112.143;1643.96;1.167.462.822;1.411.763.889;1.509.888.095;258.830.915;824.63;9.908.788.889;1045.75;1.630.157.509;1.451.993.681;952.15;2413.4;1240.4;1.571.722.165;1.684.776.923;1715.1;1410.55;1.455.641.667
1976;2011;2030.2;2.744.654.035;2.038.566.667;9.101.642.857;8.066.166.667;1503.1;1770.39;1.635.260.714;1.283.945.811;1.317.066.088;1.676.423.611;1515.85;1.928.197.141;904.79;7.847.844.444;7.971.463.889;1.729.994.506;1.510.594.714;683.95;2073.2;2134.2;1.562.975.256;1.680.722.868;1068.6;1.958.977.501;1.510.725
1977;2.283.566.667;1.860.066.667;2.800.051.281;2600.4;1.171.633.069;120.424.697;1221.1;1744.95;1.427.048.056;1.692.549.359;1.166.071.852;1.453.400.278;16.291.125;2.301.215.952;1.218.435;9.866.766.667;119.196.202;1.472.519.414;1.269.580.716;983.55;2430.7;1630.4;1.754.531.461;164.108.619;1.617.133.333;1.482.319.973;1588
1978;2221.35;1668.4;2.841.294.152;2754.05;1.298.521.552;9.882.848.485;1580.7;1.684.051.111;1.574.979.798;1.646.980.128;138.034.602;1.182.787.778;1.724.982.738;215.193.744;1.202.851.667;1027.98;1.043.578.636;1.249.631.593;1.094.010.789;7.143.466.667;2282.7;1443.05;1.294.010.963;1.308.288.132;1292.3;1.459.013.839;1791.2
1979;1.252.033.333;996.1;2.502.293.878;2.089.966.667;1.023.320.074;594.380.303;1250.7;1.361.207.493;1.098.564.762;1.295.258.333;1.334.039.581;1.055.456.667;1.443.852.976;1.978.153.673;647.05;668.21;7.662.602.976;1.375.519.597;122.717.908;4.109.166.667;995.3;695.9;1.233.301.577;1.195.160.401;1.030.633.333;1.195.468.129;1357.68
1980;1.984.083.333;1.069.916.667;2.307.089.293;2.048.966.667;1.169.953.941;6.144.090.909;1662.5;9.942.933.333;1.740.181.818;1.364.176.923;1.129.296.816;993.7;1.863.880.357;2.016.118.382;453.6;7.135.333.333;7.013.720.588;1.718.326.282;1.050.715.789;535.25;1228.1;1986.7;1.572.917.885;1.664.008.109;949.7;1.287.732.387;1.749.015
1981;1958.3;;2.296.700.202;2.067.766.667;;4.944.194.444;1869.6;9.238.544.444;1.515.230.556;1.082.723.077;1.221.919.766;9.002.277.778;1.607.916.071;1.538.084.265;461.11;579.18;6.223.636.869;1.420.412.363;939.326.634;370.36;1078.2;1727;1.280.478.436;1.385.703.287;;1.249.199.795;1.447.675
1982;2.374.833.333;1225.71;2.429.664.809;2379.25;;738.049.697;1476.7;844.65;1.828.281.818;1.220.546.154;1.200.412.118;1.422.190.833;1.686.228.571;20.326.875;8.351.783.334;6.584.424.207;7.660.690.406;1.772.372.727;1.121.959.881;6.137.666.667;1537.1;1332.3;1.677.456.359;1.729.325;;1.724.488.235;1586.34
1983;1.897.233.333;868.165;2.111.076.667;1.733.466.667;8.897.690.598;4.636.621.212;2014.9;1.766.643.333;1.977.545.455;1.040.355.128;196.996.501;1.641.561.111;1.767.895.238;1.550.303.333;605.68;608.6;6.747.867.647;2.294.728.788;1.745.805.079;3.678.285.714;2310.3;1154.5;2.013.912.858;2.744.498.672;6.583.166.667;2.143.876.402;1676.6
1984;2.213.433.333;;2.710.702.344;2.522.916.667;;1.148.083.333;1192.3;277.6;1.400.390.152;1.638.007.692;9.333.122.673;1290.41;1.283.864.286;256.659.625;1147.54;1.052.644.444;116.916.619;1.580.918.182;1.012.829.524;1028.5;;1940.7;1.981.302.198;1.764.258.333;;1.237.877.778;1291.02
1985;1.882.633.333;;2.443.589.286;2943.6;;1944.3;1515.7;43.8;1.657.291.667;2.626.938.462;1.405.352.584;1.050.845.238;1.309.595.238;302.891.375;2380.5;1.411.711.111;1796.73;1.082.855.952;1.664.625;1.613.175;;1716.2;1.422.872.817;1.368.635;;1.374.282.657;2.239.036.667
1986;2357.1;1244.46;2.644.976.264;2752.05;7.592.741.379;1523;978.05;857;1.425.326.515;1.847.392.308;1.138.175.739;;1585.5;24.573.375;2277.4;1.600.566.667;986.5;1.652.983.333;1.457.085.119;1507.65;;1539.2;1.582.816.667;1.623.633.333;1.266.933.333;1.679.523.684;1674.2
1987;2056.4;1.006.035;2.362.636.667;2.171.433.333;8.153.698.276;748.4;1529.75;1242.35;1.568.663.056;1.313.246.154;1.277.760.661;;1.398.020.238;189.584.875;1965.5;1137.45;943;163.190.803;1.546.316.667;1.036.266.667;1699.1;1179.5;1.845.441.667;1.764.744.643;9.693.333.333;1.542.144.737;1628.68
