,CreditScore,Age,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,Gender_Male,Tenure_4-6,Tenure_7-10,Balance_150k+,Balance_Até 100k,Balance_Zerada,NumOfProducts_NumProd2+
0,0.619,42,1,1,101348.88,1,0,0,0,0,0,0,0,1,0
1,0.608,41,0,1,112542.58,0,0,1,0,0,0,0,1,0,0
2,0.502,42,1,0,113931.57,1,0,0,0,0,1,1,0,0,1
3,0.699,39,0,0,93826.63,0,0,0,0,0,0,0,0,1,1
4,0.85,43,1,1,79084.1,0,0,1,0,0,0,0,0,0,0
5,0.645,44,1,0,149756.71,1,0,1,1,0,1,0,0,0,1
6,0.822,50,1,1,10062.8,0,0,0,1,0,1,0,0,1,1
7,0.376,29,1,0,119346.88,1,1,0,0,1,0,0,0,0,1
8,0.501,44,0,1,74940.5,0,0,0,1,1,0,0,0,0,1
9,0.684,27,1,1,71725.73,0,0,0,1,0,0,0,0,0,0
10,0.528,31,0,0,80181.12,0,0,0,1,1,0,0,0,0,1
11,0.497,24,1,0,76390.01,0,0,1,1,0,0,0,0,1,1
12,0.476,34,1,0,26260.98,0,0,0,0,0,1,0,0,1,1
13,0.549,25,0,0,190857.79,0,0,0,0,1,0,0,0,1,1
14,0.635,35,1,1,65951.65,0,0,1,0,0,1,0,0,1,1
15,0.616,45,0,1,64327.26,0,1,0,1,0,0,0,0,0,1
16,0.653,58,1,0,5097.67,1,1,0,1,0,0,0,0,0,0
17,0.549,24,1,1,14406.41,0,0,1,0,0,1,0,0,1,1
18,0.587,45,0,0,158684.81,0,0,1,1,1,0,0,0,1,0
19,0.726,24,1,1,54724.03,0,0,0,0,1,0,0,0,1,1
20,0.732,41,1,1,170886.17,0,0,0,1,0,1,0,0,1,1
21,0.636,32,1,0,138555.46,0,0,1,0,0,1,0,0,1,1
22,0.51,38,1,0,118913.53,1,0,1,0,1,0,0,0,1,0
23,0.669,46,0,1,8487.75,0,0,0,1,0,0,0,0,1,1
24,0.846,38,1,1,187616.16,0,0,0,0,1,0,0,0,1,0
25,0.577,25,0,1,124508.29,0,0,0,1,0,0,0,0,1,1
26,0.756,36,1,1,170041.95,0,1,0,1,0,0,0,0,0,0
27,0.571,44,0,0,38433.35,0,0,0,1,0,1,0,0,1,1
28,0.574,43,1,1,100187.43,0,1,0,0,0,0,0,0,0,0
29,0.411,29,1,1,53483.21,0,0,0,1,0,0,0,1,0,1
30,0.591,39,1,0,140469.38,1,0,1,0,0,0,0,0,1,1
31,0.533,36,0,1,156731.91,0,0,0,1,0,1,0,1,0,0
32,0.553,41,0,0,81898.81,0,1,0,1,0,1,0,0,0,1
33,0.52,42,1,1,34410.55,0,0,1,0,1,0,0,0,1,1
34,0.722,29,1,1,142033.07,0,0,1,0,0,1,0,0,1,1
35,0.475,45,1,0,27822.99,1,0,0,0,0,0,0,0,0,0
36,0.49,31,0,1,114066.77,0,0,1,1,0,0,0,0,0,0
37,0.804,33,0,1,98453.45,0,0,1,1,0,1,0,1,0,0
38,0.85,36,1,1,40812.9,0,0,0,1,0,1,0,0,1,0
39,0.582,41,0,1,178074.04,0,1,0,1,1,0,0,1,0,1
40,0.472,40,1,0,70154.22,0,0,1,1,1,0,0,0,1,0
41,0.465,51,0,0,181297.65,1,0,0,0,0,1,0,0,0,0
42,0.556,61,1,1,94153.83,0,0,0,0,0,0,0,0,0,0
43,0.834,49,0,0,194365.76,1,0,0,0,0,0,0,0,0,0
44,0.66,61,1,1,158338.39,0,0,1,0,1,0,1,0,0,0
45,0.776,32,1,1,126517.46,0,1,0,0,1,0,0,0,0,1
46,0.829,27,1,1,119708.21,1,1,0,0,0,1,0,0,0,0
47,0.637,39,1,1,117622.8,1,1,0,0,0,1,0,0,0,0
48,0.55,38,0,1,90878.13,0,1,0,1,0,0,0,0,0,0
49,0.776,37,1,0,194099.12,0,1,0,0,0,0,0,0,0,1
50,0.698,44,1,0,198059.16,0,1,0,1,0,1,0,0,0,1
51,0.585,36,0,0,86424.57,0,1,0,1,1,0,0,0,0,1
52,0.788,33,0,0,116978.19,0,0,0,0,1,0,0,0,1,1
53,0.655,41,0,0,164040.94,1,1,0,1,0,1,0,0,0,0
54,0.601,42,1,0,40014.76,1,1,0,1,0,0,0,1,0,0
55,0.619,43,1,1,113410.49,0,0,0,1,0,0,0,0,0,0
56,0.656,45,1,0,87107.57,0,0,0,1,1,0,0,0,0,0
57,0.725,19,0,0,45613.75,0,1,0,1,0,0,0,1,0,0
58,0.511,66,1,0,1643.11,1,0,1,0,1,0,0,0,1,0
59,0.614,51,1,1,46775.28,0,0,0,1,1,0,0,1,0,0
60,0.742,35,0,0,84509.57,0,1,0,1,1,0,0,0,0,0
61,0.687,27,0,0,126494.82,0,1,0,0,0,1,1,0,0,1
