Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Pane
Data Inicial: 2013-06-23
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-06-30;null;null;null;null;null;null;
2013-07-31;0;null;22.061021;7.2;null;null;
2013-08-31;0;null;23.52379;7.5;null;null;
2013-09-30;15;null;26.217639;6.9;null;null;
2013-10-31;157;null;25.544624;8.7;null;null;
2013-11-30;200;null;24.3775;6.4;null;null;
2013-12-31;226.2;null;24.166263;9.5;null;null;
2014-01-31;177.2;null;24.23629;7.2;null;null;
2014-02-28;129.2;null;24.178571;8.6;null;null;
2014-03-31;211;null;24.162097;8.5;null;null;
2014-04-30;202.4;null;24.320972;null;null;null;
2014-05-31;1.8;null;22.740042;null;null;null;
2014-06-30;3.4;null;22.352222;null;null;null;
2014-07-31;45.4;null;22.131855;null;null;null;
2014-08-31;0;null;24.596371;null;null;null;
2014-09-30;36;null;26.918472;null;null;null;
2014-10-31;86.2;null;27.016667;null;null;null;
2014-11-30;264.8;null;24.785215;null;null;null;
2014-12-31;481;null;23.708602;6.1;null;null;
2015-01-31;140.4;null;25.764697;6.3;null;null;
2015-02-28;233.6;null;24.209226;7;null;null;
2015-03-31;null;null;23.594167;6.6;null;null;
2015-04-30;null;null;24.301515;6.7;null;null;
2015-05-31;131.2;null;22.687231;6;null;null;
2015-06-30;3.2;null;22.230139;5.6;null;null;
2015-07-31;1;null;22.588307;6.6;null;null;
2015-08-31;.2;null;24.345565;6.3;null;null;
2015-09-30;10.6;null;27.461528;8.2;null;null;
2015-10-31;59.2;null;28.573796;10.7;null;null;
2015-11-30;161;null;26.437351;null;null;null;
2015-12-31;151.8;null;null;null;null;null;
2016-01-31;495.2;null;24.021774;7.2;null;null;
2016-02-29;103.6;null;25.57069;8.8;null;null;
2016-03-31;119.4;null;25.294086;7.6;null;null;
2016-04-30;8.2;null;25.705972;6.3;null;null;
2016-05-31;.4;null;24.701882;5.2;null;null;
2016-06-30;0;null;22.793472;6;null;null;
2016-07-31;0;null;23.399328;6.9;null;null;
2016-08-31;46.2;null;24.671237;8.7;null;null;
2016-09-30;23.6;null;27.010556;10;null;null;
2016-10-31;138.6;null;26.122172;8.6;null;null;
2016-11-30;268;null;24.496296;11.8;null;null;
2016-12-31;197;null;24.899866;6;null;null;
2017-01-31;169.6;null;24.62379;5.9;null;null;
2017-02-28;215.2;null;24.362054;5.9;null;null;
2017-03-31;132.2;null;24.843952;5.8;null;null;
2017-04-30;50.4;null;24.820694;5;null;null;
2017-05-31;61.2;null;24.193011;6;null;null;
2017-06-30;0;null;22.576806;7.1;null;null;
2017-07-31;0;null;20.944624;6.8;null;null;
2017-08-31;0;null;25.162634;6.6;null;null;
2017-09-30;32;null;26.638194;12.2;null;null;
2017-10-31;53.6;null;27.57957;6.6;null;null;
2017-11-30;270.8;null;24.952361;8;null;null;
2017-12-31;359.4;null;24.18629;6.7;null;null;
2018-01-31;203.8;null;24.520161;6.7;null;null;
2018-02-28;215;null;24.471577;7.6;null;null;
2018-03-31;227;null;24.931855;9.2;null;null;
2018-04-30;null;null;23.973838;4.5;null;null;
2018-05-31;null;null;22.546226;5.2;null;null;
2018-06-30;null;null;22.385174;5.5;null;null;
2018-07-31;0;null;22.518011;5.4;null;null;
2018-08-31;16;null;25.057124;6;null;null;
2018-09-30;74.2;null;25.996679;7.8;null;null;
2018-10-31;150.8;null;25.946009;7.4;null;null;
2018-11-30;null;null;null;6.7;null;null;
2018-12-31;350;null;24.862412;5.9;null;null;
2019-01-31;126.2;null;25.496663;4.6;null;null;
2019-02-28;360.8;null;24.689626;6.9;null;null;
2019-03-31;231.4;null;24.889271;5.9;null;null;
2019-04-30;126.4;null;24.605266;4.8;null;null;
2019-05-31;37.8;null;23.64422;4.8;null;null;
2019-06-30;0;null;22.122361;5.6;null;null;
2019-07-31;5;null;21.927016;5.3;null;null;
2019-08-31;0;null;25.144034;6.1;null;null;
2019-09-30;9.4;null;28.528333;6.3;null;null;
2019-10-31;76.4;null;27.148159;6.6;null;null;
2019-11-30;180.8;null;25.575798;8.7;null;null;
2019-12-31;220.4;null;25.199573;5.7;null;null;
2020-01-31;363.6;null;24.85571;5.5;null;null;
2020-02-29;458.4;null;24.391617;5.6;null;null;
2020-03-31;248.2;null;24.719592;5.2;null;null;
2020-04-30;79.8;null;24.227639;6.1;null;null;
2020-05-31;6.2;null;21.597043;4.7;null;null;
2020-06-30;0;null;22.379861;6.6;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

