Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Pane
Data Inicial: 2016-04-05
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;6;null;989.530616;27.006884;4.9;1.299638;
2016-05-31;3;16.6;991.325538;26.508871;4.5;1.160484;
2016-06-30;3;1.4;992.918194;25.337361;5;1.290695;
2016-07-31;0;0;992.183333;24.245699;5.3;1.335753;
2016-08-31;0;0;990.865591;26.42621;5.1;1.489113;
2016-09-30;8;75.2;990.282917;27.514583;5.5;1.534583;
2016-10-31;12;195.2;988.68587;27.342274;7.3;1.522674;
2016-11-30;13;158.4;988.131667;26.62375;4.9;1.41875;
2016-12-31;15;258.8;989.129301;25.927823;5.8;1.43293;
2017-01-31;17;277.4;989.750941;25.570699;6.4;1.374059;
2017-02-28;20;314.2;990.068452;25.158184;4.5;1.472768;
2017-03-31;22;247.2;989.894355;25.980511;5.8;1.34328;
2017-04-30;21;154.4;990.090139;26.117361;5.4;1.190833;
2017-05-31;6;9.4;990.541129;26.552688;4;1.097312;
2017-06-30;1;.6;991.880139;24.411389;4.5;1.212222;
2017-07-31;0;0;994.430914;22.78414;5.5;1.485081;
2017-08-31;0;0;990.581317;25.707527;5.2;1.396909;
2017-09-30;1;1.2;990.25;27.570417;5.7;1.814167;
2017-10-31;3;75.4;988.149435;28.595062;6.6;1.691282;
2017-11-30;null;null;null;null;5.6;null;
2017-12-31;25;473;989.083871;25.424866;8.1;1.440188;
2018-01-31;27;294.4;989.565323;25.492204;7.2;1.329301;
2018-02-28;22;595.2;989.62753;25.159375;5.2;1.406101;
2018-03-31;23;182.2;989.789382;25.739919;4.7;1.269086;
2018-04-30;20;82.4;990.794444;25.54125;4;1.215972;
2018-05-31;3;69;991.389247;25.586425;6.5;1.263978;
2018-06-30;0;0;992.640556;24.121389;4.3;1.248333;
2018-07-31;0;0;992.371102;23.751613;4.2;1.252285;
2018-08-31;1;.2;991.616398;26.031317;5.8;1.470296;
2018-09-30;4;15.8;988.949167;26.760417;5.8;1.375278;
2018-10-31;18;116.2;988.990054;26.75914;8.1;1.37164;
2018-11-30;23;539.6;988.836389;25.727778;6.2;1.295833;
2018-12-31;18;167;990.467473;25.564516;6.7;1.381048;
2019-01-31;24;318.2;991.038979;25.566801;4.9;1.276344;
2019-02-28;19;196.8;990.309673;25.745982;5.6;1.28006;
2019-03-31;22;155;990.733199;25.78629;4.7;1.283468;
2019-04-30;15;64.2;990.373889;26.395139;6;1.136389;
2019-05-31;11;139.8;990.253763;26.681855;6;1.064113;
2019-06-30;4;.8;992.652361;24.678333;4.5;1.284722;
2019-07-31;0;0;992.491398;24.315995;4.6;1.272312;
2019-08-31;0;0;992.62715;25.063844;4.8;1.414382;
2019-09-30;2;2.4;989.74;27.278056;5.9;1.473889;
2019-10-31;19;187.4;989.242339;25.916532;5.9;1.386559;
2019-11-30;16;192.8;988.400139;26.113056;5.6;1.31375;
2019-12-31;16;243.2;988.735484;26.357392;6.5;1.389651;
2020-01-31;26;332;990.13172;26.05672;5.5;1.316129;
2020-02-29;20;219.8;990.51681;26.00546;5.7;1.272845;
2020-03-31;26;301.6;990.373118;25.826613;4.1;1.245027;
2020-04-30;15;273.6;991.046667;26.464583;5;1.22375;
2020-05-31;3;27.4;991.94145;26.186746;4.3;1.235268;
2020-06-30;1;null;null;null;4.3;null;
2020-07-31;null;null;null;null;5.2;null;
2020-08-31;null;null;null;null;4.2;null;
2020-09-30;null;null;null;null;4.9;null;
2020-10-31;null;null;null;null;5.1;null;
2020-11-30;null;null;null;null;6.3;null;
2020-12-31;null;null;null;null;5;null;

