Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-01-31;1;null;null;null;null;null;
2018-02-28;18;272.4;907.067378;21.946642;10.6;1.99289;
2018-03-31;13;99.6;907.552364;23.120177;7.3;1.981608;
2018-04-30;12;87.6;909.786667;21.255278;6.4;1.81125;
2018-05-31;2;15.4;911.037527;19.516268;8.4;1.629683;
2018-06-30;null;0;911.972092;19.362049;6.6;1.548172;
2018-07-31;0;0;911.918011;18.783333;7.3;1.644893;
2018-08-31;4;4.6;911.172984;21.569489;6.8;2.156317;
2018-09-30;5;62.4;908.255593;23.146768;10.3;2.393599;
2018-10-31;14;146;907.397733;24.091456;9.8;2.554961;
2018-11-30;20;326.8;907.320646;21.776999;7.9;2.499958;
2018-12-31;14;267;908.169963;22.588353;8.4;2.267251;
2019-01-31;9;60.8;909.427723;23.128506;8.3;1.759613;
2019-02-28;14;153;907.967081;23.179937;9.7;1.984207;
2019-03-31;17;211.8;908.818198;22.765112;8.3;1.928296;
2019-04-30;14;125;908.858611;22.405278;8.6;1.486111;
2019-05-31;6;83.6;909.635484;21.160887;5.5;1.322177;
2019-06-30;1;3.8;912.516944;18.796528;6.4;1.762917;
2019-07-31;1;1.4;912.056452;18.43871;7.2;1.963978;
2019-08-31;null;0;912.559182;20.854048;7.7;2.149907;
2019-09-30;4;8.6;909.473611;23.847083;8.8;2.556528;
2019-10-31;7;61.8;907.58026;24.851987;9.5;2.608088;
2019-11-30;16;173;906.538774;23.80311;12.3;2.427762;
2019-12-31;17;165.2;907.303097;23.192765;7.1;1.949486;
2020-01-31;20;470.8;907.053267;22.85862;7.9;2.153986;
2020-02-29;20;292.6;908.382502;22.268516;8.7;2.088512;
2020-03-31;18;188.4;908.189095;22.551028;7.6;2.009958;
2020-04-30;10;155.2;909.710972;21.9075;8.4;1.825972;
2020-05-31;6;44.8;911.076478;18.956048;6.5;1.535484;
2020-06-30;4;.8;911.827778;18.596667;5.3;1.584445;
2020-07-31;0;0;911.584005;18.627419;6.7;1.941129;
2020-08-31;0;0;911.168683;19.722043;8.4;2.47043;
2020-09-30;2;10.6;909.830906;22.833829;9.1;2.303515;
2020-10-31;14;142.8;907.381336;24.33378;9.8;2.733718;
2020-11-30;15;157.2;907.495981;22.719515;7.9;2.384308;
2020-12-31;12;252.4;907.251988;22.874946;9.5;1.785448;

