Nome: MANICORE
Codigo Estacao: A133
Latitude: -5.7886111
Longitude: -61.28833333
Altitude: 40.64
Situacao: Pane
Data Inicial: 2011-12-11
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-12-31;26.295833;null;null;null;null;null;
2012-01-31;25.731048;null;null;null;null;null;
2012-02-29;25.527299;null;null;null;null;null;
2012-03-31;25.710215;null;null;null;null;null;
2012-04-30;26.303472;null;null;null;null;null;
2012-05-31;26.431855;null;null;null;null;null;
2012-06-30;26.373056;null;null;null;null;null;
2012-07-31;26.646237;null;null;null;null;null;
2012-08-31;27.193056;null;null;null;null;null;
2012-09-30;27.765139;null;null;null;null;null;
2012-10-31;27.39422;null;null;null;null;null;
2012-11-30;27.279722;null;null;null;null;null;
2012-12-31;26.359005;null;null;null;null;null;
2013-01-31;26.552151;null;null;null;null;null;
2013-02-28;26.145685;null;null;null;null;null;
2013-03-31;26.743103;null;null;null;null;null;
2013-04-30;26.710556;null;null;null;null;null;
2013-05-31;26.6875;null;null;null;null;null;
2013-06-30;26.879028;null;null;null;null;null;
2013-07-31;26.245688;null;null;null;null;null;
2013-08-31;26.881322;3.9;null;null;null;null;
2013-09-30;26.6025;null;null;null;null;null;
2013-10-31;26.987769;null;null;null;null;null;
2013-11-30;25.920343;null;null;null;null;null;
2013-12-31;26.156042;null;null;null;null;null;
2014-01-31;25.774194;null;null;null;null;null;
2014-02-28;25.515625;null;null;null;null;null;
2014-03-31;25.937795;null;null;null;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;27.391806;4.1;null;null;null;null;
2014-10-31;26.402957;4.9;null;null;null;null;
2014-11-30;26.685556;3.7;null;null;null;null;
2014-12-31;26.577957;5.9;null;null;null;null;
2015-01-31;25.660425;6;null;null;null;null;
2015-02-28;26.067411;4.7;null;null;null;null;
2015-03-31;26.34375;4.9;null;null;null;null;
2015-04-30;26.585972;4.5;null;null;null;null;
2015-05-31;26.371505;5.3;null;null;null;null;
2015-06-30;26.659444;3.6;null;null;null;null;
2015-07-31;26.848387;5;null;null;null;null;
2015-08-31;28.768952;4.2;null;null;null;null;
2015-09-30;29.313611;4.9;null;null;null;null;
2015-10-31;27.946505;5.2;null;null;null;null;
2015-11-30;27.604167;5.3;null;null;null;null;
2015-12-31;26.98414;5.9;null;null;null;null;
2016-01-31;27.283333;5.1;null;null;null;null;
2016-02-29;27.054167;5.5;null;null;null;null;
2016-03-31;26.777554;6.1;null;null;null;null;
2016-04-30;26.918333;4.2;null;null;null;null;
2016-05-31;27.057661;4.3;null;null;null;null;
2016-06-30;26.816111;3.7;null;null;null;null;
2016-07-31;27.673925;4;null;null;null;null;
2016-08-31;27.998522;6.3;null;null;null;null;
2016-09-30;26.780278;5.3;null;null;null;null;
2016-10-31;27.444098;6.2;null;null;null;null;
2016-11-30;26.959861;6.4;null;null;null;null;
2016-12-31;26.044893;6.4;null;null;null;null;
2017-01-31;25.777554;5;null;null;null;null;
2017-02-28;25.663393;6.2;null;null;null;null;
2017-03-31;26.265;null;null;null;null;null;
2017-04-30;26.294981;null;null;null;null;null;
2017-05-31;26.776967;4.2;null;null;null;null;
2017-06-30;26.67625;4.3;null;null;null;null;
2017-07-31;26.615323;4.2;null;null;null;null;
2017-08-31;28.155511;5.6;null;null;null;null;
2017-09-30;26.940417;4.4;null;null;null;null;
2017-10-31;26.983333;null;null;null;null;null;
2017-11-30;26.72875;null;null;null;null;null;
2017-12-31;26.236828;null;null;null;null;null;
2018-01-31;25.94207;null;null;null;null;null;
2018-02-28;25.646577;null;null;null;null;null;
2018-03-31;26.352419;null;null;null;null;null;
2018-04-30;25.681389;null;null;null;null;null;
2018-05-31;26.183333;null;null;null;null;null;
2018-06-30;26.354583;null;null;null;null;null;
2018-07-31;26.80578;null;null;null;null;null;
2018-08-31;26.363306;null;null;null;null;null;
2018-09-30;27.626389;null;null;null;null;null;
2018-10-31;28.057661;null;null;null;null;null;
2018-11-30;26.943889;null;null;null;null;null;
2018-12-31;26.002285;null;null;null;null;null;
2019-01-31;26.071774;null;null;null;null;null;
2019-02-28;25.97128;null;null;null;null;null;
2019-03-31;26.691398;null;null;null;null;null;
2019-04-30;26.679141;null;null;null;null;null;
2019-05-31;26.734946;null;null;null;null;null;
2019-06-30;27.018834;null;null;null;null;null;
2019-07-31;27.008991;3.5;null;null;null;null;
2019-08-31;26.898925;7;null;null;null;null;
2019-09-30;27.732778;5;null;null;null;null;
2019-10-31;26.638506;6.8;null;null;null;null;
2019-11-30;27.228386;5.4;null;null;null;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

