Nome: NOVO ARIPUANA
Codigo Estacao: A144
Latitude: -8.0911111
Longitude: -60.38055554
Altitude: 45
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;1;null;null;null;null;null;
2019-08-31;8;60.2;1008.458395;26.998982;2.9;.613731;
2019-09-30;22;202.4;1006.470417;27.297083;2.7;.661528;
2019-10-31;23;178.6;1005.682796;26.525134;3.4;.65672;
2019-11-30;15;null;1004.586554;26.689063;2.8;.623955;
2019-12-31;null;null;null;null;1.5;null;
2020-01-31;null;null;null;null;2;null;
2020-02-29;null;null;null;null;2;null;
2020-03-31;null;null;null;null;1.8;null;
2020-04-30;null;null;null;null;1.7;null;
2020-05-31;null;null;null;null;1.6;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

