Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;null;null;null;28.056042;5;null;
2019-08-31;null;0;990.05115;29.128455;5.2;1.685178;
2019-09-30;5;63.8;987.6125;29.854444;6.3;1.753611;
2019-10-31;15;279.6;987.030879;26.589697;6.2;1.509783;
2019-11-30;13;155.8;986.160972;26.473056;7.4;1.379583;
2019-12-31;15;162.2;986.466538;26.620576;6.5;1.474416;
2020-01-31;24;326.2;988.002309;26.435838;6.2;1.424401;
2020-02-29;23;377.8;988.276249;26.076224;4.8;1.351993;
2020-03-31;23;398.6;988.205622;26.063985;5.6;1.382435;
2020-04-30;16;162.2;988.774167;26.629722;5.5;1.306806;
2020-05-31;11;165.6;989.486425;26.952016;4.8;1.350806;
2020-06-30;1;16;989.663333;27.059028;4.6;1.435417;
2020-07-31;0;0;989.242742;27.302554;4.6;1.495968;
2020-08-31;1;1.4;988.444624;28.95336;5.8;1.632661;
2020-09-30;3;70;987.300556;29.885833;5.5;1.641806;
2020-10-31;7;103.8;986.595173;28.479909;6.1;1.71219;
2020-11-30;14;163.6;986.734818;27.388763;5.8;1.579049;
2020-12-31;17;261.4;986.89685;26.556247;5.2;1.455283;

