Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Pane
Data Inicial: 2018-03-27
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;2;null;null;null;null;null;
2018-04-30;5;46.8;961.143194;24.395417;3.9;1.151389;
2018-05-31;0;0;962.004704;24.820161;4.7;1.364382;
2018-06-30;0;0;963.453472;23.499583;5;1.454722;
2018-07-31;0;0;963.309543;23.235484;4.5;1.392876;
2018-08-31;2;2.4;962.71371;26.099194;4.8;1.629839;
2018-09-30;0;0;959.684167;28.184861;5.5;1.657778;
2018-10-31;12;58.8;958.900403;28.753763;6.6;1.685349;
2018-11-30;11;127.8;958.879722;26.827639;5.3;1.569583;
2018-12-31;13;205.8;960.749462;24.964516;5.9;1.32957;
2019-01-31;10;58.2;960.844624;25.877285;5.5;1.371505;
2019-02-28;15;144.6;960.164583;25.399554;5.5;1.33497;
2019-03-31;16;206.2;960.570027;25.696774;4.8;1.277016;
2019-04-30;10;164.2;960.693056;25.110833;4.1;1.119861;
2019-05-31;4;61.4;960.915726;24.874194;4.1;1.186425;
2019-06-30;0;0;963.566667;23.455278;4.6;1.388333;
2019-07-31;0;0;963.321909;23.961694;4.4;1.479839;
2019-08-31;0;0;964.076479;24.874865;5.1;1.752016;
2019-09-30;1;.6;961.097222;27.644028;5.3;1.660972;
2019-10-31;4;38.8;959.074462;29.044489;7;1.776613;
2019-11-30;7;68.8;957.851931;29.009034;4.9;1.706115;
2019-12-31;4;38.4;958.413043;28.526199;7.1;1.746506;
2020-01-31;16;null;960.128979;25.708057;4;1.291019;
2020-02-29;13;null;960.529447;25.033263;5.2;1.193661;
2020-03-31;4;null;null;null;4.5;null;
2020-04-30;null;null;null;null;4;null;
2020-05-31;null;null;null;null;4;null;
2020-06-30;null;null;null;null;4.5;null;
2020-07-31;null;null;null;null;4.8;null;
2020-08-31;null;null;null;null;6.1;null;
2020-09-30;null;null;null;null;4.8;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

