Nome: CORRENTINA
Codigo Estacao: A416
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.71
Situacao: Operante
Data Inicial: 2007-11-08
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-11-30;null;null;27.079924;5.9;null;null;
2007-12-31;263.6;948.70914;24.387769;7;1.470833;null;
2008-01-31;null;null;null;null;null;null;
2008-02-29;null;null;24.43701;6.4;null;null;
2008-03-31;111.8;949.396759;23.815432;5.2;1.395679;null;
2008-04-30;107.2;949.0025;23.829861;5.7;1.234028;null;
2008-05-31;0;951.377414;22.825251;3.9;1.420354;null;
2008-06-30;0;953.349324;21.304626;3.6;1.450501;null;
2008-07-31;0;954.470699;20.535887;3.8;1.472053;null;
2008-08-31;0;952.052822;22.748925;5.6;1.469401;null;
2008-09-30;24.8;951.247639;25.211806;8.8;1.702111;null;
2008-10-31;0;950.033199;27.431452;7.6;1.938306;null;
2008-11-30;354.2;948.597083;25.330139;6.4;1.515139;null;
2008-12-31;172.4;948.610081;24.160215;6.8;1.413441;null;
2009-01-31;179;949.668858;24.271429;5.9;1.300035;null;
2009-02-28;58.8;949.120472;24.499383;6.8;1.283482;null;
2009-03-31;null;null;25.373684;6;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;
2009-10-31;275.8;948.59664;25.869624;8;1.415054;null;
2009-11-30;74.4;948.618056;24.787361;6.7;1.285972;null;
2009-12-31;304.8;949.606317;24.123925;5.8;1.33307;null;
2010-01-31;31.2;949.874255;24.305059;6.5;1.387537;null;
2010-02-28;30;949.550595;25.116815;10.2;1.419196;null;
2010-03-31;199;949.762634;24.352688;7.9;1.301075;null;
2010-04-30;44.8;950.741945;23.555;6;1.298056;null;
2010-05-31;8.4;950.746371;23.94879;4.3;1.27836;null;
2010-06-30;0;954.018611;21.518611;4.7;1.639583;null;
2010-07-31;.2;954.297312;21.563978;4.6;1.792339;null;
2010-08-31;.6;953.811828;21.789247;5;1.859543;null;
2010-09-30;7;951.611944;24.308333;5.3;1.907917;null;
2010-10-31;165.4;948.775403;27.006048;5.6;1.620699;null;
2010-11-30;214.8;948.3525;24.484583;6.3;1.344167;null;
2010-12-31;239.4;947.168414;24.222984;6.9;1.261425;null;
2011-01-31;256.8;948.350287;23.724405;5.2;1.301478;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;21.330787;4.7;null;null;
2011-08-31;0;952.648118;23.117339;5.2;1.826882;null;
2011-09-30;0;952.825;23.637778;4.6;1.984583;null;
2011-10-31;129.2;948.944624;25.493548;3.9;1.524462;null;
2011-11-30;162.8;949.6025;23.423194;6;1.419583;null;
2011-12-31;277;949.100806;23.604839;5.9;1.290591;null;
2012-01-31;null;949.632796;23.708737;5.2;1.348387;null;
2012-02-29;73;949.642672;23.722414;5.2;1.333477;null;
2012-03-31;142.6;949.657124;24.575538;5.5;1.255645;null;
2012-04-30;28.2;949.629861;24.36125;4.2;1.276944;null;
2012-05-31;7;951.861559;23.5625;5;1.452688;null;
2012-06-30;null;null;22.725;4.1;null;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;0;954.982373;22.164861;5.2;2.00601;null;
2012-09-30;null;null;null;null;null;null;
2012-10-31;null;949.158333;26.868364;5.6;1.678395;null;
2012-11-30;340.2;948.919444;24.183195;5.3;1.25125;null;
2012-12-31;15;948.39328;25.613306;5.6;1.438979;null;
2013-01-31;145.6;949.762366;24.818548;6.1;1.374059;null;
2013-02-28;10;949.082292;25.451786;5;1.415476;null;
2013-03-31;121.6;949.540694;25.748994;7.3;1.332056;null;
2013-04-30;29.6;950.975;24.248194;4.4;1.251111;null;
2013-05-31;.2;951.616667;23.91371;4;1.420296;null;
2013-06-30;0;952.734773;23.232336;4.2;1.567778;null;
2013-07-31;0;953.76707;22.548253;4.1;1.705914;null;
2013-08-31;0;952.795161;23.264113;4.3;1.871774;null;
2013-09-30;1.2;951.505139;26.270972;5.5;1.827778;null;
2013-10-31;86.6;950.306183;26.030914;7.4;1.628091;null;
2013-11-30;311.2;948.610139;25.083611;5.1;1.361389;null;
2013-12-31;341.2;948.822984;23.966935;6.8;1.360215;null;
2014-01-31;29.8;950.43293;24.597043;6;1.371371;null;
2014-02-28;94.4;949.632738;24.560863;5;1.391964;null;
2014-03-31;118.6;950.161156;24.690188;4.7;1.249328;null;
2014-04-30;63.4;950.643333;24.173056;4.5;1.177222;null;
2014-05-31;14.2;951.445027;23.6625;4.5;1.362231;null;
2014-06-30;0;953.209306;22.424722;5;1.588056;null;
2014-07-31;0;955.154301;22.447043;4.6;1.759677;null;
2014-08-31;0;953.772312;22.942204;5.3;1.852419;null;
2014-09-30;0;951.510556;25.848889;4.4;1.799444;null;
2014-10-31;17.6;950.793952;26.518414;5.4;1.88172;null;
2014-11-30;178.8;949.178611;25.765833;4.9;1.454167;null;
2014-12-31;117.4;950.198656;24.549194;4.4;1.383602;null;
2015-01-31;27.4;950.505596;25.772202;4.8;1.465078;null;
2015-02-28;173.8;950.643304;24.395685;7.6;1.385119;null;
2015-03-31;129;950.045296;25.132796;10.8;1.1875;null;
2015-04-30;243.8;950.520694;24.839167;4.4;1.138889;null;
2015-05-31;46;952.593817;22.816801;5.3;1.291801;null;
2015-06-30;0;954.513472;21.870972;4.3;1.556528;null;
2015-07-31;0;954.196248;22.242228;4.8;1.667309;null;
2015-08-31;0;953.535484;22.656183;4.7;1.836425;null;
2015-09-30;0;950.5625;26.348333;4.4;1.761944;null;
2015-10-31;3.2;950.051075;27.777151;5.9;1.83629;null;
2015-11-30;121.6;948.398472;27.972361;6.7;1.632917;null;
2015-12-31;17.2;949.932661;27.353091;5.8;1.60121;null;
2016-01-31;454.4;950.056989;24.375806;7.5;1.359005;null;
2016-02-29;1.4;950.73204;25.465661;4.6;1.305747;null;
