Nome: EUCLIDES DA CUNHA
Codigo Estacao: A442
Latitude: -10.537233
Longitude: -38.996605
Altitude: 431.96
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2008-03-31;null;null;null;null;null;null;
2008-04-30;null;null;null;null;null;null;
2008-05-31;null;965.541848;22.013949;6.5;2.815217;null;
2008-06-30;80;966.7828;21.243862;7.6;2.836878;null;
2008-07-31;79.2;968.366801;20.259409;7.3;2.986881;null;
2008-08-31;53.6;966.593414;21.226882;6.6;3.050672;null;
2008-09-30;29;966.595556;22.876667;7.1;3.429583;null;
2008-10-31;3.4;965.397312;24.770161;8.2;4.00672;null;
2008-11-30;5.6;962.339445;26.691111;7.7;4.074444;null;
2008-12-31;68.8;961.981855;26.206183;8.3;3.395968;null;
2009-01-31;31.4;962.816941;26.582065;8.1;3.457164;null;
2009-02-28;53.2;962.401941;26.294009;9.2;3.430396;null;
2009-03-31;.6;961.554167;27.683199;7.4;3.065188;null;
2009-04-30;75.8;963.164861;26.158889;6.6;2.828472;null;
2009-05-31;161.8;964.712231;22.894892;5.8;2.842876;null;
2009-06-30;81.4;966.578472;22.123333;6.4;2.666528;null;
2009-07-31;73.6;967.330242;21.504032;6.6;2.583871;null;
2009-08-31;103.4;967.156855;21.493817;7.1;2.795968;null;
2009-09-30;12.4;966.329444;23.874028;6.3;3.101944;null;
2009-10-31;94.2;962.926724;25.152012;7.5;3.069109;null;
2009-11-30;0;962.773472;26.069306;7.5;3.680556;null;
2009-12-31;4.2;962.844489;26.92836;8.5;3.664113;null;
2010-01-31;50.4;963.355972;26.108194;null;null;null;
2010-02-28;36.6;963.110119;26.573065;null;null;null;
2010-03-31;60.6;962.800269;26.600403;null;null;null;
2010-04-30;198.6;963.70375;24.461389;null;null;null;
2010-05-31;41.6;964.415323;24.060215;null;null;null;
2010-06-30;123.8;967.500556;21.660833;null;null;null;
2010-07-31;207.4;967.813441;20.854167;6.6;3.021237;null;
2010-08-31;60.8;968.376893;20.315434;7.3;2.868525;null;
2010-09-30;83.2;966.735;21.450417;7.5;3.356528;null;
2010-10-31;116.4;963.778763;24.641667;7.6;3.201235;null;
2010-11-30;0;962.074167;25.393611;null;null;null;
2010-12-31;143.4;960.785753;25.602688;null;null;null;
2011-01-31;35.6;961.761425;25.285215;null;null;null;
2011-02-28;61.2;962.41131;25.638393;null;null;null;
2011-03-31;55.4;961.759093;26.138269;null;null;null;
2011-04-30;82;963.276945;24.672361;null;null;null;
2011-05-31;82;964.825374;22.922043;null;null;null;
2011-06-30;58.6;966.475519;21.833768;null;null;null;
2011-07-31;55.6;967.190054;21.172581;null;null;null;
2011-08-31;44.4;967.368817;22.108602;7.6;3.359673;null;
2011-09-30;12.6;967.915682;22.687065;7.9;4.02218;null;
2011-10-31;93.8;963.29422;24.678226;7.7;3.750822;null;
2011-11-30;106.4;963.385833;24.111389;19.2;3.579487;null;
2011-12-31;14;962.724147;25.997633;7.6;3.527378;null;
2012-01-31;5.2;963.234812;26.15672;8.3;3.897581;null;
2012-02-29;38.4;963.216954;25.456897;7.7;3.845115;null;
2012-03-31;3.2;963.642608;26.079839;9.7;3.818414;null;
2012-04-30;2.8;963.751111;25.881389;7.6;3.596945;null;
2012-05-31;26.6;965.655645;24.080376;7.7;3.38075;null;
2012-06-30;34;967.153702;23.170085;6.8;3.291504;null;
2012-07-31;75.6;967.731989;21.47957;7.4;3.231317;null;
2012-08-31;79.6;969.088095;21.105556;7.9;3.666763;null;
2012-09-30;25.2;967.891806;23.062778;8.8;3.84125;null;
2012-10-31;8.8;965.019489;24.278898;8.3;4.239516;null;
2012-11-30;41;962.286806;26.328611;7.7;3.564861;null;
2012-12-31;7.8;962.517339;26.955645;8;3.792339;null;
2013-01-31;50.2;963.255914;26.830645;8.9;3.689516;null;
2013-02-28;.8;963.119941;26.976339;8.8;3.903571;null;
2013-03-31;null;null;28.307031;6.9;null;null;
2013-04-30;116.4;964.566945;25.964444;7.4;3.517222;null;
2013-05-31;136;965.96707;23.402151;6.9;2.794647;null;
2013-06-30;63.2;967.043788;22.308977;6.7;2.557727;null;
2013-07-31;118.4;968.407702;21.156861;7;2.612605;null;
2013-08-31;62.2;967.914651;21.267473;6.9;2.811425;null;
2013-09-30;53;967.284028;22.736528;6.4;3.18125;null;
2013-10-31;89.8;965.783199;23.995968;7.1;3.450672;null;
2013-11-30;40;963.510417;24.9275;7.7;3.603333;null;
2013-12-31;140.8;962.951882;25.951479;8.2;2.93414;null;
2014-01-31;10.8;964.535484;25.708333;7.2;3.483468;null;
2014-02-28;15.8;963.626786;25.759673;7.7;3.467262;null;
2014-03-31;25;964.138575;26.148656;7.4;3.366935;null;
2014-04-30;121;964.483472;25.621528;6.4;2.897917;null;
2014-05-31;82.8;965.66828;23.218011;5.9;2.587097;null;
2014-06-30;90.8;967.525833;22.126806;7;2.857083;null;
2014-07-31;118.8;969.711962;21.135349;6.4;2.837366;null;
2014-08-31;69.6;968.977419;21.213306;6.8;2.973656;null;
2014-09-30;25.8;967.443056;23.303889;7.4;3.390309;null;
2014-10-31;65;966.467204;23.904301;7.8;3.859039;null;
2014-11-30;63.4;963.9925;25.123889;6.9;3.190498;null;
2014-12-31;null;964.54543;25.2;6.6;3.177788;null;
2015-01-31;0;965.258871;26.437903;7;3.684535;null;
2015-02-28;59.6;964.423214;26.230208;10.4;3.342482;null;
2015-03-31;14.6;964.058737;26.704435;7.6;3.277985;null;
