Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2018-03-09
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;12;null;null;26.740671;4.7;null;
2018-04-30;17;199.8;1009.577267;25.49878;3.1;1.156437;
2018-05-31;27;191.4;1011.132937;24.518201;3.6;1.148168;
2018-06-30;25;150.2;1013.207766;23.666093;3.5;1.003968;
2018-07-31;23;45.6;1013.701411;23.111868;2.6;.967113;
2018-08-31;16;null;1013.64287;23.653429;3.3;1.268683;
2018-09-30;5;70.4;1011.176811;24.700169;3.6;1.697153;
2018-10-31;8;null;1009.29753;25.635928;4.1;1.684744;
2018-11-30;12;98;1008.843824;26.310268;4.1;1.668788;
2018-12-31;12;null;1009.035486;26.299596;null;null;
2019-01-31;12;13.4;1010.145615;27.204312;3.1;1.394606;
2019-02-28;3;null;1007.774032;28.378322;3.9;1.785327;
2019-03-31;14;134.4;1008.256178;27.818837;5;1.782547;
2019-04-30;15;null;1008.403415;26.778159;2.6;null;
2019-05-31;14;null;1009.322326;25.91576;null;null;
2019-06-30;14;null;1013.079203;24.108394;null;null;
2019-07-31;15;null;1013.241079;23.188437;4.1;null;
2019-08-31;10;null;1015.035689;23.302946;4.7;1.171828;
2019-09-30;8;null;1012.506387;null;3.5;1.425399;
2019-10-31;4;null;1010.182863;null;3.7;1.480846;
2019-11-30;3;null;1007.875489;26.330363;3.4;1.577166;
2019-12-31;9;null;1008.123467;26.808754;3.4;null;
2020-01-31;4;null;null;27.023654;null;null;
2020-02-29;2;null;null;null;3.3;null;
2020-03-31;13;null;1007.686915;27.005885;5.1;null;
2020-04-30;10;null;1009.064031;26.275897;4.2;null;
2020-05-31;14;null;1010.986423;24.822121;null;null;
2020-06-30;13;null;1012.230596;24.332316;3.8;1.243292;
2020-07-31;14;null;1012.818261;23.113964;3.7;1.334915;
2020-08-31;13;null;1013.124823;23.043007;5.3;1.438664;
2020-09-30;11;null;1012.345317;24.131105;3.7;1.431669;
2020-10-31;5;null;1009.271372;26.056496;4.3;1.824402;
2020-11-30;5;null;1008.618102;25.970798;4.7;1.722485;
2020-12-31;9;null;1008.601203;26.446482;4;1.571304;

