Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2018-09-19
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-09-30;null;null;null;null;null;null;
2018-10-31;20;56.8;992.199402;26.515453;8.8;3.196341;
2018-11-30;20;142;991.630531;26.86593;8.6;3.339318;
2018-12-31;11;20.6;992.117876;26.790697;7.7;2.505487;
2019-01-31;5;8.2;992.980137;27.116111;7.9;2.89141;
2019-02-28;5;38.8;990.918071;28.367844;7.6;2.522703;
2019-03-31;14;113;991.522341;27.398855;7.9;2.229622;
2019-04-30;5;5.6;991.669306;26.901111;6.6;1.84375;
2019-05-31;9;19.8;992.533199;25.944355;6.5;1.954704;
2019-06-30;25;120.8;996.140556;23.063056;7.7;1.921667;
2019-07-31;23;88.2;996.244758;22.315457;6.7;1.916936;
2019-08-31;17;29;997.872474;22.4632;7.5;2.21621;
2019-09-30;7;23.6;995.359583;24.107639;8.2;2.463472;
2019-10-31;7;13.4;993.015165;25.795296;7.4;2.921873;
2019-11-30;4;6.2;990.795414;27.294928;7.4;3.135517;
2019-12-31;3;9.6;990.990422;27.721587;8.5;3.246774;
2020-01-31;6;60.4;991.114516;27.808468;8;2.491129;
2020-02-29;9;53.8;991.406659;27.871539;7.8;2.295858;
2020-03-31;15;233.6;991.082171;27.040211;7.3;1.802913;
2020-04-30;15;111.6;992.356389;26.16625;6.8;1.717778;
2020-05-31;16;100;994.151747;24.506183;6.5;1.659677;
2020-06-30;26;107.8;995.32375;23.173889;6.6;1.660833;
2020-07-31;5;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;3;null;null;null;null;null;
2020-12-31;1;1.2;991.575736;26.822666;7.8;2.780979;

