Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2007-07-03
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;959.518066;21.246766;9.1;1.663457;null;
2007-08-31;0;960.752156;22.019641;9.2;2.816912;null;
2007-09-30;3.4;959.563062;24.819849;10.2;3.076117;null;
2007-10-31;0;955.448586;27.576841;7.9;2.421768;null;
2007-11-30;null;953.359722;26.863141;8;2.232994;null;
2007-12-31;74.4;954.380242;25.280376;6.4;1.626613;null;
2008-01-31;224.6;954.532392;24.875806;6.3;1.513575;null;
2008-02-29;146.4;955.055172;24.74885;7.2;1.271983;null;
2008-03-31;193.8;955.210887;23.98414;9.5;1.270027;null;
2008-04-30;75.4;954.749167;24.165695;5.5;.9125;null;
2008-05-31;8.4;958.083789;21.116205;5.6;1.159642;null;
2008-06-30;0;960.025022;20.794108;5.7;1.443974;null;
2008-07-31;0;961.445027;19.243683;6.2;1.506183;null;
2008-08-31;0;958.515323;22.659409;10.3;2.020027;null;
2008-09-30;7.4;957.470139;24.72375;8.1;2.074583;null;
2008-10-31;7;956.124731;28.20215;9;2.579032;null;
2008-11-30;118.4;954.364052;25.374535;8.1;1.933249;null;
2008-12-31;224.6;954.028091;24.148522;7.3;1.670968;null;
2009-01-31;200.6;955.266222;24.867222;8.2;1.545296;null;
2009-02-28;67.6;955.122619;25.537649;11.5;1.626488;null;
2009-03-31;111.4;954.359274;25.336828;6.8;1.326747;null;
2009-04-30;76.4;956.649444;23.407222;7.8;1.317917;null;
2009-05-31;3.2;958.350807;21.384543;6.4;1.16371;null;
2009-06-30;.2;959.676389;20.670833;6.3;1.222361;null;
2009-07-31;0;959.654301;21.570565;6.4;1.327957;null;
2009-08-31;29.4;959.374059;22.543952;6.7;1.866398;null;
2009-09-30;63.2;957.327222;25.487361;5.5;1.426667;null;
2009-10-31;216.2;954.30704;25.095402;6.8;1.267098;null;
2009-11-30;109.8;954.307083;25.342222;5.6;1.065278;null;
2009-12-31;324.4;955.116667;23.571371;7.8;1.376882;null;
2010-01-31;43.6;955.697825;25.283358;5;1.151026;null;
2010-02-28;24.2;955.568006;26.197024;5.3;1.386458;null;
2010-03-31;161.8;955.210618;24.791263;5.6;1.07379;null;
2010-04-30;65.2;957.186389;22.874167;5.7;.861667;null;
2010-05-31;6.8;957.1875;22.329301;5.9;.838979;null;
2010-06-30;.4;961.138528;19.224713;5.7;1.1065;null;
2010-07-31;0;961.351747;20.990457;5.4;1.535081;null;
2010-08-31;0;960.568635;20.905958;6.2;1.47997;null;
2010-09-30;0;958.578241;24.258025;6.3;2.079321;null;
2010-10-31;null;null;null;5.1;null;null;
2010-11-30;248.4;954.088472;23.944722;5.4;1.105139;null;
2010-12-31;245.8;952.333871;24.798521;4.4;1.131989;null;
2011-01-31;185.2;954.103226;24.525672;4.1;1.217876;null;
2011-02-28;49.4;954.645833;25.790476;5.2;1.167559;null;
2011-03-31;434.4;954.523509;23.741092;5.5;.902784;null;
2011-04-30;46;956.930417;23.536667;4.5;.956806;null;
2011-05-31;.6;958.154839;20.949059;4.7;.819624;null;
2011-06-30;.2;959.323889;19.724583;9.2;.960278;null;
2011-07-31;.2;959.945968;19.403495;5.7;1.040054;null;
2011-08-31;0;959.002823;21.997043;5.4;1.349059;null;
2011-09-30;0;959.221389;23.36625;5.8;1.5825;null;
2011-10-31;137.6;955.389919;23.94207;6.9;1.247715;null;
2011-11-30;201.6;955.38433;23.049112;8.5;1.315024;null;
2011-12-31;365.2;954.756855;23.351075;5.9;.960349;null;
2012-01-31;null;955.511744;24.205762;5.6;1.114954;null;
2012-02-29;23.8;955.775604;24.979451;4.9;1.231638;null;
2012-03-31;117.2;956.170809;24.387118;6.8;1.003055;null;
2012-04-30;4.4;956.061803;25.017892;4.4;.869326;null;
2012-05-31;53.6;958.977769;21.570512;4.5;.989167;null;
2012-06-30;1.8;959.709861;20.892222;4.8;.872778;null;
2012-07-31;0;960.186757;20.339426;6.2;1.163961;null;
2012-08-31;0;962.352184;21.133406;5.9;1.97115;null;
2012-09-30;3.8;959.042423;23.918418;6;1.564649;null;
2012-10-31;5.2;955.68518;26.43629;5.6;1.549129;null;
2012-11-30;326.6;954.085803;24.505447;5.1;1.181274;null;
2012-12-31;51.8;954.131645;26.866363;5.1;1.021622;null;
2013-01-31;218;955.3322;24.773159;5.7;1.017514;null;
2013-02-28;25;955.372736;25.773771;5.4;1.00253;null;
2013-03-31;130.4;955.807547;25.423432;5.2;.893708;null;
2013-04-30;137.4;957.475417;23.466389;4.1;.782361;null;
2013-05-31;4.4;958.379956;21.644968;4.2;.803401;null;
2013-06-30;1.4;959.491832;21.625037;6.1;.835876;null;
2013-07-31;0;960.553489;20.975964;5;1.097096;null;
2013-08-31;0;959.521102;22.403091;5.3;1.43871;null;
2013-09-30;50.4;958.241732;24.399616;6.5;1.66667;null;
2013-10-31;null;956.750955;24.71401;7;1.473344;null;
2013-11-30;215;954.488616;25.406434;4.9;1.421777;null;
2013-12-31;511.8;953.461945;24.224583;3.8;1.143333;null;
2014-01-31;128.4;956.75377;25.054464;5.2;1.133194;null;
2014-02-28;24.4;955.89429;25.412232;6.8;1.273651;null;
2014-03-31;98.8;956.386021;24.967608;6;1.057527;null;
2014-04-30;4.2;956.79962;24.54096;4.7;.815737;null;
2014-05-31;0;958.096402;21.848081;3.9;.867106;null;
2014-06-30;0;960.045286;21.096536;5.1;.970705;null;
2014-07-31;5.2;962.221621;20.771389;7;1.310868;null;
2014-08-31;0;960.449626;21.515651;5.1;1.241742;null;
2014-09-30;3.2;957.963035;25.071669;6.1;1.816623;null;
2014-10-31;30;957.127361;25.875251;6.3;1.486676;null;
2014-11-30;243.4;955.144546;25.230202;6.7;1.246604;null;
2014-12-31;null;null;null;5.5;null;null;
2015-01-31;null;null;null;4.6;null;null;
2015-02-28;null;null;24.630697;4.4;null;null;
2015-03-31;77;956.111781;25.132095;5.3;1.056697;null;
2015-04-30;32;956.607859;25.012238;4.3;.822446;null;
2015-05-31;null;959.039398;22.61954;5.3;.965432;null;
2015-06-30;0;961.448647;21.7391;4.8;1.1307;null;
2015-07-31;null;960.905489;21.905538;5;1.198182;null;
2015-08-31;0;960.153971;22.910465;5.5;1.473246;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;956.156167;28.676333;8.4;1.695333;null;
2015-11-30;197;953.954583;28.063194;7.8;1.27;null;
2015-12-31;53.6;956.24664;26.915726;6.7;1.148522;null;
2016-01-31;482.4;954.998656;24.753226;5.1;1.264785;null;
2016-02-29;57.8;956.53477;26.224138;5.6;.876581;null;
2016-03-31;112.2;957.420833;25.197715;4.4;.922849;null;
2016-04-30;21.2;957.153472;25.014861;4.4;.991806;null;
2016-05-31;.8;959.325672;22.779032;4.3;.833602;null;
2016-06-30;0;961.024722;20.969445;4.9;.941111;null;
2016-07-31;0;960.629704;null;4.9;1.069892;null;
2016-08-31;0;959.384005;null;6;1.429435;null;
2016-09-30;22.8;957.837968;26.200735;5.3;1.519806;null;
2016-10-31;29.2;955.2836;27.282034;6.2;1.728457;null;
2016-11-30;222.2;954.93349;25.304726;7.3;1.536874;null;
2016-12-31;89.2;955.406586;25.5053;5.4;1.455289;null;
2017-01-31;60.2;955.351344;26.708785;5;1.289626;null;
2017-02-28;null;null;null;6.3;null;null;
2017-03-31;null;null;null;4.7;null;null;
2017-04-30;9.6;956.822995;25.464716;4.2;1.245163;null;
2017-05-31;44.8;958.300183;23.328495;3.8;1.160655;null;
2017-06-30;0;960.408417;21.581466;4.8;1.255806;null;
2017-07-31;0;964.252285;20.132258;6.1;1.77164;null;
2017-08-31;0;959.287749;22.496525;5.8;1.618898;null;
2017-09-30;null;960.34001;24.6541;7.1;2.080159;null;
2017-10-31;54.2;955.693715;27.245001;7.8;1.798671;null;
2017-11-30;95.4;954.595335;25.188914;4.8;1.486212;null;
2017-12-31;270;954.440746;24.900586;4.3;1.297734;null;
2018-01-31;65;955.277203;25.806306;7.6;1.204079;null;
2018-02-28;138.4;954.897904;24.814176;5.2;1.286685;null;
2018-03-31;92;955.089993;25.520406;3.8;1.182405;null;
2018-04-30;44.2;958.10628;23.573702;5;1.149106;null;
2018-05-31;29.4;959.555154;21.730797;6.4;1.201654;null;
2018-06-30;0;960.542317;21.399178;3.8;1.11596;null;
2018-07-31;0;960.645699;20.717742;4.6;1.201075;null;
2018-08-31;4.8;959.656855;23.170161;4.9;1.207796;null;
2018-09-30;0;956.287832;25.559414;6.2;1.313708;null;
2018-10-31;98.8;954.947452;27.2696;6.2;1.203162;null;
2018-11-30;223.8;955.622196;24.563276;4.4;.594392;null;
2018-12-31;342.4;955.995979;24.80762;4.5;.610098;null;
2019-01-31;161.8;957.085215;26.40793;7.6;.790726;null;
2019-02-28;200.2;955.397561;25.796144;4.2;1.016867;null;
2019-03-31;103.4;956.368747;25.521961;5.3;1.008813;null;
2019-04-30;null;956.536538;25.1125;4.6;.893269;null;
2019-05-31;3.8;957.380107;23.742339;4.9;.858871;null;
2019-06-30;0;961.182222;21.624583;5.4;1.132917;null;
2019-07-31;null;null;21.469928;5.8;null;null;
2019-08-31;0;961.483889;23.139167;5.1;1.660972;null;
2019-09-30;25.6;957.699445;26.331944;5.3;1.781945;null;
2019-10-31;37.2;955.367841;27.615773;5.9;1.9206;null;
2019-11-30;164;953.930529;27.443484;5;1.455352;null;
2019-12-31;196.2;954.919781;26.333029;6;1.525205;null;
2020-01-31;276.8;954.583941;25.798276;4.9;1.560712;null;
2020-02-29;199.6;956.109776;25.647514;3.9;1.268378;null;
2020-03-31;180;956.36134;24.727367;3.8;1.398926;null;
2020-04-30;61.2;957.805833;24.265417;4.9;1.314722;null;
2020-05-31;34.4;959.639919;20.971909;4.3;1.153629;null;
2020-06-30;0;960.695139;20.639861;5.1;1.248056;null;
2020-07-31;0;960.453226;21.04207;5.6;1.518952;null;
2020-08-31;0;960.234274;22.403226;5.6;1.853495;null;
2020-09-30;.8;958.048889;25.825417;5.2;1.914583;null;
2020-10-31;111.6;955.009409;26.589919;5.7;1.673925;null;
2020-11-30;203.6;955.571274;25.061674;4.5;1.578986;null;
2020-12-31;155;955.027656;25.679177;4.8;1.310647;null;

