Nome: GUARDA-MOR
Codigo Estacao: A546
Latitude: -17.56138888
Longitude: -47.19916666
Altitude: 997.01
Situacao: Pane
Data Inicial: 2007-07-10
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2007-07-31;null;null;19.483104;8.1;null;null;
2007-08-31;0;907.104097;19.415749;9.8;4.135636;null;
2007-09-30;0;906.34157;22.043895;9.5;4.063382;null;
2007-10-31;75.4;903.100438;23.599655;9.5;3.612027;null;
2007-11-30;null;901.340556;22.394712;10.3;3.064753;null;
2007-12-31;152;901.927419;22.033199;10.4;3.102957;null;
2008-01-31;285.8;901.966936;21.503629;8.9;2.785753;null;
2008-02-29;216.2;902.689512;21.609483;8.6;2.396264;null;
2008-03-31;227.8;902.644489;21.099462;7.7;2.533333;null;
2008-04-30;118;902.342778;21.788333;6.7;2.37625;null;
2008-05-31;3.4;905.253705;19.304763;7.3;2.599182;null;
2008-06-30;.4;906.776775;18.802989;7.8;3.010362;null;
2008-07-31;0;907.887634;17.747177;8.9;3.23293;null;
2008-08-31;0;905.453091;20.464785;8.4;3.484946;null;
2008-09-30;31.4;904.705833;22.207222;8.1;3.488333;null;
2008-10-31;50;903.933737;24.215054;9.8;3.742339;null;
2008-11-30;28.8;901.83061;22.031455;8.1;3.16311;null;
2008-12-31;0;901.220968;21.654839;9;2.993952;null;
2009-01-31;0;902.73078;21.795968;10.9;2.550941;null;
2009-02-28;0;902.785119;22.219345;8.5;2.519643;null;
2009-03-31;0;902.241263;22.577823;10.5;2.520296;null;
2009-04-30;0;903.947361;20.635;7.3;2.560694;null;
2009-05-31;0;905.290323;19.406586;8.7;2.895565;null;
2009-06-30;0;906.48875;18.155556;8.2;2.813333;null;
2009-07-31;0;906.5125;19.794624;7.9;2.945833;null;
2009-08-31;0;906.173387;19.919624;8.7;3.443548;null;
2009-09-30;0;904.87;22.847639;8.8;2.854306;null;
2009-10-31;0;902.088087;21.851256;9;2.316935;null;
2009-11-30;0;901.930833;22.956111;9.3;2.303889;null;
2009-12-31;0;902.296909;21.49422;8.3;2.502151;null;
2010-01-31;0;903.27979;22.121017;7.3;2.131146;null;
2010-02-28;0;903.271875;22.650744;6.6;2.506994;null;
2010-03-31;0;902.744893;22.167742;9.4;2.222446;null;
2010-04-30;0;904.503889;20.944722;7.3;2.6425;null;
2010-05-31;9.4;904.53172;20.186425;7.2;2.385215;null;
2010-06-30;8.2;907.631528;17.732917;7.5;2.74375;null;
2010-07-31;0;907.753226;18.560215;7.7;3.455645;null;
2010-08-31;0;907.101015;19.443297;8.2;3.277766;null;
