Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.448089
Longitude: -44.366313
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;null;null;null;null;null;
2016-07-31;0;0;962.466497;23.157796;null;null;
2016-08-31;2;2.2;961.216639;24.911087;null;null;
2016-09-30;0;0;959.904915;26.999378;null;null;
2016-10-31;9;66.2;957.526971;28.49576;null;null;
2016-11-30;8;212.4;957.099684;26.488217;null;null;
2016-12-31;9;131.2;957.642388;25.483766;null;null;
2017-01-31;4;20;957.298375;27.254996;null;null;
2017-02-28;11;null;958.057436;25.438446;null;null;
2017-03-31;10;96.2;957.68923;25.940234;6.9;1.716517;
2017-04-30;1;1.8;958.774583;26.342917;6.1;1.797639;
2017-05-31;5;21.6;960.181945;25.035004;5.5;1.842669;
2017-06-30;null;0;962.149389;23.79842;7.1;2.145;
2017-07-31;1;.2;965.880914;21.958064;6.7;2.786828;
2017-08-31;null;0;961.454945;23.668498;6.6;2.303308;
2017-09-30;null;null;962.347311;25.199476;7.7;2.821901;
2017-10-31;1;null;null;null;7;null;
2017-11-30;7;null;null;26.151487;8.5;null;
2017-12-31;16;249.2;956.842805;24.917554;7.3;1.534338;
2018-01-31;9;59.8;957.466491;25.977513;5.6;1.734888;
2018-02-28;14;379;957.324832;24.606088;5.5;1.617825;
2018-03-31;8;118.2;957.47265;25.272756;4.9;1.568981;
2018-04-30;7;10.6;959.965296;24.051636;5.6;1.5957;
2018-05-31;0;0;961.399592;22.923066;5.2;1.697503;
2018-06-30;null;0;962.57247;22.115177;5.4;1.701499;
2018-07-31;0;0;962.693414;21.417876;5.9;1.834274;
2018-08-31;1;.2;961.606586;24.727419;6.5;2.008468;
2018-09-30;2;10.6;958.44151;26.151775;6.4;2.156214;
2018-10-31;8;33.4;957.066018;28.137629;7.4;2.169776;
2018-11-30;14;140.2;957.704291;25.148208;6.6;1.938852;
2018-12-31;16;133.6;958.541647;24.492327;8.2;1.689647;
2019-01-31;5;54.8;959.081639;26.84664;6.2;1.958205;
2019-02-28;14;96.8;957.556328;26.315741;null;null;
2019-03-31;16;151.2;958.351952;26.093811;null;null;
2019-04-30;6;51.4;958.557083;25.774583;4.6;1.465833;
2019-05-31;2;1;959.287961;25.376934;5.1;1.500422;
2019-06-30;null;null;963.007456;23.6805;6.3;1.975644;
2019-07-31;null;null;null;null;6.1;null;
2019-08-31;null;null;null;null;7;null;
2019-09-30;null;null;null;27.217105;7.6;null;
2019-10-31;4;39.4;957.540212;28.166035;7.1;2.363114;
2019-11-30;8;47.6;956.029371;28.599619;8.4;2.2003;
2019-12-31;9;97.6;956.834303;27.372107;7.1;2.072516;
2020-01-31;19;329.4;957.317888;25.661863;7;1.782352;
2020-02-29;14;154.6;958.350781;25.57525;6.2;null;
2020-03-31;17;270;958.680842;24.281335;4.9;1.558241;
2020-04-30;9;15.6;959.98462;24.109022;4.5;1.454692;
2020-05-31;3;6.8;961.655376;21.977151;4.9;1.500538;
2020-06-30;0;0;962.575278;21.598333;5.4;1.653472;
2020-07-31;0;0;962.518145;21.404167;6.2;1.846371;
2020-08-31;0;0;962.095833;23.414247;6.5;2.238307;
2020-09-30;0;0;960.260278;26.147778;6.5;2.330833;
2020-10-31;8;106.2;957.295149;27.53809;7.4;2.247884;
2020-11-30;14;181.6;957.979489;24.659074;5.4;1.854019;
2020-12-31;9;72.6;957.389241;25.144247;6;1.727863;

