Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;1;null;null;null;null;null;
2017-11-30;18;223.8;924.204445;22.765972;7.6;2.239444;
2017-12-31;15;354.8;923.700806;23.584677;8.2;2.010618;
2018-01-31;16;346;924.858602;23.87957;null;null;
2018-02-28;16;150.4;924.361309;23.254762;6.1;1.989137;
2018-03-31;12;62.6;924.586693;23.984274;6.6;1.746237;
2018-04-30;3;3;927.956528;21.694722;6.1;2.070694;
2018-05-31;2;23.4;929.254167;18.970027;7.1;2.01586;
2018-06-30;3;9.6;930.158472;19.213195;5.7;1.786389;
2018-07-31;0;0;930.095565;18.455645;5;1.862634;
2018-08-31;9;46.6;929.56129;19.366532;null;null;
2018-09-30;9;48.2;926.237639;22.147778;6.3;2.147222;
2018-10-31;16;132.8;925.051344;23.588441;7.9;2.19207;
2018-11-30;18;350.2;925.414722;22.360139;7.5;2.038333;
2018-12-31;15;201.2;925.213306;23.639598;8.4;2.003302;
2019-01-31;9;115.8;926.966801;25.20457;8.1;1.872043;
2019-02-28;14;378.4;925.064732;24.017708;9.4;1.920387;
2019-03-31;13;167.6;926.380511;23.384812;6.3;2.03414;
2019-04-30;9;92;926.093611;22.862222;5.5;1.762361;
2019-05-31;8;19.8;927.236021;20.990054;5.4;1.712634;
2019-06-30;2;15.8;931.024306;18.635833;9.1;2.035278;
2019-07-31;1;.8;930.394892;17.449866;7;2.161425;
2019-08-31;0;0;931.170699;20.063441;8.3;2.483468;
2019-09-30;2;57.2;927.614444;23.917083;7.2;2.346944;
2019-10-31;8;95.8;925.589516;24.322715;8.6;2.297446;
2019-11-30;18;156.6;924.180695;23.445139;8.9;2.301667;
2019-12-31;14;309.8;924.806183;23.715995;6.4;2.061828;
2020-01-31;18;312.6;923.733403;24.10537;7.4;2.061337;
2020-02-29;19;311.4;925.652299;23.395546;7;1.969971;
2020-03-31;16;115.8;926.040054;22.628763;8.4;2.025269;
2020-04-30;12;60.6;927.403889;21.714686;5.5;2.03846;
2020-05-31;11;32;928.943011;18.157661;5;1.875134;
2020-06-30;1;.2;930.099444;18.736528;6.5;1.877361;
2020-07-31;1;.2;929.770296;19.31901;6.3;1.953296;
2020-08-31;2;11.2;929.956452;19.349059;6.8;2.305511;
2020-09-30;2;12.8;927.973478;23.512017;7.5;2.239535;
2020-10-31;12;94.2;924.960618;24.069489;8.6;2.455242;
2020-11-30;14;127.6;925.03875;23.349583;7.7;2.255;
2020-12-31;23;191.4;924.571237;23.717742;8.6;1.972581;

