Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;4;null;null;24.772135;6;null;
2018-04-30;10;67.4;934.888333;22.977083;8.3;1.989444;
2018-05-31;2;6.4;936.265457;21.624462;6.3;1.750403;
2018-06-30;0;0;937.244028;21.724722;6.3;1.795417;
2018-07-31;0;0;937.179167;21.333199;5.7;1.811828;
2018-08-31;null;null;936.308064;23.541935;7.5;2.150672;
2018-09-30;5;16.6;933.119444;25.218889;6.8;2.319861;
2018-10-31;null;null;931.974328;26.390054;7.8;2.334274;
2018-11-30;8;47.4;932.279306;23.446806;6.6;2.417222;
2018-12-31;24;268.2;932.775;24.742339;8;2.145833;
2019-01-31;5;21.4;934.118952;26.186156;6.9;2.048253;
2019-02-28;15;224.2;932.488988;25.15506;12.2;1.95625;
2019-03-31;13;143.4;933.572581;24.477554;8.5;1.913172;
2019-04-30;12;73;933.522639;24.385972;10.2;1.639444;
2019-05-31;5;81.8;934.519086;23.246102;5.3;1.558468;
2019-06-30;0;0;937.864722;21.287917;6.9;1.887361;
2019-07-31;0;0;937.402939;20.556633;6.3;1.935016;
2019-08-31;0;0;937.827688;23.213575;7.5;2.275538;
2019-09-30;3;7.8;934.347083;26.475694;7.2;2.39625;
2019-10-31;7;50.8;932.287097;27.204973;8.7;2.414113;
2019-11-30;13;198.8;931.095833;25.935972;7.1;2.298333;
2019-12-31;22;165.4;931.995968;24.948118;11.3;null;
2020-01-31;17;380.8;931.43989;25.047674;7.8;1.992596;
2020-02-29;24;314;933.066954;24.371264;null;null;
2020-03-31;18;223;933.118548;23.799462;7.5;1.994892;
2020-04-30;15;55.2;934.633889;23.416528;6.1;1.778611;
2020-05-31;7;72;936.268952;20.690726;6.1;1.642876;
2020-06-30;0;0;937.151667;20.858889;8.2;1.7225;
2020-07-31;0;0;936.886606;21.204067;6.6;2.00059;
2020-08-31;0;0;936.622312;21.846909;7.4;2.256048;
2020-09-30;null;null;null;24.975968;6.3;null;
2020-10-31;null;null;null;null;8.3;null;
2020-11-30;null;null;null;null;6.2;null;
2020-12-31;13;null;931.892529;24.569543;6;1.899094;

