Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2016-06-07
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;null;null;16.485417;3.4;null;
2016-07-31;1;.8;984.896505;18.420161;4.2;.863038;
2016-08-31;5;13.8;983.503763;20.089247;6.6;1.116935;
2016-09-30;9;63.4;982.614444;21.78625;5.6;1.24375;
2016-10-31;18;74.2;980.115352;23.084222;5.5;1.173352;
2016-11-30;20;320;978.740555;23.271111;5.2;1.136944;
2016-12-31;15;270.6;978.161021;24.984812;6.1;.937404;
2017-01-31;14;230.6;978.410484;26.079704;4.8;.928495;
2017-02-28;11;118.6;979.239732;25.134822;5.2;.825595;
2017-03-31;11;122.4;979.592876;24.123253;4.3;.95336;
2017-04-30;10;29.6;981.474583;22.3675;4.5;.920139;
2017-05-31;9;62.6;982.781452;19.585484;3.7;.766398;
2017-06-30;12;19;985.011389;18.937083;4.4;.738889;
2017-07-31;3;.6;990.002688;17.549194;3.9;.846102;
2017-08-31;5;22.6;984.601075;18.742876;4.6;1.001344;
2017-09-30;1;1.4;985.292361;21.675695;3.5;1.026667;
2017-10-31;12;94.4;979.853495;24.373253;5.6;1.193952;
2017-11-30;12;118.8;978.307361;23.44625;5.5;1.152222;
2017-12-31;18;125;977.254032;25.156586;5.7;.980914;
2018-01-31;21;226.6;978.043952;25.175806;4.4;.886559;
2018-02-28;17;176.2;977.976339;24.714881;4.2;.850149;
2018-03-31;19;170.6;977.767876;25.23871;3.7;.795833;
2018-04-30;7;73.8;982.385486;22.477657;2.9;.632049;
2018-05-31;5;30.8;983.939785;20.042742;3.7;.667742;
2018-06-30;5;14.8;984.707361;19.375694;3.6;.712361;
2018-07-31;2;19.2;984.738306;18.557258;4.2;.714651;
2018-08-31;7;72;984.89207;19.171774;4.4;.869355;
2018-09-30;9;142;980.860972;21.718056;4.4;.9525;
2018-10-31;14;45.6;979.51586;23.056452;4.7;1.133602;
2018-11-30;21;174.6;979.771111;23.397361;5.5;.925556;
2018-12-31;11;59.2;978.571237;25.153495;5.3;.913979;
2019-01-31;9;20.4;979.825;27.200538;3.9;.867339;
2019-02-28;17;284.6;978.024405;25.570387;6.2;.851042;
2019-03-31;17;60;979.971909;24.975269;3.7;.7625;
2019-04-30;10;34.2;979.611945;23.770694;4.2;.743194;
2019-05-31;5;22.6;981.026747;22.045565;3;.671774;
2019-06-30;3;21.8;985.567222;19.874583;4.5;.692639;
2019-07-31;6;8.4;985.280914;17.522849;4.8;.834677;
2019-08-31;7;12;986.995027;19.502688;4.5;.992339;
2019-09-30;7;80.4;982.660972;22.481944;5.6;null;
2019-10-31;8;68.8;980.150672;24.083064;5.3;1.094489;
2019-11-30;16;106;978.527083;23.989167;5.1;1.1075;
2019-12-31;16;314.6;978.487903;24.620833;4.5;.915995;
2020-01-31;24;255.2;976.959677;24.899194;5.3;.87836;
2020-02-29;20;276.2;979.006322;24.528592;3.8;.83319;
2020-03-31;17;199.2;980.274328;23.617742;3.4;.768548;
2020-04-30;8;68.8;981.970417;21.747639;3.3;.780417;
2020-05-31;13;39.6;983.309677;18.549194;4.6;.75;
2020-06-30;12;8.8;984.436111;19.16375;4;.692222;
2020-07-31;4;7.2;984.49543;19.277957;3.7;.745968;
2020-08-31;4;15.6;985.27043;19.352823;4.4;.913844;
2020-09-30;3;40.4;982.153472;23.721389;3.6;.904028;
2020-10-31;10;45;979.278898;24.332393;4.1;1.152823;
2020-11-30;14;313.8;979.361389;23.602083;6;1.073611;
2020-12-31;21;346.4;977.82957;24.908065;3.3;.768145;

