Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.867389
Longitude: -43.102056
Altitude: 6
Situacao: Operante
Data Inicial: 2018-07-12
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-07-31;2;null;null;22.938726;5.2;null;
2018-08-31;12;73.8;1019.65336;21.523253;4.5;1.375403;
2018-09-30;12;54.6;1015.315091;23.541733;5.4;1.543225;
2018-10-31;21;92.4;1013.904167;24.257796;4.9;1.515457;
2018-11-30;16;155;1013.803611;25.482917;6;1.507361;
2018-12-31;9;26.4;1012.518817;27.363978;6.2;1.616667;
2019-01-31;4;35.2;1013.011559;30.207796;5.6;1.679704;
2019-02-28;16;219.6;1011.543899;27.898363;5.1;1.410863;
2019-03-31;17;179.6;1013.946909;27.080914;5.5;1.304032;
2019-04-30;10;197.6;1013.494583;26.494583;6.3;1.347639;
2019-05-31;8;79.4;1015.037097;24.685349;4.2;1.169892;
2019-06-30;7;47.6;1019.641389;23.337083;5.6;1.034028;
2019-07-31;6;20.4;1019.59543;21.57621;5.1;1.270161;
2019-08-31;11;69.4;1021.771102;21.436962;5.9;1.322312;
2019-09-30;14;83.8;1017.2875;23.211944;5.8;1.454444;
2019-10-31;7;43;1014.434812;25.352285;5.1;1.607124;
2019-11-30;10;74.2;1013.036111;25.007083;5.7;1.691667;
2019-12-31;14;136.4;1012.324194;26.504032;5.3;1.560349;
2020-01-31;15;149.2;1010.681183;27.341263;4.9;1.438844;
2020-02-29;21;302.4;1012.725718;26.546264;4.7;1.313937;
2020-03-31;10;159.8;1014.813172;25.397177;5;1.345296;
2020-04-30;9;27.6;1016.506805;24.213889;5.1;1.250417;
2020-05-31;12;106.4;1017.449597;22.04879;5.6;1.184077;
2020-06-30;2;3.4;1018.261806;22.99875;5.5;1.066806;
2020-07-31;5;36.2;1018.617678;22.55949;5.1;1.230873;
2020-08-31;6;96.6;1019.847429;22.189475;5.1;1.364621;
2020-09-30;7;104.2;1016.430435;25.150193;5.9;1.39;
2020-10-31;13;58.6;1013.689516;25.102688;5.9;1.642608;
2020-11-30;18;121.6;1013.987947;24.463955;5.2;1.455;
2020-12-31;17;332.2;1011.718952;26.663575;5.3;1.342339;

