Nome: ANGRA DOS REIS
Codigo Estacao: A628
Latitude: -22.97555554
Longitude: -44.30333333
Altitude: 6
Situacao: Operante
Data Inicial: 2017-08-24
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;
2017-09-30;4;15.2;1019.050977;21.985768;4.6;1.170785;
2017-10-31;15;69.8;1013.996599;23.640796;7.4;1.109081;
2017-11-30;16;319.4;1012.603436;23.12282;5.9;.97483;
2017-12-31;19;174.2;1011.522446;24.757796;4;.734274;
2018-01-31;18;368;1011.837097;26.095968;8.1;.885753;
2018-02-28;20;351.8;1012.386458;25.051339;4.8;.730357;
2018-03-31;15;258.2;1011.693145;26.513575;5.6;.805511;
2018-04-30;10;174.4;1016.885278;24.2225;3.9;.754306;
2018-05-31;10;135.8;1018.494624;21.938979;4.2;.733737;
2018-06-30;12;73.6;1019.011944;20.677222;3.4;.500833;
2018-07-31;10;39.8;1019.043145;20.638978;4.4;.71586;
2018-08-31;14;86.8;1019.917607;20.018011;5;.709543;
2018-09-30;10;109;1015.612361;22.064445;4.8;.918056;
2018-10-31;25;188.2;1014.281317;22.518011;4.4;.720296;
2018-11-30;17;304.4;1014.052361;23.709861;6.7;.921667;
2018-12-31;16;169.6;1012.8375;25.35457;5;.908065;
2019-01-31;8;123.4;1013.188978;28.495565;5.3;1.025941;
2019-02-28;18;487.8;1011.903571;25.831994;4;.711905;
2019-03-31;23;576.2;1014.28487;25.522423;4.4;.647733;
2019-04-30;14;203.4;1013.745972;25.170972;7.6;.659306;
2019-05-31;10;212.6;1015.28414;23.388979;3;.532258;
2019-06-30;7;53.2;1019.768194;21.784583;4.8;.564167;
2019-07-31;4;64;1019.676479;20.362366;6.4;.801479;
2019-08-31;14;171;1021.997876;19.928858;7.2;.732823;
2019-09-30;18;122.4;1017.479028;21.634306;4;.716806;
2019-10-31;15;88.8;1014.701613;23.635215;5.9;.852016;
2019-11-30;19;211.8;1013.348605;23.276298;4.7;.74189;
2019-12-31;15;110.4;1012.556317;24.776479;5.2;.778763;
2020-01-31;18;190.6;1011.004436;25.549059;4.7;.710081;
2020-02-29;21;347.2;1013.028736;25.056322;4.6;.567672;
2020-03-31;17;282.8;1015.168186;24.187956;3.9;.590498;
2020-04-30;10;null;1016.00471;22.699456;3.4;.520652;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;5.1;null;
2020-09-30;null;null;null;null;5.9;null;
2020-10-31;null;null;null;null;3.7;null;
2020-11-30;null;null;null;null;4.2;null;
2020-12-31;null;null;null;null;5.2;null;

