Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 517
Situacao: Operante
Data Inicial: 2018-10-15
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;8;null;null;19.91;4.1;null;
2018-11-30;16;141.2;950.797132;21.070942;4.3;.804064;
2018-12-31;13;93.6;949.772177;22.447312;4.6;.733199;
2019-01-31;6;39;951.256586;24.617876;3.9;.684812;
2019-02-28;16;146.4;949.187946;23.738393;3.7;.619643;
2019-03-31;23;235.8;951.016129;22.971505;3.5;.649059;
2019-04-30;14;34.4;950.591806;22.036528;3.7;.472917;
2019-05-31;15;101;951.850134;20.040188;3.7;.448925;
2019-06-30;13;23.2;956.075694;18.132917;3.6;.345139;
2019-07-31;13;12;955.547043;16.054704;3.8;.417608;
2019-08-31;11;15.8;957.452054;16.683133;4.1;.415972;
2019-09-30;11;45.8;953.5425;19.793194;0;0;
2019-10-31;10;28.2;951.269892;21.33078;0;0;
2019-11-30;19;283;949.58746;21.271552;2.8;.097063;
2019-12-31;18;304.8;949.709677;21.863172;4.5;.636694;
2020-01-31;18;225.6;948.06922;22.854704;4.8;.61922;
2020-02-29;22;183.2;950.092241;22.541379;3.9;.616236;
2020-03-31;19;240.6;951.22352;21.150709;5.6;.664221;
2020-04-30;14;64.4;952.671389;19.679028;3.8;.594861;
2020-05-31;17;165.4;953.671102;17.188844;4.2;.35672;
2020-06-30;19;32.8;954.984722;17.668056;3.5;.440139;
2020-07-31;12;11.2;955.070833;17.163441;3.5;.529301;
2020-08-31;14;25.6;955.702823;17.302957;3.7;.630242;
2020-09-30;7;67.8;953.247222;20.617639;4.5;.81625;
2020-10-31;16;110.4;950.357258;21.155914;5.1;.717339;
2020-11-30;18;206.8;950.403502;20.698339;4.7;.648013;
2020-12-31;18;195.4;948.958734;22.898748;3.2;.242338;

