Nome: DRACENA
Codigo Estacao: A762
Latitude: -21.45777777
Longitude: -51.55222222
Altitude: 720
Situacao: Pane
Data Inicial: 2016-11-02
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;6;null;null;25.580871;8.4;null;
2016-12-31;15;222.4;967.567339;25.735349;10.6;3.089815;
2017-01-31;25;335.6;968.391667;25.115054;8.9;null;
2017-02-28;10;47.2;967.873363;26.659078;7.4;2.467411;
2017-03-31;17;170.4;968.897312;25.634005;10.6;2.584677;
2017-04-30;9;190.4;970.424722;23.40625;null;null;
2017-05-31;12;117.8;971.080376;22.798522;null;null;
2017-06-30;7;65.8;973.862361;19.998889;8.2;3.048851;
2017-07-31;0;0;977.199194;19.80578;9;3.647581;
2017-08-31;6;123;971.868817;22.228898;9.4;3.500269;
2017-09-30;2;10.4;971.448194;25.948889;9;3.585417;
2017-10-31;13;218.6;968.238978;24.782258;8.9;3.4125;
2017-11-30;13;255.6;966.676667;24.699167;12.8;3.196528;
2017-12-31;17;238.2;966.566532;25.668414;9;2.625403;
2018-01-31;18;188.2;967.72621;25.627285;10;2.894086;
2018-02-28;11;201.6;967.702083;25.145387;7.3;2.765179;
2018-03-31;10;115.2;967.586156;26.517608;11.2;2.310887;
2018-04-30;4;31.4;971.383194;24.970833;7.7;2.749861;
2018-05-31;4;18;972.767608;22.261828;9.3;2.869892;
2018-06-30;2;48.2;973.714861;21.516111;6.8;2.725694;
2018-07-31;0;0;973.348925;22.034543;7.4;2.880914;
2018-08-31;8;46.8;973.647177;20.106452;7.4;3.152688;
2018-09-30;13;62.6;969.44625;23.477083;9;3.228194;
2018-10-31;11;207.4;968.08414;25.261022;13.4;3.134005;
2018-11-30;11;160.8;967.402778;25.348056;9.7;3.59625;
2018-12-31;14;100;968.087903;26.57379;9.6;2.542532;
2019-01-31;11;121.8;969.553898;27.413844;7.9;2.527262;
2019-02-28;13;84.8;967.669494;26.361756;7.2;2.494941;
2019-03-31;12;138.6;969.728898;25.572043;8.2;2.535887;
2019-04-30;5;84.4;969.585278;25.085139;6.4;2.219445;
2019-05-31;6;32.8;970.988979;22.937769;7.4;2.500941;
2019-06-30;3;20.8;974.077917;21.978056;10.2;2.970223;
2019-07-31;3;61;973.798253;20.456586;8;3.070161;
2019-08-31;1;null;null;21.703472;9.9;null;
2019-09-30;6;73.8;969.987639;25.543889;8.7;3.365978;
2019-10-31;6;88.4;968.223387;27.104839;13.3;3.094489;
2019-11-30;7;66.8;966.672361;26.866528;11.8;3.044529;
2019-12-31;14;224.2;967.401379;25.872066;7.8;2.595021;
2020-01-31;7;null;966.442898;26.756945;8.6;2.695698;
2020-02-29;17;288.8;968.181322;25.43204;7.9;2.548801;
2020-03-31;null;null;969.181659;26.4156;7.8;2.862249;
2020-04-30;null;null;971.348915;null;9.1;2.584497;
2020-05-31;null;null;null;null;7.2;null;
2020-06-30;null;null;null;null;9.7;null;
2020-07-31;null;null;null;null;7.3;null;
2020-08-31;null;null;null;null;7.6;null;
2020-09-30;null;null;null;null;8.2;null;
2020-10-31;null;null;null;null;12;null;
2020-11-30;null;null;null;null;12.3;null;
2020-12-31;13;141.4;967.20742;26.073758;11.3;2.715771;

