Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;4;null;null;20.845278;4.3;null;
2017-06-30;4;26.4;942.9625;19.018889;4.9;1.909306;
2017-07-31;1;.2;946.414919;18.642742;5.4;2.248387;
2017-08-31;7;98.4;941.524405;19.995089;5.5;2.265179;
2017-09-30;2;8.8;941.535278;24.518194;5.3;2.300555;
2017-10-31;16;204;937.938979;23.201882;5.2;2.234005;
2017-11-30;15;217.8;936.283056;22.720833;7.4;2.086806;
2017-12-31;17;132.2;936.179839;24.209409;4.9;1.791532;
2018-01-31;21;281.6;937.374193;23.700672;4.9;1.81129;
2018-02-28;10;191.8;937.243155;23.399107;4.8;1.916369;
2018-03-31;15;120;937.175806;25.163306;4.5;1.636559;
2018-04-30;4;8.6;940.966389;22.956667;4.1;1.7075;
2018-05-31;3;22;941.968952;21.032258;4.4;1.745027;
2018-06-30;3;5.2;942.6625;20.886389;4.5;1.747778;
2018-07-31;2;.6;942.494355;21.908199;4.3;1.796774;
2018-08-31;7;141;942.542204;18.715726;null;null;
2018-09-30;12;91;938.817222;21.495833;5.6;null;
2018-10-31;17;298.6;937.740591;22.958602;4.5;2.037231;
2018-11-30;12;164;937.299167;23.162778;6.1;2.318611;
2018-12-31;13;94;937.715054;25.182392;5;1.764919;
2019-01-31;17;231.8;939.314785;26.146505;5.2;1.682796;
2019-02-28;18;244.6;937.34881;24.397917;4.5;1.8785;
2019-03-31;16;294.2;939.285484;23.86371;3.7;null;
2019-04-30;8;53.6;938.99125;23.529583;3.9;1.459722;
2019-05-31;10;36.4;940.127016;21.700538;4.8;1.590188;
2019-06-30;3;38.4;943.430417;20.993333;5;1.762917;
2019-07-31;6;27.8;942.835262;19.599252;4.7;1.932639;
2019-08-31;1;null;null;null;5.1;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;7;null;null;null;4.4;null;
2019-11-30;15;115.8;936.551806;24.197917;5.2;2.123056;
2019-12-31;18;236.6;937.050403;24.167204;4.1;1.763038;
2020-01-31;19;125.4;936.362231;24.456452;4.3;1.71129;
2020-02-29;20;453.2;937.844684;23.274138;3.9;1.791523;
2020-03-31;5;45.6;939.014785;23.58871;4.5;1.855645;
2020-04-30;4;55.2;940.599445;21.93375;4.4;1.62625;
2020-05-31;3;50;941.809543;19.360215;4.4;1.604704;
2020-06-30;9;99;942.044445;20.848472;4.6;1.880417;
2020-07-31;3;7;941.926478;20.711021;4.9;1.894489;
2020-08-31;7;121.8;942.324328;20.241532;4.3;null;
2020-09-30;2;7.6;939.80375;25.645694;null;null;
2020-10-31;9;60.8;937.341667;25.106586;null;null;
2020-11-30;11;71.4;937.746111;24.270556;null;null;
2020-12-31;20;281;936.936156;23.966398;null;null;

