Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;6;null;null;null;null;null;
2019-08-31;6;99.8;1020.56544;12.837759;10;3.155063;
2019-09-30;9;142.2;1016.963056;14.694167;10.6;3.198417;
2019-10-31;17;259;1014.049059;18.543548;10.7;3.50336;
2019-11-30;8;99;1012.217917;21.12125;9.1;3.794444;
2019-12-31;7;37.6;1010.309409;22.715995;8;3.370161;
2020-01-31;9;38.4;1010.438575;23.754301;8.4;3.315054;
2020-02-29;9;33.4;1012.720833;23.392241;9;3.682615;
2020-03-31;9;36.8;1014.24088;23.030272;7.2;3.138636;
2020-04-30;13;102.6;1015.687361;18.96;11.3;3.733194;
2020-05-31;10;91.4;1014.942339;15.568683;9.6;2.967876;
2020-06-30;15;209.8;1014.904028;14.356806;9.9;3.02;
2020-07-31;11;126.8;1016.413038;12.15672;13.8;3.0125;
2020-08-31;12;51.2;1017.862366;13.855376;8.2;2.83871;
2020-09-30;14;190.8;1016.447083;14.695972;9.8;3.293056;
2020-10-31;13;130.4;1014.342204;17.404704;9.6;3.7875;
2020-11-30;7;29.6;1014.692222;19.851528;10.6;3.33;
2020-12-31;9;143.8;1011.229973;22.115457;8.8;3.795591;

