Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;5;null;null;19.703125;6.9;null;
2018-04-30;12;247;968.921667;20.941945;6.9;2.1425;
2018-05-31;11;56.6;969.647212;15.745664;7.1;2.535501;
2018-06-30;16;123.2;969.921777;10.943852;7.5;2.432822;
2018-07-31;21;214;970.022581;11.629704;8.6;3.018548;
2018-08-31;13;150.2;970.561962;12.038172;7.2;2.923656;
2018-09-30;17;304.6;967.15173;16.719306;9;2.851793;
2018-10-31;9;94.4;966.849731;17.141263;7.7;3.13293;
2018-11-30;8;138.6;965.392917;20.607778;8;2.888056;
2018-12-31;12;161.2;965.03078;21.485484;7.7;2.713306;
2019-01-31;17;205.2;965.41371;23.828763;8.6;2.788575;
2019-02-28;11;55;965.570982;22.287248;6.8;2.430131;
2019-03-31;13;71.4;967.736156;20.525672;7.9;2.682124;
2019-04-30;6;null;null;null;null;null;
2019-05-31;19;189.2;968.409912;16.250919;7.9;2.709233;
2019-06-30;9;58;969.648056;16.3875;7.9;2.514306;
2019-07-31;12;263.4;970.468817;11.82043;7.4;2.621371;
2019-08-31;6;119.8;972.496141;12.94096;9.1;2.886383;
2019-09-30;13;102.8;968.816944;14.642778;7.2;2.852083;
2019-10-31;16;354;966.761425;18.25578;10.9;3.104704;
2019-11-30;11;110.4;965.233333;20.415972;7.1;2.74875;
2019-12-31;6;52.4;964.177688;23.159946;7.4;2.633602;
2020-01-31;11;117.4;964.173387;22.976344;7.9;2.631183;
2020-02-29;6;9.4;966.314655;22.564799;7;2.625431;
2020-03-31;8;29;967.584886;23.040943;6.7;2.376514;
2020-04-30;10;40.2;968.995833;18.309167;7;2.690278;
2020-05-31;9;171.2;968.293414;15.081586;8.1;2.626613;
2020-06-30;19;151.6;967.58875;13.792778;8.4;2.658333;
2020-07-31;11;135;968.779704;11.648521;9.6;2.838172;
2020-08-31;10;85.8;970.153091;14.67379;8.6;2.755107;
2020-09-30;18;228.4;968.298575;14.666775;8.3;2.871431;
2020-10-31;13;105.4;966.615323;17.072581;8.8;3.155914;
2020-11-30;8;72.8;967.186806;19.36375;8.4;2.897917;
2020-12-31;10;68;964.468145;21.474597;8.2;2.847446;

