Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;3;null;null;null;null;null;
2019-03-31;12;146.6;937.618279;21.235081;8.4;3.052957;
2019-04-30;12;146;937.04125;20.499583;7.3;2.695278;
2019-05-31;17;299.6;937.715457;17.879167;8.8;3.192608;
2019-06-30;7;43.2;940.604583;17.962639;9.6;3.707083;
2019-07-31;12;93.4;940.663306;14.434005;10;3.342339;
2019-08-31;8;28.6;942.051724;15.836213;10.6;3.85226;
2019-09-30;7;56.4;937.750694;19.43;11.9;3.963195;
2019-10-31;14;197.4;936.395833;21.732258;10.7;3.793318;
2019-11-30;13;183.2;934.643472;22.582639;10.8;3.513333;
2019-12-31;11;149.6;934.857796;22.824059;11.6;3.235215;
2020-01-31;11;115;934.189247;23.598522;9.2;3.334543;
2020-02-29;12;158.8;936.15;22.572988;7.3;3.109195;
2020-03-31;5;33.2;937.42544;23.446591;12.3;2.871175;
2020-04-30;5;87.8;939.278333;18.768055;7.5;3.119583;
2020-05-31;10;185.6;939.435753;15.558602;9.1;3.261694;
2020-06-30;19;296;938.431111;16.407778;16.1;4.235833;
2020-07-31;13;166.8;939.16828;14.964919;9;3.863441;
2020-08-31;6;117.8;939.763575;17.274597;9.5;3.547715;
2020-09-30;5;40.2;937.365417;20.488056;9.2;3.758333;
2020-10-31;6;19.2;935.683871;22.057392;8.8;3.477688;
2020-11-30;11;138.6;936.005581;22.012083;9.3;3.602475;
2020-12-31;8;239.2;934.343402;23.56198;9.4;3.426087;

