Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.049125
Longitude: -50.149636
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;1;null;null;null;null;null;
2016-12-31;17;154;899.771774;18.501747;9.1;2.919758;
2017-01-31;19;141.4;900.868414;19.687769;7.1;2.825;
2017-02-28;16;null;901.045926;20.482212;7.9;2.550525;
2017-03-31;16;101;902.600403;17.489247;8.2;3.072446;
2017-04-30;15;87.4;903.2425;14.892361;10.2;3.096667;
2017-05-31;23;200;903.215492;13.823375;7.6;2.790504;
2017-06-30;14;121;904.018528;11.888793;13.4;3.008583;
2017-07-31;5;8.2;908.750269;12.090054;8.7;2.837231;
2017-08-31;14;91;903.467651;13.19721;10.3;3.106654;
2017-09-30;9;126;904.739549;16.646957;9.2;2.737497;
2017-10-31;15;197.2;900.106219;15.190274;10.2;3.32599;
2017-11-30;15;145;899.436313;15.289268;8.5;3.038965;
2017-12-31;14;81.8;899.518937;18.32875;7.7;2.880758;
2018-01-31;23;141;900.170161;18.476478;8.5;3.101344;
2018-02-28;12;114.4;901.090625;17.676637;6.7;2.774256;
2018-03-31;21;145.2;900.173754;18.067449;7.9;2.554692;
2018-04-30;13;72.2;904.519336;17.240193;6.4;2.371703;
2018-05-31;13;77;904.366176;13.158094;7.8;2.716263;
2018-06-30;17;177.8;903.817326;10.591037;14.1;3.056868;
2018-07-31;16;188.2;904.084677;12.057796;10.4;3.312634;
2018-08-31;13;86.6;904.334946;10.416532;11.2;3.23535;
2018-09-30;14;162.8;901.930513;14.362729;8.1;2.965242;
2018-10-31;12;265.6;901.348611;14.589028;7.8;3.058611;
2018-11-30;13;99.6;900.972361;17.084028;8.3;3.120556;
2018-12-31;13;139.6;900.768841;18.476753;8.8;2.951064;
2019-01-31;17;285;902.006183;21.102151;9.8;3.023521;
2019-02-28;17;182;901.058392;18.329296;9.5;2.868815;
2019-03-31;15;112.2;902.951613;17.265591;7.1;2.847984;
2019-04-30;17;140.8;902.094792;16.783929;8;2.57247;
2019-05-31;8;null;null;null;null;null;
2019-06-30;10;21.4;905.073333;14.061111;11.2;2.893056;
2019-07-31;11;97.6;904.424597;10.917473;8.8;2.904032;
2019-08-31;6;51.6;906.40291;11.34296;9.6;3.123216;
2019-09-30;13;75.8;903.176528;13.685695;9;2.980694;
2019-10-31;19;248;902.089247;16.285753;9.8;3.018683;
2019-11-30;18;123.6;900.580972;16.814861;7.1;2.962361;
2019-12-31;8;57.6;900.070833;18.622043;10.8;2.99879;
2020-01-31;18;332.4;899.897043;18.85;6.6;2.87043;
2020-02-29;16;72.6;901.934976;18.097914;8.3;2.943228;
2020-03-31;11;20;903.197793;18.412566;5.5;2.536928;
2020-04-30;14;35.4;903.525139;14.554444;8.5;2.986111;
2020-05-31;9;66.4;902.80672;12.789247;9.7;3.158737;
2020-06-30;9;null;null;12.165703;10.5;null;
2020-07-31;5;null;null;null;7.9;null;
2020-08-31;8;97.4;904.639113;12.93629;7.1;2.585349;
2020-09-30;12;117.8;903.005278;14.080833;8.2;3.033889;
2020-10-31;9;110.2;901.310081;15.48629;6.9;3.165591;
2020-11-30;20;161.8;901.844571;15.694257;7.3;2.818049;
2020-12-31;19;151;900.087021;17.85059;10.6;3.136325;

