Nome: SAPEZAL
Codigo Estacao: A911
Latitude: -13.30388888
Longitude: -58.76333333
Altitude: 105
Situacao: Operante
Data Inicial: 2017-10-19
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;4;null;null;null;null;null;
2017-11-30;20;166.6;947.892827;24.27447;9.9;2.622713;
2017-12-31;28;173.6;948.317709;23.553735;9.3;2.522206;
2018-01-31;26;371.2;949.187956;23.537874;8.6;2.34706;
2018-02-28;23;446.8;948.700796;24.216091;10.2;3.115172;
2018-03-31;21;179.6;949.357761;24.340407;11.8;2.538612;
2018-04-30;17;112.8;950.87846;23.73061;8.5;1.975864;
2018-05-31;6;44.8;952.044414;22.682353;7.5;2.517925;
2018-06-30;1;.2;953.491328;21.013106;8.6;2.970313;
2018-07-31;0;0;952.87164;22.367742;8.4;3.071237;
2018-08-31;8;88.4;952.460349;23.971237;10.7;3.300403;
2018-09-30;12;51.8;949.694002;24.752323;10.7;3.129343;
2018-10-31;22;140.8;949.08047;25.048691;10.3;2.650479;
2018-11-30;24;351.4;948.291461;24.084276;8.4;2.344668;
2018-12-31;23;232.4;949.993876;23.632819;7.7;2.481195;
2019-01-31;29;369.8;950.870296;23.962366;10.8;2.744355;
2019-02-28;24;326.8;949.984631;24.180196;10.2;2.979086;
2019-03-31;22;326.4;950.413038;24.359274;9.9;2.564382;
2019-04-30;16;130;950.35;23.957184;6.1;2.027012;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;1;5.8;953.119585;24.41816;9.3;3.663228;
2019-09-30;9;78;950.053611;27.058472;8.7;3.165833;
2019-10-31;20;206;949.711582;24.370845;9.8;2.793355;
2019-11-30;18;296.6;948.394143;24.168285;7.6;2.327029;
2019-12-31;22;326.6;948.9589;23.747329;10;2.09557;
2020-01-31;25;142.8;949.220699;24.890591;9.9;3.01586;
2020-02-29;23;336.6;949.7874;24.637856;9.3;2.916304;
2020-03-31;3;null;null;null;7.2;null;
2020-04-30;null;null;null;null;7.8;null;
2020-05-31;null;null;null;null;8.4;null;
2020-06-30;2;5.6;952.086389;23.063472;7.6;2.145556;
2020-07-31;0;0;951.768683;23.477823;7.9;2.749866;
2020-08-31;0;0;951.110081;24.8375;8.6;3.606855;
2020-09-30;5;38.2;949.81535;27.033092;12.3;3.204185;
2020-10-31;14;98;949.030517;26.035217;14.4;3.260934;
2020-11-30;9;102.8;948.755827;25.425634;9.4;2.329976;
2020-12-31;23;169.8;948.832276;23.96984;8.8;2.328366;

