Nome: PRIMAVERA DO LESTE
Codigo Estacao: A923
Latitude: -15.57999999
Longitude: -54.3811111
Altitude: 680
Situacao: Pane
Data Inicial: 2017-10-25
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-10-31;3;null;null;null;null;null;
2017-11-30;22;274.8;934.847209;24.259921;9.9;3.161138;
2017-12-31;21;341.2;935.30589;23.571611;7.9;2.881819;
2018-01-31;22;346.4;936.245583;23.606396;9.7;2.61018;
2018-02-28;27;342.6;935.664324;23.569119;8.6;2.439681;
2018-03-31;22;191.8;936.42595;24.182653;10.8;2.283483;
2018-04-30;13;43.4;938.324143;23.344825;8;1.875362;
2018-05-31;6;20.6;939.51967;22.334584;7.4;2.335443;
2018-06-30;7;2.8;940.816389;21.269306;7.3;2.878889;
2018-07-31;1;.2;940.343011;22.8375;7.8;2.788172;
2018-08-31;2;9.4;939.785618;23.90457;9.6;3.373387;
2018-09-30;11;79.2;936.890278;25.11;11;3.0825;
2018-10-31;16;297.6;936.269086;24.605645;10.7;2.831855;
2018-11-30;24;370.2;935.368333;23.819306;9.4;3.081806;
2018-12-31;17;265.6;936.850672;23.961559;10.7;2.701882;
2019-01-31;20;127.4;938.058065;24.181586;10.6;2.655511;
2019-02-28;20;227.6;936.819494;24.241815;9.1;2.746875;
2019-03-31;21;294.2;937.647984;24.011156;8.6;2.521371;
2019-04-30;19;124;937.654167;23.60125;8.5;1.726806;
2019-05-31;4;null;null;23.031061;5.7;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;5;null;null;null;null;null;
2019-12-31;18;248.2;936.144139;24.010973;9.2;2.154508;
2020-01-31;20;160.2;935.969226;24.472072;7.8;2.648264;
2020-02-29;22;270.8;936.824183;23.991786;8.1;2.606721;
2020-03-31;14;248.6;936.599357;24.730049;8.4;2.471897;
2020-04-30;8;67.2;938.527778;24.066806;8.9;1.99875;
2020-05-31;5;36.6;939.999866;21.151613;6.4;2.375672;
2020-06-30;1;.6;939.711806;22.953889;8.1;2.789306;
2020-07-31;0;0;939.46129;23.635618;8.3;3.090726;
2020-08-31;0;0;938.71707;25.135789;12.2;3.756757;
2020-09-30;2;13.4;937.18596;28.321751;10.1;3.286618;
2020-10-31;10;128.2;935.685094;27.166801;12;3.288582;
2020-11-30;9;137.2;935.822695;25.707274;9.8;2.928945;
2020-12-31;18;271.6;935.796551;24.498002;10.4;2.517965;

