Nome: ANGELICA
Codigo Estacao: S701
Latitude: -22.148083
Longitude: -53.763736
Altitude: 347
Situacao: Operante
Data Inicial: 2018-04-08
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-04-30;1;null;null;25.484722;5.7;null;
2018-05-31;3;43;976.245699;21.993145;7.5;2.122312;
2018-06-30;5;40.6;977.500157;19.563285;7.3;2.012162;
2018-07-31;1;.2;976.862231;21.133871;7;2.1027;
2018-08-31;12;105;977.518952;19.121909;9.1;2.568548;
2018-09-30;13;172.8;973.078472;22.360833;7.1;2.385833;
2018-10-31;16;344.6;971.409677;24.502016;8.3;2.363575;
2018-11-30;13;212;970.823056;25.080417;7.8;2.658889;
2018-12-31;12;49.2;971.566532;27.077151;8.6;2.16922;
2019-01-31;18;147.8;972.796371;27.31371;6.8;2.022984;
2019-02-28;13;121.2;971.070833;26.337054;8.8;1.988988;
2019-03-31;17;157.2;973.269758;25.357258;7.9;1.996371;
2019-04-30;5;29.8;973.13;25.004028;9.9;1.792639;
2019-05-31;12;38.4;974.502554;22.464785;7.9;2.180107;
2019-06-30;4;null;null;null;7.4;null;
2019-07-31;null;null;null;null;6.8;null;
2019-08-31;null;null;null;null;7.4;null;
2019-09-30;null;null;null;null;8.1;null;
2019-10-31;null;null;null;null;7.2;null;
2019-11-30;14;88.6;969.914583;27.316667;9.6;2.541367;
2019-12-31;18;213.6;970.791129;25.66586;10;2.063199;
2020-01-31;12;96.6;969.991667;26.986425;6.7;2.175535;
2020-02-29;10;126.4;971.509052;26.379167;6.9;2.00968;
2020-03-31;6;38;972.671576;26.720004;6;2.164358;
2020-04-30;2;57.2;975.104167;23.807361;12.7;2.042222;
2020-05-31;5;102.4;976.559409;20.287097;7.8;2.082118;
2020-06-30;7;77.4;975.73375;20.96875;9.4;2.232917;
2020-07-31;2;16.4;976.159677;20.319086;6.9;2.215818;
2020-08-31;9;188.2;976.046102;21.491398;6.9;2.605335;
2020-09-30;4;34;972.966944;26.406806;7.9;2.175827;
2020-10-31;8;115.6;970.983871;26.68172;9.3;2.309386;
2020-11-30;4;19.2;971.5375;26.505833;9.1;2.34754;
2020-12-31;14;181.8;970.435215;26.373925;7.5;2.18102;

