Nome: BRASILANDIA
Codigo Estacao: S705
Latitude: -21.29833333
Longitude: -52.06888888
Altitude: 345
Situacao: Pane
Data Inicial: 2018-04-05
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-04-30;1;null;975.995652;24.973913;5.6;2.184239;
2018-05-31;3;22.4;976.275672;21.819355;9.2;2.312634;
2018-06-30;1;null;977.894333;20.277835;6.1;2.452988;
2018-07-31;null;null;null;22.121667;8.2;null;
2018-08-31;9;39.8;977.226356;19.972703;8;2.788429;
2018-09-30;7;88.4;972.974306;23.187083;8.3;null;
2018-10-31;15;246;971.51707;25.366129;null;null;
2018-11-30;12;104;970.834306;25.597639;null;null;
2018-12-31;17;94;971.548925;26.817608;null;null;
2019-01-31;10;57.6;972.950941;27.719355;null;null;
2019-02-28;13;115.2;971.109226;26.589434;null;null;
2019-03-31;15;134;973.195027;25.606452;null;null;
2019-04-30;8;53.2;973.070278;24.829306;null;null;
2019-05-31;10;41;974.509274;22.691801;null;null;
2019-06-30;4;14.6;977.505833;21.424583;null;null;
2019-07-31;2;null;977.170368;null;8.1;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

