Nome: CAARAPO
Codigo Estacao: S706
Latitude: -22.657056
Longitude: -54.819306
Altitude: 456
Situacao: Operante
Data Inicial: 2018-03-02
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;14;null;959.481833;25.647833;8.8;2.407833;
2018-04-30;3;12.2;963.358056;24.478333;7.8;2.493889;
2018-05-31;6;77.2;964.486962;20.917204;8.2;2.78871;
2018-06-30;7;14.6;965.760361;17.532615;8.1;2.551139;
2018-07-31;1;1.4;965.172849;19.693145;8.1;2.869489;
2018-08-31;13;39;965.740591;18.108199;9.2;3.211156;
2018-09-30;17;191.4;961.302083;21.286944;9.1;null;
2018-10-31;16;448.6;959.794489;23.839925;10.1;3.261775;
2018-11-30;14;121.6;959.163472;24.568472;10.1;3.330556;
2018-12-31;11;146.8;960.071102;26.014113;11.3;2.690457;
2019-01-31;13;94.6;961.062097;27.049462;8.2;2.904704;
2019-02-28;12;null;959.593222;25.760408;10.3;2.621733;
2019-03-31;null;null;null;null;7.5;null;
2019-04-30;null;null;null;null;6.9;null;
2019-05-31;null;null;null;null;7.9;null;
2019-06-30;null;null;null;null;7.2;null;
2019-07-31;null;null;null;null;9.1;null;
2019-08-31;null;null;null;null;9.4;null;
2019-09-30;null;null;null;null;9.4;null;
2019-10-31;null;null;null;null;9.8;null;
2019-11-30;9;null;null;26.751119;10.1;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;13;null;null;25.855452;6.9;null;
2020-02-29;6;null;null;null;7.3;null;
2020-03-31;null;null;null;null;6.6;null;
2020-04-30;2;null;964.299171;21.232248;8.2;2.196634;
2020-05-31;6;56.6;964.770465;18.671798;9;2.575625;
2020-06-30;9;40.2;963.663439;20.224353;10.5;3.223562;
2020-07-31;6;14.4;964.269355;19.086828;8;2.985484;
2020-08-31;5;61.6;963.681128;21.65394;7.1;3.380698;
2020-09-30;3;15;961.487523;25.264836;8.6;2.689231;
2020-10-31;10;108.2;959.540885;25.776723;12.1;2.824633;
2020-11-30;1;null;null;null;7.1;null;
2020-12-31;15;122.8;958.838844;25.447043;8;2.684005;

