Nome: IGUATEMI
Codigo Estacao: S709
Latitude: -23.64444444
Longitude: -54.57027777
Altitude: 319
Situacao: Operante
Data Inicial: 2018-02-18
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;1;null;null;24.148148;7.9;null;
2018-05-31;7;67.8;978.686974;20.695559;10.5;2.867011;
2018-06-30;8;57.2;980.150833;17.225556;9.5;2.6275;
2018-07-31;2;9.2;979.478629;18.548522;8.9;2.902285;
2018-08-31;12;102.4;980.215591;17.304704;9.6;3.080376;
2018-09-30;16;160;975.407778;20.88375;8.7;3.007222;
2018-10-31;16;308;973.820296;23.216936;12.2;3.158333;
2018-11-30;13;111.2;973.220417;24.9225;10.4;3.291111;
2018-12-31;13;112.6;973.85672;25.858602;10.5;2.755511;
2019-01-31;16;75.8;974.680914;27.358065;11.2;2.948118;
2019-02-28;18;126.4;973.340392;25.597587;10.4;2.539137;
2019-03-31;11;143;975.697043;24.538038;13.2;2.479032;
2019-04-30;6;null;975.653848;23.210455;7.7;2.235835;
2019-05-31;null;null;null;null;8.5;null;
2019-06-30;null;null;null;null;11.5;null;
2019-07-31;null;null;null;null;10;null;
2019-08-31;null;null;null;null;10.7;null;
2019-09-30;null;null;null;null;11.1;null;
2019-10-31;null;null;null;null;10.4;null;
2019-11-30;13;139.2;972.152083;26.800278;12.2;3.239444;
2019-12-31;15;482.2;973.152957;24.890188;8.8;2.807258;
2020-01-31;18;218.6;972.233602;26.158737;8.4;2.525806;
2020-02-29;7;106.6;973.867385;25.880747;8.6;2.606897;
2020-03-31;5;59.2;975.127823;25.873656;8.5;2.514785;
2020-04-30;2;91;977.807403;21.446147;10.8;2.44381;
2020-05-31;6;110.8;978.984409;18.056989;10.9;2.788038;
2020-06-30;10;106.8;977.760694;19.580139;10.3;3.639583;
2020-07-31;6;6.2;978.579436;18.447446;9.3;3.337634;
2020-08-31;1;.2;978.413172;20.12379;9.4;3.498656;
2020-09-30;0;0;975.453327;24.253273;9.3;2.92183;
2020-10-31;4;51.2;973.465054;25.927285;10.3;2.634543;
2020-11-30;0;0;974.045139;25.092083;9.2;2.741528;
2020-12-31;4;76;972.653226;25.274462;8.6;2.682527;

