Nome: NOVA ALVORADA DO SUL
Codigo Estacao: S712
Latitude: -21.450972
Longitude: -54.341972
Altitude: 5
Situacao: Operante
Data Inicial: 2018-02-22
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;1;null;null;null;null;null;
2018-05-31;4;38.2;971.123387;21.216667;5.7;2.016667;
2018-06-30;7;35.8;972.529722;19.221667;7.4;1.829861;
2018-07-31;1;2;971.856317;21.261962;6.3;1.928091;
2018-08-31;8;92;972.363979;20.312634;7.5;2.330511;
2018-09-30;11;137.2;968.061806;23.229305;6.1;2.081528;
2018-10-31;19;178.4;966.334005;26.017876;8.4;2.179167;
2018-11-30;14;295.2;965.74125;26.159167;6.7;2.172361;
2018-12-31;14;106.2;966.807796;27.072446;6.6;1.757124;
2019-01-31;18;76.2;967.930645;27.356048;7.4;1.872984;
2019-02-28;16;144.8;966.265774;26.334226;5.8;1.721577;
2019-03-31;15;null;967.852634;25.45408;7.8;1.689703;
2019-04-30;null;null;null;null;9;null;
2019-05-31;null;null;null;null;6.5;null;
2019-06-30;null;null;null;null;8.7;null;
2019-07-31;null;null;null;null;6.6;null;
2019-08-31;null;null;null;null;7;null;
2019-09-30;null;null;null;null;9.2;null;
2019-10-31;null;null;null;null;6.9;null;
2019-11-30;11;141.6;964.955833;27.452639;7.4;2.206944;
2019-12-31;22;313.8;965.887769;26.04879;8;1.785484;
2020-01-31;16;167.6;965.140726;27.153763;7.7;1.709409;
2020-02-29;16;177.2;966.595977;26.072988;null;null;
2020-03-31;4;70;967.571026;26.566152;null;null;
2020-04-30;8;68.2;970.112361;22.886806;5.4;1.701944;
2020-05-31;10;69;971.555376;19.685215;8.7;1.897715;
2020-06-30;7;49;970.63625;21.075;9.9;2.30625;
2020-07-31;2;1.8;971.038172;20.296774;7.3;2.189382;
2020-08-31;7;222;970.730914;21.933065;8.2;2.763575;
2020-09-30;3;26.4;967.923838;26.303801;8.6;2.118371;
2020-10-31;2;null;null;null;11.7;null;
2020-11-30;1;null;null;null;6.4;null;
2020-12-31;null;null;null;null;7.7;null;

