Nome: SANTA RITA DO PARDO
Codigo Estacao: S716
Latitude: -21.305889
Longitude: -52.820375
Altitude: 383
Situacao: Operante
Data Inicial: 2018-02-18
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;5;43.2;972.844624;21.24879;8.5;2.752823;
2018-06-30;2;10.2;973.958141;19.957263;7.1;2.309596;
2018-07-31;0;0;973.434409;20.682661;7.5;2.527285;
2018-08-31;11;48.8;973.860349;19.4625;9.1;3.09207;
2018-09-30;11;87;969.609306;22.629444;10.6;3.048889;
2018-10-31;16;256.4;968.096774;25.084409;13.5;2.974381;
2018-11-30;14;80.6;967.413056;25.035278;8.9;3.318889;
2018-12-31;12;140.2;968.279167;26.329301;9.6;2.327823;
2019-01-31;21;87.6;969.64207;27.061828;8;2.302419;
2019-02-28;12;183.2;967.78006;26.24628;8.5;2.338244;
2019-03-31;14;142;969.885081;24.863979;8.7;2.290054;
2019-04-30;8;29.8;969.742323;24.473876;8.6;2.049646;
2019-05-31;4;null;971.19731;22.30979;6.9;2.423725;
2019-06-30;null;null;null;null;8.8;null;
2019-07-31;null;null;null;null;9.2;null;
2019-08-31;null;null;null;null;8.6;null;
2019-09-30;null;null;null;null;8.8;null;
2019-10-31;null;null;null;null;9.4;null;
2019-11-30;10;null;966.725906;25.899275;8.4;2.836799;
2019-12-31;20;267.4;967.522312;25.303495;7.4;2.282523;
2020-01-31;14;119;966.712769;26.650538;10.2;2.339575;
2020-02-29;15;102;968.202586;25.764799;6.9;2.445977;
2020-03-31;6;13.2;969.268455;25.598603;11;2.680949;
2020-04-30;2;61.4;971.5325;22.994167;11.3;2.412639;
2020-05-31;7;76.8;973.158468;19.228226;8.8;2.21371;
2020-06-30;8;60.4;972.534306;21.405417;7.8;2.742377;
2020-07-31;2;2;972.758333;20.440188;null;null;
2020-08-31;5;70.6;972.681989;21.431586;8.1;null;
2020-09-30;2;14.2;969.585139;26.697083;9.5;3.025417;
2020-10-31;13;96;967.47164;26.767876;10.3;3.057258;
2020-11-30;7;68.4;968.159167;25.945833;9.3;2.962385;
2020-12-31;18;218.8;967.219624;25.981586;7.4;2.621759;

