Nome: SELVIRIA
Codigo Estacao: S717
Latitude: -20.35138888
Longitude: -51.43027777
Altitude: 374
Situacao: Pane
Data Inicial: 2018-04-04
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-04-30;2;null;973.510688;25.069746;6;2.146739;
2018-05-31;3;6;973.878898;22.802957;6.8;2.3375;
2018-06-30;0;0;974.861944;22.40875;7.8;2.403333;
2018-07-31;0;0;974.552957;22.432124;7.1;2.25121;
2018-08-31;6;9.8;974.621505;21.573118;7.3;2.758871;
2018-09-30;11;151.4;970.552778;24.292222;10.7;2.641944;
2018-10-31;14;157;969.177688;26.308602;10.6;2.588306;
2018-11-30;18;215;968.4775;25.581667;9.2;2.859861;
2018-12-31;16;203.4;969.376479;27.065457;8.3;2.361156;
2019-01-31;17;118.8;970.873118;27.524731;8.7;2.35121;
2019-02-28;13;215.2;968.999256;26.681399;9.5;2.534375;
2019-03-31;17;108.4;970.883064;25.972312;8.5;2.312769;
2019-04-30;8;82.8;970.782778;25.534583;8.9;1.905972;
2019-05-31;6;37.4;972.236425;23.373522;11.6;2.148253;
2019-06-30;3;28.2;975.239722;22.13625;8.7;2.265972;
2019-07-31;2;19.4;974.929435;21.072984;7.5;2.452823;
2019-08-31;4;26.6;975.369892;23.051344;11.6;2.91922;
2019-09-30;4;21.2;970.996323;27.043442;9.6;null;
2019-10-31;5;50.6;969.333871;27.969624;null;null;
2019-11-30;12;70;967.85375;27.703889;null;null;
2019-12-31;17;271;968.641667;26.612231;null;null;
2020-01-31;14;195;967.899866;27.103763;null;null;
2020-02-29;18;367.2;969.408046;25.94727;null;null;
2020-03-31;7;61.4;970.275;26.263575;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

