Nome: SERRA DO NAVIO
Codigo Estacao: 82092
Latitude: 0.9
Longitude: -52.02
Altitude: 163
Situacao: Desativada
Data Inicial: 1981-03-31
Data Final: 1995-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1981-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-04-30;0;55.7;null;null;114.1;.851685;21;194.1;null;30.663333;25.53;22.493333;89.473684;12;1.258427;null;null;
1981-05-31;0;45.5;null;null;124.3;.804301;27;356.1;null;29.8;25.039355;22.490323;90.314815;12;.741935;45.603448;null;
1981-06-30;0;72.4;null;null;123.9;.726667;22;138.8;null;30.396667;25.320667;22.073333;84.272727;7;1.133333;47.717391;null;
1981-07-31;0;55.3;null;null;146;.790323;25;223.9;null;29.851613;24.228387;21.090323;86.78125;5;.55914;45.458333;null;
1981-08-31;0;85.3;null;null;218.6;.61828;16;162.2;null;31.56129;25.563871;21.406452;82.076087;7;1.258065;49.04;null;
1981-09-30;0;100;null;null;221.5;.654444;15;65.6;null;32.133333;25.772667;21.583333;79.130952;5;1.366667;50;null;
1981-10-31;5;118.5;null;null;228.4;.644086;null;34.8;null;32.529032;26.449032;21.612903;74.238636;9;1.946237;null;null;
1981-11-30;5;110;null;null;219.5;.645556;null;116.3;null;32.526667;26.632667;21.956667;74.684211;9;2.555556;49.347826;null;
1981-12-31;5;85.1;null;null;153.2;.763441;20;200.9;null;31.225806;25.88;22.587097;81.027778;7;2.139785;null;null;
1982-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1982-02-28;5;44.7;null;null;78.5;.813253;24;326.2;null;29.207143;24.513571;22.132143;89.216667;10.3;1.943373;null;null;
1982-03-31;5;50.2;null;null;76.1;.878495;18;305.5;null;28.967742;24.332903;20.477419;87.9125;5;1.634409;null;null;
1982-04-30;0;35.9;null;null;77.5;.894444;27;365.1;null;29.293333;24.512;21.066667;90.355263;17;1.277778;null;null;
1982-05-31;0;36.8;null;null;108.7;.822581;29;268.9;null;29.429032;24.585161;20.841935;90.402174;5;1;46.938776;null;
1982-06-30;0;67.9;null;null;191.5;.662222;21;146.1;null;30.646667;24.741333;19.9;85.6875;5;1.411111;null;null;
1982-07-31;0;70.4;null;null;190.1;.744086;20;143.8;null;30.664516;24.644516;19.474194;83.925;5;1.688172;null;null;
1982-08-31;null;89;null;null;207.8;.695699;18;113.5;null;31.335484;24.7952;19.356;null;5;1.612903;null;null;
1982-09-30;null;119.6;null;null;235.2;.583333;null;51.4;null;32.366667;null;null;78.533333;7;2.266667;null;null;
1982-10-31;5;137.7;null;null;253;.622581;null;80.1;null;33.03871;null;null;72.325;7;2.064516;null;null;
1982-11-30;null;146;null;null;221.1;.717778;null;35.8;null;32.5;null;null;null;7;2.688889;null;null;
1982-12-31;null;126.4;null;null;178.8;.801075;null;57.6;null;31.787097;null;null;null;5.6;2.380645;null;null;
1983-01-31;null;93.3;null;null;130.6;8.16129;22;87.9;null;30.225806;null;null;null;7;2.277419;null;null;
