Nome: CUPIXI
Codigo Estacao: 82093
Latitude: 0.62
Longitude: -51.78
Altitude: 70
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1981-01-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;11;111.7;null;30.2875;25.2525;22.025;88.140625;3;null;null;null;
1970-02-28;0;56.2;null;null;146.8;.839286;24;164.3;null;31.885714;26.094286;22.571429;86.919643;7;.571429;59.464286;null;
1970-03-31;0;42.3;null;null;90.6;.910753;28;369.3;null;30.319355;25.542581;22.864516;90.233871;7;.483871;57.983871;null;
1970-04-30;0;41.6;null;null;108.3;.874444;27;385.2;null;30.86;25.776;22.946667;89.991667;7;.488889;59;null;
1970-05-31;0;43;null;null;131.4;.865591;29;243.9;null;30.865517;25.817241;22.63871;90.532258;7;.537634;58.548387;null;
1970-06-30;0;55.6;null;null;175.8;.534444;22;152;null;30.97;25.455333;21.926667;88.141667;3;.322222;58.416667;null;
1970-07-31;0;62.6;null;null;192;.632258;19;120.5;null;31.806452;25.534194;21.866667;86.806452;3;.55914;59.677419;null;
1970-08-31;0;65.8;null;null;220.1;.694624;22;159.4;null;32.658065;26.058065;21.929032;85.677419;3;.569892;58.629032;null;
1970-09-30;0;69.3;null;null;219.2;.47;24;137.6;null;32.966667;26.088;21.42;85.041667;3;.622222;59.833333;null;
1970-10-31;5;96.3;null;null;259.2;.489247;10;39.6;null;34.409677;26.751613;21.129032;79.895161;3;.72043;58.870968;null;
1970-11-30;0;57.5;null;null;174.1;.81;19;296.9;null;32.253333;25.692;21.806667;88.591667;3;.677778;54.233333;null;
1970-12-31;null;null;null;null;null;null;13;61.5;null;32.283333;25.987778;21.221053;85.694444;3;null;null;null;
1971-01-31;null;null;null;null;null;null;14;142.9;null;30.6375;24.88;21.7875;90.6875;3;null;null;null;
1971-02-28;0;41;null;null;115;.80119;24;213.1;null;30.121429;24.777143;21.907143;89.821429;1;.47619;58.75;null;
1971-03-31;0;39;null;null;73.3;.872043;28;363;null;30.009677;24.722581;22.126667;91.459677;7;.548387;51.209677;null;
1971-04-30;0;33.6;null;null;81.1;.937778;27;310.2;null;30.083333;25.218;22.453333;91.383333;3;.522222;53.333333;null;
1971-05-31;0;39.4;null;null;101.9;.960215;30;317.6;null;29.987097;25.043226;22.329032;92.024194;3;.548387;56.209677;null;
1971-06-30;0;39.8;null;null;113.8;.946667;25;237.3;null;29.78;24.713333;21.7;91.833333;3;.388889;57.666667;null;
1971-07-31;0;50.2;null;null;161.6;.806452;23;189.9;null;30.619355;24.722581;21.083871;90.298387;3;.451613;55;null;
1971-08-31;0;65.4;null;null;219;.529032;26;147.4;null;32.367742;25.565161;21.129032;85.508065;1;.526882;58.951613;null;
1971-09-30;0;93;null;null;259.9;.444444;null;57.2;null;33.31;25.931333;20.24;78.991667;3;.677778;59.333333;null;
1971-10-31;5;87.5;null;null;240.6;.63871;16;94.3;null;32.719355;25.725806;20.309677;79.483871;3;.677419;58.306452;null;
1971-11-30;5;95;null;null;233.8;.613333;null;71.5;null;33.086667;26.185333;20.906667;77.975;3;.655556;59.333333;null;
1971-12-31;null;null;null;null;null;null;null;34.5;null;33.205882;25.685882;19.833333;79.264706;1;null;null;null;
1972-01-31;null;null;null;null;72.6;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;0;35.4;null;null;79;.86506;26;290.2;null;27.439286;24.070714;21.742857;89.633929;5;.566265;58.214286;null;
1972-03-31;0;30.8;null;null;59;.886022;27;342.3;null;28.754839;24.592903;22.122581;90.41129;1;.333333;56.129032;null;
1972-04-30;0;33.9;null;null;93.5;.852222;26;263;null;29.74;25.082667;22.316667;89.433333;1;.455556;58.833333;null;
1972-05-31;0;36.1;null;null;139.2;.788043;24;341.3;null;30.316129;25.380667;22.343333;88.875;3;.586957;58.52459;null;
1972-06-30;0;47.5;null;null;168.3;.656667;20;204.6;null;30.453333;25.151333;21.373333;87.416667;5;.733333;59.166667;null;
1972-07-31;0;53.5;null;null;217.1;.608791;21;168.7;null;30.877419;25.208667;21.093333;85.15;3;.681319;58.666667;null;
1972-08-31;5;65.7;null;null;254.3;.512903;18;146.5;null;32.080645;25.414839;20.890323;83.193548;5;.763441;59.193548;null;
1972-09-30;5;72.6;null;null;242.3;.457471;16;68;null;32.875862;26.111034;20.941379;80.353448;3;1.045977;60;null;
1972-10-31;5;98.7;null;null;254.9;.530108;null;61.4;null;33.7;26.392258;21.074194;83.701613;12;1.247312;59.032258;null;
1972-11-30;5;null;null;null;null;.558824;null;20.8;null;33.586364;26.796364;21.617391;80.545455;3;1.102941;59.130435;null;
1972-12-31;null;null;null;null;null;null;null;38.4;null;null;null;null;null;3;null;null;null;
1973-01-31;null;null;null;null;null;null;null;null;null;29;24.715294;22.033333;91.161765;3;null;null;null;
1973-02-28;5;null;null;null;72.1;.841975;26;237.1;null;29.807407;25.147407;22.544444;90.694444;5;.777778;57.777778;null;
1973-03-31;5;42.7;null;null;76.2;.808602;23;201.6;null;29.522581;25.393548;22.858065;89.774194;3;.763441;58.225806;null;
1973-04-30;5;34.3;null;null;49.2;.822222;27;272.6;null;29.086667;24.989333;22.4;91.15;3;.688889;57.666667;null;
1973-05-31;0;26.7;null;null;54.7;.845161;29;369.8;null;29.070968;24.91871;22.609677;92.629032;3;.55914;57.903226;null;
1973-06-30;5;43.8;null;null;151.9;.667778;22;157.7;null;29.896667;25.192667;22.14;88.866667;5;.766667;59.833333;null;
1973-07-31;5;49.1;null;null;165.3;.686022;21;266.4;null;29.893548;24.925806;21.493548;88.830645;3;.688172;59.193548;null;
