Nome: PARICACHOEIRA
Codigo Estacao: 82100
Latitude: 0.17
Longitude: -69.93
Altitude: 115
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1979-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;43.1;null;null;130.7;3.526882;15;162.6;992.150538;31.767742;25.541935;21.677419;88.459677;3;.956989;10.627119;null;
1970-02-28;32;31.8;null;null;99;3.452381;22;438.3;991.971429;31.264286;25.471429;21.864286;89.116071;3;.917857;10.25;null;
1970-03-31;32;49.7;null;null;143.9;4.666667;21;393.5;991.964516;32.432258;25.49871;21.625806;87.629032;3;1.139785;14.112903;null;
1970-04-30;32;33.3;null;null;96;3.344444;26;587.2;992.832222;30.983333;25.341333;22.16;90.608333;3;.988889;9.633333;null;
1970-05-31;32;41.2;null;null;144.6;4.752688;20;407;993.215054;31.751613;25.304516;21.83871;89.217742;3;1.107527;11.032258;null;
1970-06-30;32;37.7;null;null;139.3;4.022222;24;484.1;994.484444;30.643333;24.658667;21.363333;89.075;4;1.044444;10.6;null;
1970-07-31;32;37.2;null;null;137.1;3.849462;19;261.3;995.315054;30.790323;24.335484;20.612903;89.080645;3;1.086022;11.677419;null;
1970-08-31;32;40.2;null;null;null;3.010753;19;253.1;993.816129;31.322581;24.518065;20.6;88.814516;5;1.129032;12.5;null;
1970-09-30;32;46.1;null;null;null;3.888889;18;234.3;992.917778;31.653333;24.701333;20.713333;86.858333;5;1.211111;13.95;null;
1970-10-31;32;52;null;null;null;3.677419;17;204.6;991.082796;33.322581;25.672258;21.419355;86.41129;5;1.16129;15.483871;null;
