Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;null;null;null;null;.724731;16;231.6;null;997.845161;32.686667;25.672;18.512903;90.233871;1;1;14.285714;
1970-02-28;5;null;null;null;null;.790476;18;316;null;997.967857;31.060714;25.667857;22.707407;93.0625;1;1;14.642857;
1970-03-31;23;null;null;null;null;.806452;17;368.1;null;998.139785;30.983871;25.694839;22.774194;91.774194;5;1.064516;12.5;
1970-04-30;5;null;null;null;null;.795556;20;232.3;null;998.627778;30.996667;25.812667;22.866667;91.416667;3;1.188889;11.333333;
1970-05-31;23;null;null;null;null;.784946;20;274.7;null;999.286022;30.63871;25.780645;22.667742;90.774194;5;1.182796;12.333333;
1970-06-30;14;null;null;null;null;.718889;16;301.5;null;1000.225556;30.24;25.529333;22.343333;89.466667;3;1.211111;18.220339;
1970-07-31;14;null;null;null;null;.655914;14;119.6;null;1000.73871;30.851613;25.420645;22.045161;87.322581;4;2.021505;15.983607;
1970-08-31;14;null;null;null;null;.676344;11;191;null;999.37957;31.451852;25.616296;21.825806;87.459677;3;2.150538;25.333333;
1970-09-30;36;null;null;null;null;.677778;16;254.9;null;999.087778;31.07;25.350667;21.516667;87.791667;4;1.877778;28.166667;
1970-10-31;18;null;null;null;null;.5;5;85.1;null;997.384946;32.703226;26.617419;22.158065;85.733871;4;1.967742;43.278689;
1970-11-30;5;null;null;null;null;.634444;13;254.9;null;997.144444;31.273333;26.002;22.073333;87.416667;4;2.022222;29.333333;
1970-12-31;36;null;null;null;null;.554839;10;62.6;null;996.83871;31.683871;26.345806;22.487097;88;3;2.108696;35;
1971-01-31;5;null;null;null;null;.717391;15;251;null;997.2;30.474194;25.551613;22.235484;88.217742;3;1.978495;28.360656;
1971-02-28;18;null;null;null;null;.855952;18;263.7;null;997.640476;29.282143;24.965;21.942857;90.375;4;2.107143;20.357143;
1971-03-31;18;null;null;null;null;.813978;20;314;null;997.480645;29.929032;25.296774;22.270968;90.298387;6;2.107527;22.66129;
1971-04-30;5;null;null;null;null;.873333;16;285.6;null;998.227778;29.446667;25.092;22.136667;89.858333;6;2.133333;23.333333;
1971-05-31;5;null;null;null;null;.808602;19;194.2;null;998.907527;29.803226;25.04;21.6;90.564516;3;2.032258;22.822581;
1971-06-30;5;null;null;null;null;.867778;20;454.3;null;999.895556;29.366667;24.903333;21.776667;89.858333;3;2.077778;19.166667;
1971-07-31;5;null;null;null;null;.760215;20;251.8;null;999.366667;30.790323;25.201935;21.554839;89.201613;4;2.043011;23.114754;
1971-08-31;23;null;null;null;null;.808602;19;403.7;null;999.480645;30.53871;25.374839;21.416129;88.048387;6;2.107527;18.306452;
1971-09-30;5;null;null;null;null;.632222;null;14.6;null;998.27;32.356667;26.125333;21.633333;87.2;6;2.266667;5.6;
1971-10-31;23;null;null;null;null;.811828;19;302;null;998.151613;31.841935;25.690323;21.416129;89.459677;14;2.473118;2.983871;
1971-11-30;5;null;null;null;null;.725556;19;305.4;null;997.301111;32.033333;25.929524;21.483333;88.858333;6;2.355556;6.133333;
1971-12-31;5;null;null;null;218.4;.507527;null;65.1;null;996.06129;null;null;21.93871;85.508065;10;2.387097;12.278689;
1972-01-31;5;null;null;null;125.5;.798925;21;279.5;null;996.583871;null;null;21.548387;91.435484;9;2.236559;11.370968;
1972-02-29;5;null;null;null;131.1;.677907;18;174.7;null;997.448276;null;null;20.939286;90.051724;4;1.793103;5.37931;
1972-03-31;0;null;null;null;140.5;.71828;22;362.5;null;997.530108;null;null;21.116129;91.459677;5;1.677419;4.758065;
