Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;126.2;null;null;null;.607527;18;187.7;1006.278495;34.041935;28.961935;22.112903;82.225806;4;.946237;52.66129;null;
1970-02-28;0;65.9;null;null;null;.613095;19;370.2;1005.87619;32.410714;27.771429;22.025;87.848214;4;.75;59.821429;null;
1970-03-31;0;56.5;null;null;null;.624731;23;351.9;1006.141935;32.758065;27.757419;21.770968;88.919355;5.5;.768817;59.126984;null;
1970-04-30;0;48.7;null;null;null;.674444;25;261.1;1006.688889;32.266667;27.8;21.866667;88.733333;2;.733333;58.898305;null;
1970-05-31;0;49.4;null;null;null;.649462;20;345.9;1007.041935;31.719355;27.527097;21.56129;89.766129;2;.72043;60;null;
1970-06-30;9;60.5;null;null;null;.594444;16;220.9;1008.166667;31.216667;27.506667;20.816667;89.75;1;.711111;60;null;
1970-07-31;0;67.1;null;null;null;.545161;15;130.8;1008.890323;32.241935;27.778065;20.519355;88.919355;1;.752688;60;null;
1970-08-31;5;73.2;null;null;null;.554839;15;195.3;1006.927957;32.112903;27.976129;20.574194;86.33871;1;.763441;60;null;
1970-09-30;5;81.3;null;null;null;.512222;11;112.7;1006.506667;31.633333;28.038667;19.943333;85.033333;1;.855556;59.333333;null;
1970-10-31;5;120.3;null;null;null;.389247;2;4.4;1005.296774;32.532258;28.610323;19.841935;82.040323;2;.870968;58.064516;null;
1970-11-30;5;79.1;null;null;null;.51;11;177.3;1005.156667;30.966667;27.16;18.866667;83.658333;1;.855556;59.833333;null;
1970-12-31;9;84.3;null;null;null;.502151;10;61.4;1005.05914;31.290323;27.3;19.193548;84.387097;1;.83871;60;null;
1971-01-31;9;73.1;null;null;null;.552688;16;114.7;1005.305376;30.903226;25.087097;18.306452;84.443548;1;.806452;59.032258;null;
1971-02-28;5;51.5;null;null;null;.57381;16;282.3;1005.321429;30.732143;24.739286;17.821429;85.455357;1;.857143;60;null;
1971-03-31;5;57.3;null;null;null;.61828;21;499.7;1005.21828;31.016129;25.022581;18.048387;84.290323;1;.956989;60;null;
1971-04-30;9;48.1;null;null;null;.56;19;557.1;1006;30.6;25.33;18.183333;85.366667;1;.944444;59.833333;null;
1971-05-31;9;49.2;null;null;null;.564516;23;298.8;1007.725806;30.870968;25.348387;19.480645;87.693548;2;.817204;60;null;
1971-06-30;0;50.9;null;null;null;.516667;15;172.3;1013.81;31.583333;25.829333;22.146667;88.425;2;.6;60;null;
1971-07-31;0;63.1;null;null;null;.493548;17;242;1016.180645;31.945161;25.754194;21.848387;89.016129;2;.569892;60;null;
1971-08-31;0;57.5;null;null;null;.430108;null;102.4;1015.248387;33.064516;26.178065;22.129032;86.016129;2;.784946;59.677419;null;
1971-09-30;5;90.7;null;null;null;.423333;null;38.3;1015.678889;33.226667;26.294;21.986667;85.875;2;1;60;null;
1971-10-31;5;96.2;null;null;null;.458065;null;105.4;1013.77957;32.867742;26.16129;22.367742;85.637097;2;.946237;60;null;
1971-11-30;5;97.1;null;null;null;.468889;null;66.5;1012.168889;33.156667;26.213333;22.58;85.416667;2;.877778;58.666667;null;
1971-12-31;5;98.2;null;null;null;.413978;null;17.6;1011.395699;33.219355;26.209032;22.264516;83.919355;2;.806452;60;null;
1972-01-31;0;14.2;null;null;null;.55914;15;281.6;1009.225806;31.170968;25.096129;21.829032;88.346774;2;.731183;59.354839;null;
1972-02-29;0;37.8;null;null;null;.611494;17;388.2;1012.502299;30.741379;25.051724;22.182759;89.094828;2;.724138;60;null;
1972-03-31;0;9.8;null;null;null;.586022;20;449.8;1011.801075;30.76129;25.470323;22.122581;89.290323;2;.731183;60;null;
1972-04-30;9;9.9;null;null;null;.562222;15;292.3;1011.338889;31.55;26.036;22.543333;88.1;1;.888889;60;null;
1972-05-31;9;60.5;null;null;null;.526882;15;254.2;1010.158065;32.174194;26.789032;22.86129;88.233871;2;.892473;60;null;
1972-06-30;9;54.2;null;null;null;.505556;17;265.4;1012.436667;32.123333;26.499333;22.416667;87.325;2;.844444;60;null;
1972-07-31;14;62;null;null;null;.482796;15;209.7;1012.913978;32.106452;26.148387;22.554839;87.822581;2;.83871;60;null;
1972-08-31;9;86.2;null;null;null;.44086;null;126.7;1012.005376;33.032258;26.483871;22.56129;86.66129;2;.913978;60;null;
1972-09-30;9;94;null;null;null;.393333;null;80.4;1011.371111;33.126667;26.892667;22.673333;85.533333;2;.944444;59.833333;null;
1972-10-31;14;108.2;null;null;null;.433333;null;47.3;1010.493548;34.054839;27.492903;22.93871;81.943548;2;.903226;60;null;
1972-11-30;9;103.1;null;null;null;.472222;null;97.4;1009.581111;33.963333;27.396;23.11;82.55;2;.955556;60;null;
