Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.680277
Longitude: -50.478034
Altitude: 9.8
Situacao: Operante
Data Inicial: 1970-08-31
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;9;null;null;null;211.1;.582927;null;null;1030.76747;33.060714;26.48;20.678571;83.1875;12.3;4.003175;57.5;null;
1970-10-31;9;116.4;null;null;284.7;.534409;null;null;1026.378495;35.106452;27.320645;21.090323;78.798387;9.3;3.585714;56.935484;null;
1970-11-30;9;79.2;null;null;199.6;.478889;null;null;1027.692941;33.826667;26.5;21.223333;83.866667;6.7;3.0075;41.533333;null;
1970-12-31;9;76.3;null;null;235.1;.507527;null;null;1025.468817;33.832258;26.809677;21.441935;83.241935;6.7;3.476829;51.290323;null;
1971-01-31;9;72.9;null;null;173.6;.502151;null;null;1023.927273;32.86129;26.153548;21.970968;85.306452;9.9;2.913187;48.387097;null;
1971-02-28;0;49.6;null;null;102.7;.527381;17;139.9;1024.14881;32.125;25.467143;21.660714;87.348214;9.3;1.940741;32.535714;null;
1971-03-31;9;49;null;null;107.9;.527957;27;271;1023.693548;31.603226;25.409677;21.219355;89.096774;6.7;2.047674;26.16129;null;
1971-04-30;9;46.8;null;null;96.7;.501124;27;370.2;1026.14;31.736667;25.611333;21.69;89.141667;6.8;2.787209;26.033333;null;
1971-05-31;9;57.8;null;null;135.8;.48172;19;166.6;1026.594624;32.377419;26.056129;21.687097;86.927419;6.7;2.832222;39.596774;null;
1971-06-30;9;70.9;null;null;230.5;.414444;17;237.1;1027.0625;32.806667;26.311333;22.09;83.158333;6.7;2.238095;44.75;null;
1971-07-31;9;93.9;null;null;260.6;.425806;null;70;1027.5;33.216129;26.25871;21.177419;82.225806;9.9;3.012048;49.435484;null;
1971-08-31;9;128.1;null;null;290.4;.378495;null;39.5;1025.9;34.567742;26.552903;20.916129;80.572581;6.7;2.183908;49.677419;null;
1971-09-30;9;101.9;null;null;265.4;.444444;null;102.5;1027.454444;33.963333;26.346;20.753333;81.716667;6.7;3.08046;38.666667;null;
1971-10-31;9;102.6;null;null;251.1;.511828;16;191.5;1026.95914;33.774194;26.402581;20.641935;81.620968;6.7;2.892222;39.387097;null;
1971-11-30;9;95.3;null;null;226;.482222;null;96;1025.556667;34.003333;26.462667;20.636667;81.575;6.7;2.483333;35.75;null;
1971-12-31;9;92.2;null;null;257.4;.429032;null;152;1027.535484;33.974194;26.196774;20.174194;81.709677;6.7;2.357143;31.080645;null;
1972-01-31;9;57.8;null;null;142.4;.626882;23;354.9;1022.845161;31.809677;25.14;20.235484;88.016129;6.7;1.481319;11.741935;null;
1972-02-29;9;50.4;null;null;97.9;.634483;24;309.7;1024.945977;31.841379;25.187586;20.348276;88.758621;6.7;1.607229;15.689655;null;
1972-03-31;9;54.3;null;null;137.6;.649462;22;330.1;1028.421505;32.264516;25.551613;20.783871;88.379032;6.7;1.752747;20.403226;null;
1972-04-30;9;54.1;null;null;115;.614444;21;391.7;1024.837778;32.376667;25.604667;20.236667;89.208333;6.7;1.798864;19.6;null;
1972-05-31;9;69.8;null;null;230;.467742;15;204;1021.784946;33.177419;26.36;20.290323;85.064516;6.7;1.767391;37;null;
1972-06-30;9;70.4;null;null;238.8;.427778;21;218.4;1014.332222;33.19;25.942667;19.17;84.716667;6.7;2.163333;34.15;null;
1972-07-31;9;83.1;null;null;289.7;.448387;null;144.4;1012.551613;33.132258;26.023226;19.825806;85.169355;6.7;2.217204;33.645161;null;
1972-08-31;9;95.9;null;null;283.5;.469892;15;63.1;1011.303226;33.741935;25.896774;19.022581;84.66129;6.7;2.032258;33.758065;null;
1972-09-30;9;67.3;null;null;262.9;.531111;null;69.5;1010.847778;33.936667;26.204667;19.126667;83.233333;6.7;2.528889;33.583333;null;
1972-10-31;9;78.4;null;null;257.7;.568817;null;55.4;1008.547312;34.541935;26.774839;19.548387;80.653226;6.7;2.003226;40.806452;null;
1972-11-30;9;87.3;null;null;233.4;.513333;null;61.8;1004.612222;34.503333;26.640667;19.306667;81.633333;6.7;2.284444;38.616667;null;
1972-12-31;9;69.2;null;null;177.3;.605376;23;284.6;1004.819355;33.535484;26.125161;19.412903;87.25;6.7;2.159783;24;null;
1973-01-31;9;55.3;null;null;137.8;.632258;24;384.1;1001.52043;32.570968;25.878065;20.612903;90.008065;6.7;1.489247;17.967742;null;
1973-02-28;9;43.9;null;null;119.1;.653571;22;291;999.281481;32.714286;25.849286;20.757143;89.830357;6.7;1.441667;20.571429;null;
1973-03-31;9;46;null;null;96;.693548;28;327.7;997.784946;32.36129;26.038065;20.629032;89.596774;4.4;1.368817;16.435484;null;
1973-04-30;9;43.2;null;null;110.1;.625556;27;346;998.503333;32.183333;25.717333;20.21;88.891667;6.7;1.636667;25.266667;null;
1973-05-31;9;54.8;null;null;158.2;.563441;25;221.1;998.026882;32.648387;25.838065;20.196774;87.129032;6.7;1.677419;28.129032;null;
1973-06-30;9;63.4;null;null;206.4;.488889;17;244.5;995.01;33.56;26.302667;20.116667;85.333333;6.7;1.762222;36.7;null;
1973-07-31;9;73.4;null;null;251.6;.512903;16;201.6;995.630108;33.548387;26.143226;19.793548;84.427419;6.7;1.669892;39.983871;null;
1973-08-31;9;84.2;null;null;284.4;.419355;null;97.9;984.27957;34.512903;26.284516;19.258065;81.637097;6.7;1.758065;56.645161;null;
1973-09-30;9;74.8;null;null;246.8;.538889;null;92.4;994.267778;34.673333;26.266667;19.08;82.433333;6.7;2.251111;49.033333;null;
1973-10-31;9;88.2;null;null;256.4;.497849;null;99;null;34.954839;26.745161;19.032258;80.870968;6.7;2.065591;48.33871;null;
1973-11-30;9;85.7;null;null;229.3;.544444;null;68.5;991.222472;34.613333;26.631333;19.133333;81.858333;6.7;2.705556;42.166667;null;
1973-12-31;9;66.9;null;null;235.1;.554839;15;139.3;null;33.567742;25.64;18.729032;85.08871;6.7;2.019355;38.790323;null;
1974-01-31;9;54.1;null;null;156;.636559;21;337.9;992.433696;32.709677;25.604516;20.974194;86.967742;6.7;1.746237;23.274194;null;
1974-02-28;9;44.7;null;null;110.9;.611905;20;435.4;990.702381;32.532143;25.782857;22.475;89.660714;6.7;1.489286;15.75;null;
1974-03-31;9;43;null;null;68.5;.684946;22;360.2;990.62043;31.767742;25.414194;21.896774;90.943548;6.7;1.343011;16.290323;null;
1974-04-30;9;44.7;null;null;126.8;.644444;21;437.3;null;32.486667;25.980667;22.855172;90.066667;6.7;1.717778;27.2;null;
1974-05-31;9;56;null;null;186.2;.583871;19;398.8;null;32.929032;26.340645;22.490323;86.274194;4.4;1.284946;35.225806;null;
1974-06-30;9;63.3;null;null;189.2;.51;20;297.4;987.753933;32.65;25.642667;19.15;85.65;6.7;1.593333;36.283333;null;
1974-07-31;9;77.1;null;null;287.3;.434409;null;124.7;null;33.058065;25.691613;19.025806;83.233871;6.7;1.831183;41.032258;null;
1974-08-31;9;88.3;null;null;285.6;.432258;null;80;null;34.280645;26.135484;19.393548;81.241935;6.7;2.197849;44.274194;null;
1974-09-30;9;80.1;null;null;254.6;.477778;null;117.1;null;34.37;26.156667;19.7;81.341667;6.7;2.183333;45.75;null;
1974-10-31;9;90.5;null;null;261.3;.488172;null;70.3;null;34.845161;26.803226;20.219355;80.354839;6.7;1.990323;52.016129;null;
1974-11-30;9;78.4;null;null;238.6;.474444;null;39.7;null;34.743333;26.710667;19.896667;81.1;9.3;2.286667;44.366667;null;
1974-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1975-02-28;9;null;null;null;88.3;.550649;17;256.8;null;31.888462;24.732308;18.711538;88.067308;6.7;1.315584;21.352941;null;
1975-03-31;9;40.2;null;null;101.3;.565217;24;342.2;null;31.86129;24.950323;19.225806;88.983871;4.4;1.149462;23.951613;null;
