Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;54;null;null;155.6;.583696;23;336.2;null;1287.543478;32.158065;26.187097;21.790323;85.551724;5;.978261;57.419355;
1970-02-28;0;48.1;null;null;154.9;.567857;null;366.6;null;1009.402381;32.489286;26.376429;22.035714;87.232143;5;.857143;57.857143;
1970-03-31;0;44.4;null;null;129.4;.673118;28;337.5;null;1009.135484;31.735484;25.938065;22.064516;89.403226;5;.935484;56.451613;
1970-04-30;0;45.7;null;null;163.4;.662222;22;217.4;null;1009.917778;32.46;26.412;22.3;87.916667;5;1.066667;56.451613;
1970-05-31;0;56.5;null;null;220;.58172;24;187;null;1010.073118;32.754839;26.26129;22.112903;86.258065;5;.924731;57.8125;
1970-06-30;0;61;null;null;228.9;.542222;29;138;null;1011.377778;32.36;25.989333;21.7;86.066667;3;1.066667;58.833333;
1970-07-31;0;73.5;null;null;261.6;.508602;16;183.2;null;1011.935484;32.741935;26.106452;21.33871;82.185484;3;.956989;59.193548;
1970-08-31;0;74.3;null;null;263.9;.468817;16;95.8;null;1010.519355;32.951613;26.196774;21.241935;85.459677;3;.956989;59.193548;
1970-09-30;0;62.3;null;null;241.6;.531111;22;205.8;null;1010.273333;32.283333;25.856667;20.95;87.166667;3;1.122222;59.166667;
1970-10-31;0;78.3;null;null;263.2;.469892;19;102.2;null;1009.339785;33.225806;26.374194;20.83871;85.314516;3;.849462;58.095238;
1970-11-30;0;78.5;null;null;201.7;.564444;23;261.1;null;1008.807778;32.566667;26.123333;21.783333;88.133333;3;.566667;57.666667;
1970-12-31;0;84.5;null;null;236.6;.611828;23;115.4;null;997.883871;32.796774;26.352903;21.516129;86.685484;3;1.021505;57.096774;
1971-01-31;0;65.4;null;null;192.5;.684946;26;322.4;null;1008.76129;32.093548;25.654194;21.322581;87.693548;3;.860215;56.612903;
1971-02-28;0;49.7;null;null;132.4;.754762;null;321.7;null;1008.880952;31.485714;25.18;21.089286;90.651786;3;.833333;53.392857;
1971-03-31;0;48.5;null;null;111.8;.72043;25;337.6;null;1009.191398;31.106452;25.295484;21.564516;91.862903;3;.935484;53.870968;
1971-04-30;0;54;null;null;142.3;.647778;28;250.9;null;1009.912222;31.226667;25.408667;21.766667;91.283333;3;.833333;55.333333;
1971-05-31;0;66.2;null;null;180.1;.677419;null;441.4;null;1010.653763;31.719355;25.651613;21.677419;89.733871;3;.709677;56.129032;
1971-06-30;0;78.9;null;null;220.5;.552222;null;85.3;null;1011.045556;32.133333;25.626667;21.35;86.933333;3;.566667;58.833333;
1971-07-31;0;97.2;null;null;258.5;.552688;null;243.1;null;1011.134409;32.46129;25.753548;21.066667;85.064516;3;.709677;58.870968;
1971-08-31;0;128;null;null;293.7;.529032;null;91.6;null;1011.004301;32.870968;25.951613;20.822581;85.024194;3;.978495;60.225806;
1971-09-30;0;103.6;null;null;256.9;.485556;null;89;null;1010.826667;32.83;25.966;20.55;83.358333;3;1.022222;59.333333;
1971-10-31;0;88.4;null;null;260.8;.51828;null;130.8;null;1010.217204;32.493548;26.009677;20.870968;84.806452;3;.795699;59.032258;
1971-11-30;0;100.4;null;null;232;.546667;null;97;null;1009.212222;32.943333;26.388667;21.05;81.975;3;.944444;57.666667;
1971-12-31;5;91.4;null;null;254.9;.539785;null;190;null;1009.13871;32.777419;26.095484;20.83871;83.298387;5;1.16129;57.741935;
1972-01-31;0;57.8;null;null;121.2;.71828;null;334;null;1008.922581;31.2;25.100645;21.193548;89.806452;5;.591398;54.193548;
1972-02-29;0;39.7;null;null;89.3;.686207;null;419.9;null;1009.736782;30.782759;24.891034;21.206897;93.189655;5;.333333;55;
1972-03-31;0;44.4;null;null;90.8;.709677;null;451.2;null;1009.519355;31.616129;25.45871;21.725806;92.16129;3;.795699;55.322581;
1972-04-30;0;49.5;null;null;135.1;.624444;null;215.1;null;1009.775556;31.73;25.792667;21.983333;91.683333;5;.7;57.333333;
1972-05-31;0;60.7;null;null;222.6;.523656;null;174.2;null;1009.94086;32.480645;26.097419;21.774194;89.016129;3;.72043;58.870968;
1972-06-30;14;57.3;null;null;244.4;.461111;null;185.6;null;1011.108889;32.736667;26.246;21.816667;87.958333;3;.711111;59.5;
1972-07-31;0;48.6;null;null;245.5;.56087;null;178.5;null;1011.537634;32.332258;25.75871;21.177419;86.741935;3;.935484;57.741935;
1972-08-31;0;80.6;null;null;260.7;.41828;null;124.8;null;1010.510753;32.674194;25.873548;20.66129;86.16129;3;.741935;57.903226;
1972-09-30;0;78.6;null;null;229.4;.425556;null;221.6;null;1010.694444;32.646667;26.086;20.866667;85.608333;3;.8;56.833333;
1972-10-31;0;87.5;null;null;225.1;.398925;null;99.8;null;1009.996774;32.806452;26.298065;20.774194;84.080645;3;.913978;56.290323;
1972-11-30;0;85.7;null;null;230.8;.425556;null;80;null;1009.263333;33.24;26.817333;21.4;82.058333;3;.744444;56.5;
1972-12-31;0;54.6;null;null;162.3;.52043;null;285.5;null;1009.44086;32.567742;26.500645;22.312903;89.209677;3;.645161;53.387097;
1973-01-31;0;53;null;null;119.8;.645161;null;417.6;null;1010.712903;31.483871;26.091613;22.796774;91.395161;3;.774194;56.290323;
1973-02-28;0;36.8;null;null;94.2;.75;null;568.2;null;1010.371429;31.303571;25.794286;22.642857;91.955357;3;.428571;53.035714;
1973-03-31;0;48.1;null;null;50.5;.623656;null;382.9;null;1010.160215;31.367742;26.061935;23.209677;92.072581;3;.645161;53.225806;
1973-04-30;0;52.6;null;null;78.8;.824444;null;354.4;null;1010.036667;31.646667;26.072667;23.016667;90.983333;3;.644444;55.833333;
1973-05-31;0;55.8;null;null;179.5;.769892;null;369.3;null;1010.544086;32.329032;26.290968;23.080645;89.024194;3;.548387;58.064516;
1973-06-30;0;63.2;null;null;218.1;.72;null;126.2;null;1010.491111;32.353333;26.382667;22.683333;86.825;3;.644444;57.35;
1973-07-31;0;68.5;null;null;229.9;.651613;null;148;null;1011.177419;32.170968;26.130323;22.3;85.580645;3;.677419;58.629032;
1973-08-31;0;92.2;null;null;276.1;.665591;null;77.5;null;1010.917204;32.664516;26.372258;22.096774;82.967742;3;.709677;59.677419;
1973-09-30;0;99.7;null;null;225.1;.714444;null;106.9;null;1010.884444;31.993333;26.097333;22.116667;84.375;3;.711111;59.333333;
1973-10-31;0;120.2;null;null;266.8;.668817;null;75.5;null;1008.903226;32.803226;26.853548;22.85;80.064516;3;.784946;58.225806;
1973-11-30;5;117.5;null;null;208.8;.686667;null;78;null;1009.085556;32.21;26.752667;22.64;81.466667;3;.866667;56.333333;
1973-12-31;0;80.2;null;null;166.4;.773118;null;333.9;null;1009.550538;30.780645;25.54129;22.290323;87.275;3;.688172;58.196721;
1974-01-31;0;50.5;null;null;144;.76129;null;403.7;null;1009.804301;29.670968;25.052258;21.96129;90.233871;4;1.258065;56.451613;
1974-02-28;0;37.3;null;null;103.3;.847619;null;405.4;null;1009.15;29.796429;24.891429;22.32963;91.910714;6;1.52381;57.142857;
1974-03-31;0;34.2;null;null;64.4;.930769;null;526.4;null;1009.845055;28.774194;24.956;22.612903;93.016667;6;1.384615;51.639344;
1974-04-30;0;37.6;null;null;88;.793333;null;510;null;1010.784444;29.246667;25.299333;22.906897;91.958333;6;1.666667;53.166667;
1974-05-31;0;43.6;null;null;148;.802151;null;406.9;null;1011.564516;30.351613;25.44;22.654839;91.282258;4;1.193548;56.935484;
1974-06-30;0;65.9;null;null;189.9;.747778;null;175.9;null;1011.003333;30.796667;25.486;22.136667;88.3;5;1.511111;58.666667;
1974-07-31;0;101.8;null;null;279.1;.545161;null;211.9;null;1012.435484;31.270968;25.341935;21.16129;84.258065;4;1.602151;57.258065;
1974-08-31;5;88.3;null;null;287.2;.513978;null;52.7;null;1011.531183;31.587097;25.825806;21.487097;83.653226;7;1.870968;57.806452;
1974-09-30;5;70.5;null;null;228.4;.592222;null;131.8;null;1011.184444;31.72;25.953333;21.843333;84.5;6;1.833333;59;
1974-10-31;5;88.6;null;null;252.4;.590323;null;81.3;null;1010.345161;31.929032;26.303226;21.612903;81.322581;9;2.11828;53.387097;
1974-11-30;5;83.3;null;null;237.9;.586667;null;116.3;null;1009.255556;32.22;26.506;21.58;82.008333;9;2.1;52.75;
1974-12-31;5;59.9;null;null;148.2;.744086;null;293;null;1009.507527;30.987097;25.549032;21.903226;89.08871;5;1.16129;52.258065;
1975-01-31;0;55.9;null;null;144.3;.753763;null;272.9;null;1009.94086;30.487097;25.428387;21.764516;88.314516;10;1.290323;51.612903;
1975-02-28;0;31.1;null;null;57.7;.85;null;360.9;null;1010.828571;29.392857;25.033571;22.192857;92.205357;8;1.119048;46.089286;
1975-03-31;0;43.8;null;null;106.2;.810753;null;531.9;null;1010.76129;30.26129;25.410323;22.032258;91.5;6;1.44086;46.612903;
1975-04-30;0;33.2;null;null;86.7;.833333;null;441.1;null;1010.073333;29.756667;25.468667;22.773333;93.25;9;1.288889;40.833333;
1975-05-31;0;48.8;null;null;130.7;.735484;null;293.2;null;1010.648387;30.087097;25.488387;22.458065;90.927419;4;1.11828;43.870968;
1975-06-30;5;71;null;null;230.4;.601111;null;189.4;null;1011.468889;30.996667;25.562667;21.77;87.566667;7;1.577778;52.166667;
1975-07-31;14;84;null;null;244.9;.533333;null;232.3;null;1011.852688;30.858065;25.156129;20.841935;86.080645;5;1.408602;55.806452;
1975-08-31;5;89.3;null;null;269.7;.501075;null;134.5;null;1011.515054;31.558065;25.605161;20.877419;84.685484;5;1.774194;57.419355;
1975-09-30;5;73;null;null;234;.594444;null;66.9;null;1011.32;31.496667;25.708667;20.916667;85.55;8;1.533333;55.666667;
1975-10-31;5;71.2;null;null;233.6;.556989;null;197;null;1010.348387;31.587097;25.832258;20.548387;85.580645;5;1.569892;56.774194;
1975-11-30;5;65.4;null;null;193.5;.675556;null;165.5;null;1009.421111;31.576667;25.844;20.796667;84.616667;5;1.366667;54.583333;
1975-12-31;5;62.8;null;null;211.8;.626882;null;183.3;null;1009.435484;31.6;25.897419;21.458065;88.072581;6;1.107527;55.483871;
1976-01-31;0;46.3;null;null;112.1;.76129;null;324.7;null;1009.806452;30.506452;25.000645;20.929032;90.217742;6;.946237;53.145161;
1976-02-29;0;36.5;null;null;93.3;.832558;null;494.7;null;1010.356977;29.813793;24.938571;21.235714;93.267857;6;.918605;52.45614;
