Nome: TURIACU
Codigo Estacao: 82198
Latitude: -1.66138888
Longitude: -45.37194443
Altitude: 34.48
Situacao: Operante
Data Inicial: 1976-07-28
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;5;153.8;null;null;257.3;5.119565;null;4.3;1003.686957;31.093548;26.679355;24.070968;75.741935;7.3;4.413043;null;null;
1976-11-30;null;null;null;null;null;null;null;0;1003.513793;31.5;26.829474;24.026316;72.802632;7.6;null;null;null;
1976-12-31;5;170.6;null;null;254.4;5.130435;null;2;1002.881522;31.629032;27.25871;24.558065;74.064516;9;5.077174;69.677419;null;
1977-01-31;9;96;null;null;111.9;7.731183;20;240.8;1003.573118;29.764516;26.137419;23.741935;83.701613;8.8;3.655914;66.129032;null;
1977-02-28;9;56.7;null;null;112.6;7.5;22;412.7;1004.617857;29;25.399286;22.95;87.517857;8;3.017857;64.821429;null;
1977-03-31;9;54.8;null;null;90.4;7.83871;27;538.8;1003.904301;29.164516;25.790968;23.293548;88.41129;8.8;3.068817;63.225806;null;
1977-04-30;9;41.3;null;null;85.7;7.788889;27;381.9;1004.126667;29.27;25.706;23.306667;89.716667;7.6;2.575556;64.166667;null;
1977-05-31;9;46.8;null;null;122.4;6.698925;27;264.5;1004.839785;29.809677;25.740645;22.767742;89.112903;6.1;2.064516;67.096774;null;
1977-06-30;9;58.2;null;null;174.6;5.288889;25;184;1005.684444;29.953333;25.946667;22.866667;85.483333;8.3;2.734444;67.833333;null;
1977-07-31;9;78.2;null;null;209.6;4.806452;21;149.4;1006.006452;29.712903;25.712258;22.829032;82.387097;7;3.172043;69.032258;null;
1977-08-31;9;110.8;null;null;251;4.107527;8;31.1;1005.921505;30.409677;26.290323;23.716129;79.096774;6.8;3.951613;69.193548;null;
1977-09-30;9;139.7;null;null;228.2;5.922222;3;5.6;1005.665556;31.106667;26.673333;24.043333;76.558333;7.5;4.11;70;null;
1977-10-31;9;156.7;null;null;215.4;4.537634;4;1;1004.93871;31.112903;26.91871;24.241935;75.298387;7.8;4.506452;69.677419;null;
1977-11-30;9;167.5;null;null;250.4;4.088889;0;0;1003.575556;31.67;27.240667;24.39;73.883333;7.3;4.644444;70;null;
1977-12-31;5;144.9;null;null;210.4;5.064516;5;32.4;1003.584946;31.445161;27.190968;24.377419;77.524194;7.3;4.215054;68.387097;null;
1978-01-31;5;80.7;null;null;133.4;7.419355;22;302;1004.519355;29.85;26.112667;23.509677;83.846774;6.5;3.073118;66.129032;null;
1978-02-28;5;89.2;null;null;164.3;6.654762;17;199.2;1003.720238;30.146429;26.817143;24.346429;82.553571;6.6;3.759524;65.892857;null;
1978-03-31;5;46.4;null;null;67.5;8.451613;29;469.8;1004.380645;29.048387;25.507742;23.054839;89.475806;6.3;2.292473;62.580645;null;
1978-04-30;5;42.4;null;null;113.4;7.166667;28;419.8;1003.613333;29.323333;25.848;23.256667;88.691667;8;2.356667;64;null;
1978-05-31;9;57.8;null;null;163.6;6.086022;25;240.9;1003.932258;30.296774;26.388387;23.567742;87.258065;6.1;2.425806;66.451613;null;
1978-06-30;9;66.1;null;null;204.6;4.955556;22;188.8;1006.016667;29.856667;25.776667;22.933333;84.683333;5.6;2.263333;69.666667;null;
1978-07-31;5;56.4;null;null;181.5;5.11828;23;289.3;1005.192473;29.245161;25.465161;22.76129;86.572581;6;2.794624;67.580645;null;
1978-08-31;9;78.5;null;null;224.6;4.473118;13;113.4;1006.08172;30.122581;26.026452;23.283871;82.895161;5.8;3.201075;69.677419;null;
1978-09-30;5;109;null;null;241.7;5.377778;8;26.7;1005.602222;30.51;26.411333;23.88;79.075;7.5;4.285556;69.666667;null;
1978-10-31;5;123.2;null;null;239.6;4.376344;3;26.1;1004.360215;30.9;26.714194;24.174194;76.580645;6.6;4.278495;68.145161;null;
1978-11-30;5;126.2;null;null;225.2;4.555556;2;2;1003.865556;31.296667;26.896667;24.15;76.775;7.1;4.214444;70;null;
1978-12-31;5;115.7;null;null;174.9;5.935484;null;24.5;1003.663441;31.219355;26.920645;24.26129;77.83871;7.5;3.833333;69.193548;null;
1979-01-31;null;91.9;null;null;151.2;null;null;90.4;null;30.819355;null;24.270968;null;null;null;null;null;
1979-02-28;null;67.2;null;null;137.3;null;18;206.5;null;30.578571;null;23.589286;null;null;null;null;null;
1979-03-31;null;58.4;null;null;150.6;null;25;591.1;null;30.035484;null;23.525806;null;null;null;null;null;
1979-04-30;null;61.6;null;null;146.2;null;22;437.1;null;30.193333;null;23.866667;null;null;null;null;null;
1979-05-31;null;55.2;null;null;173;null;22;200.5;null;30.151613;null;23.432258;null;null;null;null;null;
1979-06-30;null;55.9;null;null;191.1;null;20;244.5;null;30.443333;null;23.016667;null;null;null;null;null;
1979-07-31;null;73;null;null;219.2;null;null;161.3;null;30.254839;null;23.270968;null;null;null;null;null;
1979-08-31;null;93.4;null;null;236.3;null;15;41.2;null;30.519355;null;23.883871;null;null;null;null;null;
1979-09-30;null;138.3;null;null;233.2;null;null;11.3;null;31.18;null;24.286667;null;null;null;null;null;
