Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;34.2;null;null;142;7.408602;18;269.8;null;998.556989;31.3;26.036774;22.912903;87.943548;9;.88172;51.129032;
1970-02-28;0;null;null;null;135.8;7.392857;19;364.6;null;999.807143;31.257143;26.185714;23.071429;88.080357;7;1.011905;51.428571;
1970-03-31;0;27;null;null;140.3;7.193548;22;278.1;null;1003.667778;30.974194;25.872258;22.993548;88.483871;8;.924731;45.354839;
1970-04-30;0;20.2;null;null;126.7;7.344444;21;323.4;null;1004.363636;30.5;25.75;22.983333;89.633333;3;.888889;47.033333;
1970-05-31;0;28;null;null;152;7.268817;18;238.9;null;1004.742391;30.519355;25.905806;23.074194;88.693548;4;.946237;44.677419;
1970-06-30;0;34;null;null;138.2;7.292135;16;210.6;null;1006.067442;29.8;25.062;22.046667;89.158333;6;.922222;45.283333;
1970-07-31;0;32.6;null;null;177.6;6.913978;13;153.8;null;1007.05;29.848387;24.911613;21.629032;88.233871;5;.870968;45.564516;
1970-08-31;0;54.8;null;null;190.6;6.741935;10;57.8;null;1004.283333;31.296774;25.603226;22.087097;84.475806;6;.903226;44.548387;
1970-09-30;0;45.3;null;null;163;7.244444;13;134.8;null;1004.654023;31.186667;25.418667;21.793333;86.641667;8;1.011111;43.033333;
1970-10-31;0;53.4;null;null;null;6.946237;9;99.7;null;1002.548352;32.045161;26.244667;22.613333;84.580645;7;.917204;48.064516;
1970-11-30;0;null;null;null;null;7.011111;13;192.4;null;1002.432927;31.226667;25.961333;22.676667;87.641667;5;.811111;47.833333;
1970-12-31;0;42;null;null;null;7.107527;16;224.6;null;1002.565934;31.109677;25.762581;22.487097;89.274194;4;.752688;43.209677;
1971-01-31;null;null;null;null;null;null;10;null;null;1002.754717;30.933333;25.567778;22.357895;89.911765;3;null;null;
1971-02-28;0;null;null;null;79.1;7.52381;25;305.4;null;1003.482716;29.985714;24.975714;22.114286;92.008929;4;.857143;46.517857;
1971-03-31;0;null;null;null;null;7.464789;13;null;null;1003.483824;30.517391;25.489565;22.5;89.23913;7;.985915;46.770833;
1971-04-30;0;23.8;null;null;110.7;7.355556;11;182.5;null;1004.503614;29.706667;25.33;22.406667;87.916667;6;1.333333;48;
1971-05-31;0;null;null;null;104;7.479452;null;null;null;1005.283333;30.070833;25.5425;22.716;88.791667;4;.876712;44.326531;
1971-06-30;0;17.9;null;null;107.4;7.244444;21;363.6;null;1006.558889;28.923333;24.609333;21.81;90.391667;12;.622222;39.166667;
1971-07-31;0;34.1;null;null;157.4;6.913978;15;167.5;null;1006.068889;29.948387;25.050323;21.819355;86.717742;4;.741935;48.064516;
1971-08-31;0;39.3;null;null;182.1;6.784946;15;173.9;null;1006.02381;30.164516;25.159355;21.619355;86.879032;6;.591398;46.048387;
1971-09-30;0;26.6;null;null;188.7;6.577778;null;129.5;null;1004.865476;31.123333;25.778667;22.276667;86.983333;2;.4;46.333333;
1971-10-31;0;36.8;null;null;194.1;6.924731;16;185.4;null;1004.373034;30.925806;25.666452;22.232258;86.362903;6;.846154;49.677419;
1971-11-30;0;23;null;null;135.5;7.122222;21;325.9;null;1003.435227;30.213333;25.346;22.176667;87.9;7;.744444;45.65;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;80.2;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;0;39.9;null;null;181.2;6.88764;null;22.4;null;null;31.296667;25.694667;22.173333;85.225;4;.921348;47.931034;
1972-10-31;0;53.4;null;null;209.7;6.989247;null;64.8;null;null;32.287097;26.747742;23.041935;82.532258;12;1.076087;49.516129;
1972-11-30;0;37.6;null;null;192.6;7.077778;null;119.8;null;null;32.06;26.666667;23.32;84.808333;9;.811111;45.866667;
1972-12-31;0;40.3;null;null;140.7;7.290323;16;205.7;null;null;31.196774;26.137419;23.06129;87.854839;12;.771739;41.774194;
1973-01-31;0;58.1;null;null;210.4;6.817204;null;132.8;null;null;32;26.857419;23.374194;83.314516;3;.903226;48.258065;
1973-02-28;0;null;null;null;130.3;7.380952;null;231.7;null;null;31.092857;26.443571;23.442857;86.767857;4;1.095238;45.75;
1973-03-31;0;35.8;null;null;138.6;7.526882;22;393.7;null;null;30.712903;25.86;23.119355;89.41129;5;.967742;41.16129;
1973-04-30;0;41.2;null;null;118.9;7.366667;20;274.9;null;null;30.87;25.92;22.883333;89.233333;7;.522222;45.083333;
1973-05-31;0;36.6;null;null;123.9;7.365591;25;355.6;null;null;30.293548;25.566452;22.970968;89.322581;6;.688172;44.629032;
1973-06-30;0;null;null;null;164.5;6.8;19;241.6;null;null;30.833333;25.762;22.793333;88.625;4;.566667;45.933333;
1973-07-31;0;41.5;null;null;145.6;7.139785;17;219.6;null;null;29.932258;25.133548;22.132258;88.314516;4;.677419;46.645161;
1973-08-31;0;45.3;null;null;178.6;6.086022;null;220.8;null;null;30.66129;25.371613;22.012903;87.096774;4;.784946;45.854839;
1973-09-30;0;null;null;null;152.7;5.909091;null;null;null;null;31.436;25.7744;22.551852;85.95;7;.909091;43.509804;
1973-10-31;0;53.1;null;null;191.3;4.311828;null;147.2;null;1004.350602;31.929032;26.472258;22.964516;84.209677;5;1.086022;47.774194;
1973-11-30;0;36.4;null;null;151.5;4.055556;18;210.3;null;1005.177108;31.13;26.186;22.863333;86.241667;8;1.122222;44.783333;
1973-12-31;0;37.4;null;null;162.6;4.086022;null;276.2;null;1006.017647;30.454839;25.41871;22.251613;86.959677;8;1.27957;49.354839;
1974-01-31;0;44;null;null;157.5;4.344086;16;262.1;null;1005.470455;30.245161;25.465806;22.309677;87.346774;8;1.139785;45.193548;
1974-02-28;0;29.7;null;null;110.3;4.785714;19;255.2;null;1004.927848;30.628571;25.337857;22.439286;87.508929;8;1.144578;42.053571;
1974-03-31;0;59.9;null;null;162.2;4.88172;null;143.2;null;1005.128049;31.287097;26.035484;22.56129;84.91129;14;1.172043;46.774194;
1974-04-30;0;46.1;null;null;126.8;4.077778;24;421;null;1005.082955;30.356667;25.6;22.476667;87.825;7;1.211111;42;
1974-05-31;9;34;null;null;144.3;4.215054;25;272.7;null;1006.070968;29.635484;25.037419;22.241935;90.330645;4;2.032258;43.532258;
1974-06-30;9;27.5;null;null;125.1;4.466667;26;414.9;null;1005.324444;29.38;24.861333;22.01;90.6;10;1.377778;43.533333;
1974-07-31;0;36.6;null;null;129.5;4.107527;21;215.9;null;1006.970968;28.822581;24.174194;21.474194;89.854839;4;.989247;45.854839;
1974-08-31;0;46.2;null;null;175.3;4.72043;16;241.4;null;1005.365591;30.967742;25.309032;21.709677;87.75;6;.83871;43.177419;
1974-09-30;0;40;null;null;147.5;4.366667;19;183.2;null;1005.503333;30.466667;24.843333;21.633333;89.975;6;.744444;43.783333;
1974-10-31;0;50.7;null;null;166.6;4.139785;19;167.2;null;1002.736559;31.025806;25.483226;21.948387;89.733871;6;.892473;46.854839;
1974-11-30;0;41.7;null;null;127.4;4.055556;20;337.7;null;1002.478889;30.816667;25.662667;22.246667;90.616667;10;1.168889;40.966667;
1974-12-31;0;50.5;null;null;135.8;4.903226;17;105;null;1002.725806;30.748387;25.396774;22.290323;90.669355;6;1.236559;37.532258;
1975-01-31;0;41;null;null;132;4.27957;24;299.4;null;1003.22043;30.045161;24.936129;22.003226;89.959677;4;1.150538;36.16129;
1975-02-28;0;39.5;null;null;115.5;4.797619;21;319.4;null;1004.20119;30.142857;25.215714;22.128571;89.160714;7;1.5;34.339286;
1975-03-31;0;43.1;null;null;145.7;4.88172;19;280.7;null;1004.391398;30.680645;25.192903;22.225806;89.435484;9;1.258065;41.709677;
1975-04-30;0;37.2;null;null;120.8;4.077778;22;389.5;null;1004.12;30.256667;25.150667;22.203333;89.808333;6;1.288889;39.183333;
1975-05-31;0;32.2;null;null;112.7;4.408602;26;453.7;null;1005.209677;29.790323;25.041935;22.335484;90.532258;4;1.053763;43.180328;
1975-06-30;0;31.7;null;null;127.7;4.933333;26;280.8;null;1006.462222;29.566667;24.855333;21.97;90.55;4;.911111;43.5;
1975-07-31;0;38.2;null;null;141.2;5.451613;23;235.5;null;1007.131183;28.877419;23.798065;20.658065;89.290323;5;.806452;45.919355;
