Nome: SANTAREM (TAPERINHA)
Codigo Estacao: 82243
Latitude: -2.42
Longitude: -54.33
Altitude: 20
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1981-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;36;78.9;null;null;166.8;.632258;16;141.7;1008.21828;32.287097;26.74;23.354839;80.879032;6.7;2.463441;69.83871;null;
1970-02-28;36;43.3;null;null;118.8;.69881;20;281.4;1007.867857;30.846429;26.105;23.092857;86.955357;6.7;2.008333;69.107143;null;
1970-03-31;36;37.5;null;null;96.5;.750538;26;403.7;1008.291398;30.393548;25.78129;22.922581;89.040323;6.7;1.751613;69.677419;null;
1970-04-30;36;42.2;null;null;118.2;.694444;28;385.7;1008.552222;30.576667;26.01;22.84;88.783333;6.7;1.758889;69.666667;null;
1970-05-31;36;39.5;null;null;162;.629032;26;241.3;1008.797849;30.903226;26.039355;22.677419;88.943548;4.4;1.698925;69.83871;null;
1970-06-30;36;42.1;null;null;169.8;.596667;27;226;1010.111111;30.843333;25.682667;22.366667;88.05;6.7;2.247778;68.833333;null;
1970-07-31;14;57;null;null;211;.476344;16;123.1;1010.537634;31.374194;25.577419;21.758065;86.41129;6.7;2.096774;69.68254;null;
1970-08-31;36;61.4;null;null;223.8;.465591;16;132.9;1008.892473;31.712903;25.935484;21.970968;85.508065;6.7;2.755914;69.677419;null;
1970-09-30;36;58.5;null;null;207.3;.463333;20;102.3;1008.408889;31.896667;26.157333;22.266667;84.291667;6.7;3.031111;70;null;
1970-10-31;36;86.1;null;null;233.3;.397849;4;4.4;1007.282796;33.270968;27.243333;22.793548;78.458333;9.4;3.732258;70;null;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;36;50.8;null;null;186.6;.519565;13;73.6;1006.902174;31.796774;26.432903;22.96129;84.629032;6.7;2.58587;70;null;
1971-01-31;36;49.1;null;null;141.5;.676344;24;238.1;1007.510753;30.454839;25.505806;22.6;88.572581;6.7;2.192473;68.870968;null;
