Nome: CAMETA
Codigo Estacao: 82263
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.93
Situacao: Operante
Data Inicial: 1970-04-30
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;0;null;null;null;null;.716304;17;253.7;null;33.66129;26.544516;20.790323;86.620968;6.7;1.071739;38.467742;null;
1970-06-30;0;66.6;null;null;null;.746667;23;265.8;null;34.006667;26.373333;20.453333;83.666667;4.4;1.297778;49;null;
1970-07-31;5;71.6;null;null;null;.653763;16;248.1;null;33.903226;25.885161;19.480645;84.258065;4.4;1.27957;50;null;
1970-08-31;5;80.5;null;null;null;.680645;13;202;null;34.364516;26.228387;18.990323;81.903226;6.7;1.853763;50;null;
1970-09-30;5;86.4;null;null;null;.718889;11;70.3;1018.653488;33.456667;26.073333;18.37;82.325;4.4;2.102222;50;null;
1970-10-31;5;109.1;null;null;null;.647312;3;33.2;1017.926882;34.125806;26.921935;20.745161;78.766129;4.4;2.24086;49.516129;null;
1970-11-30;5;78.3;null;null;null;.706667;13;63.8;1017.53;33.16;26.661333;22.85;81.091667;4.4;1.776667;49;null;
1970-12-31;5;102.3;null;null;null;.604301;7;32;1016.850538;33.748387;27.39871;23.912903;80.33871;4.4;1.901075;50;null;
1971-01-31;5;89;null;null;null;.654839;16;138.6;1016.522581;32.745161;26.540645;22.896774;81.782258;4.4;1.688172;49.516129;null;
1971-02-28;0;54.9;null;null;null;.727381;21;225.6;1016.216667;32.325;25.742143;22.271429;84.571429;4.4;1.244048;50;null;
1971-03-31;0;57.6;null;null;null;.732258;27;367.1;1016.43871;31.909677;25.999355;22.816129;83.725806;4.4;.966667;50;null;
1971-04-30;0;48.2;null;null;null;.712222;25;441;1017.363333;31.613333;25.958667;22.903333;86.15;2.4;.756667;49.5;null;
1971-05-31;5;67.6;null;null;null;.702151;26;276;1017.858065;32.909677;26.569032;23.387097;83.685484;4.4;.917204;50;null;
1971-06-30;5;68.6;null;null;null;.632222;23;311.9;1018.42;33.376667;26.426667;22.596667;82.858333;4.4;1.147778;50;null;
1971-07-31;5;76;null;null;null;.535484;18;205.8;1018.388172;33.341935;26.302581;22.290323;81.217742;2.4;1.33871;50;null;
1971-08-31;5;89.9;null;null;null;.506452;15;44.9;1018.165591;33.716129;26.849032;23.012903;82.322581;2.4;1.396774;50;null;
1971-09-30;5;98.6;null;null;null;.514444;null;34.5;1018.001111;33.26;26.575333;22.893333;81.55;4.4;1.665556;50;null;
1971-10-31;5;105.7;null;null;null;.552688;null;129.9;1017.515054;33.209677;26.692903;22.93871;81.798387;4.4;1.594624;50;null;
1971-11-30;5;98.9;null;null;null;.561111;null;9;1016.473333;33.233333;26.638;22.923333;80.85;4.4;1.602222;50;null;
1971-12-31;5;112.8;null;null;null;.551613;null;58.7;1016.2;33.812903;26.929677;22.787097;79.201613;4.4;1.833333;50;null;
1972-01-31;5;67.9;null;null;null;.669892;23;225.8;1016.152688;32.129032;25.932903;22.6;84.798387;4.4;1.33871;50;null;
1972-02-29;5;61.5;null;null;null;.624138;25;293.8;1017.332184;31.741379;25.483448;22.182759;85.586207;4.4;1.405747;50;null;
1972-03-31;5;64.9;null;null;null;.593548;26;358.8;1016.783871;31.983871;25.770968;22.458065;82.830645;4.4;1.613978;50;null;
1972-04-30;5;60.2;null;null;null;.578889;27;347.9;1017.21;32.306667;25.988667;22.496667;84.183333;4.4;1.082222;50;null;
1972-05-31;5;70.4;null;null;null;.574194;25;299.7;1017.206452;32.854839;26.474194;22.958065;81.645161;2.4;1.232258;50;null;
1972-06-30;5;76;null;null;null;.503333;22;201.8;1018.091111;32.99;26.389333;22.593333;81.341667;4.4;1.315556;50;null;
1972-07-31;5;73.7;null;null;null;.567742;24;241.7;1018.12043;32.777419;26.280645;22.751613;83.322581;4.4;1.523656;50;null;
1972-08-31;5;79.5;null;null;null;.566667;21;157.8;1016.923656;32.8;26.26129;22.522581;83.903226;4.4;1.31828;50;null;
1972-09-30;5;83.7;null;null;null;.541111;null;94.8;1017.412222;32.773333;26.392;22.676667;84.1;2.4;1.31;50;null;
1972-10-31;5;88.5;null;null;null;.548387;null;33.5;1016.860215;33.193548;26.712903;22.909677;81.008065;4.4;1.665591;50;null;
1972-11-30;5;102.8;null;null;null;.583333;null;1.8;1015.903333;33.73;27.252;23.356667;81.1;2.4;1.703333;50;null;
1972-12-31;5;86.6;null;null;null;.626882;null;345.6;1016.377419;32.909677;26.608387;22.741935;84.16129;4.4;1.473118;50;null;
1973-01-31;5;72.7;null;null;null;.645161;26;320.2;1017.819355;32.258065;26.388387;23.122581;84.862903;2.4;1.496774;50;null;
1973-02-28;5;50.7;null;null;null;.613095;21;262.8;1017.211905;32.167857;26.477143;23.339286;84.5625;4.4;1.596429;49.464286;null;
1973-03-31;5;47.2;null;null;null;.583696;28;429.8;1016.954348;32;26.395484;23.33871;85.366667;12.3;1.886957;50;null;
1973-04-30;5;47;null;null;null;.638889;28;530.7;1017.251111;32.153333;26.147333;23.026667;86.933333;4.4;1.856667;49.5;null;
1973-05-31;5;54.5;null;null;null;.598925;28;288.9;1017.902151;33.041935;26.441935;23.070968;84.145161;4.4;1.786022;50;null;
1973-06-30;5;65.5;null;null;null;.56;24;297.5;1018.161111;33.58;26.78;22.99;82.216667;4.4;1.660674;50;null;
1973-07-31;5;70.5;null;null;null;.544086;21;339;1018.951613;33.370968;26.554839;22.793548;83.491935;4.4;1.366667;50;null;
1973-08-31;5;84.7;null;null;null;.434409;null;66.2;1018.509677;34.045161;27.165806;22.929032;79.298387;6.7;3.35914;50;null;
1973-09-30;5;78.4;null;null;null;.508889;17;71.7;1018.33;33.476667;26.736;22.57;80.675;6.7;3.565556;50;null;
1973-10-31;5;102.2;null;null;null;.508602;null;127.7;1016.288172;34.258065;27.03871;22.596774;79.870968;12.3;3.652688;49.5;null;
1973-11-30;5;86.1;null;null;null;.566667;null;362.9;1016.588889;33.236667;27.188667;23.653333;80.516667;6.7;3.854444;49.5;null;
1973-12-31;5;65.9;null;null;null;.575269;19;284.9;1017.392473;32.809677;26.362581;22.358065;83.685484;6.7;3.586022;50;null;
1974-01-31;5;64.4;null;null;null;.592473;21;309.4;1017.249462;32.248387;25.97871;22.370968;85.556452;12.3;3.965591;49.354839;null;
1974-02-28;5;49.6;null;null;null;.679762;22;339.9;1015.975;32.857143;26.410714;23.035714;85.053571;6.7;2.994048;49.107143;null;
1974-03-31;5;45.6;null;null;null;.77957;26;648.5;1015.233333;31.532258;25.851613;23.170968;88.395161;6.7;3.049462;50;null;
1974-04-30;5;45.5;null;null;null;.721111;26;491.9;1015.215556;31.376667;26.094667;23.26;87.383333;6.7;2.911111;50;null;
1974-05-31;5;53.1;null;null;null;.703226;28;451.5;null;32.319355;26.26129;23.083871;84.548387;6.7;2.789247;50;null;
1974-06-30;5;61.7;null;null;null;.692222;22;244.9;null;33.22;26.855333;23.126667;81.925;12.3;3.024444;49.166667;null;
1974-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1974-08-31;5;85.6;null;null;null;.536957;null;91.6;null;34.083871;27.039355;23.403226;82.008065;6.7;3.165217;49.354839;null;
1974-09-30;5;86.6;null;null;null;.61;18;186.1;null;33.37;26.881333;23.083333;82.258333;12.3;3.884444;50;null;
1974-10-31;5;95.2;null;null;null;.616129;null;20.5;null;33.570968;27.183226;23.370968;81.08871;12.3;3.760215;50;null;
