Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;null;null;null;null;.592473;12;328.9;null;1006.268817;31.248387;25.983871;21.219355;82.395161;9;1.032258;14.983871;
1970-02-28;0;null;null;null;null;.604762;18;361.9;null;1004.658333;30.835714;25.21;20.748148;85.142857;8;.964286;28.392857;
1970-03-31;0;null;null;null;122.1;.576344;22;297.8;null;1004.848387;31.506452;25.590323;20.783333;88.822581;5;1.344086;28.548387;
1970-04-30;0;null;null;null;null;.584444;20;306.4;null;1005.953333;31.393333;25.769333;20.926667;86.383333;5;1.277778;20.666667;
1970-05-31;5;null;null;null;180.7;.577419;14;194.6;null;1007.866667;31.887097;25.702581;20.196774;89.967742;5;.892473;16.854839;
1970-06-30;5;48.4;null;null;null;.54;14;131;null;1009.497778;31.49;25.466667;19.876667;90.966667;3;.744444;27.833333;
1970-07-31;0;47.5;null;null;null;.521505;3;32.6;null;1009.783871;32.093548;25.283226;18.558065;90.620968;1;.612903;35.387097;
1970-08-31;5;53.1;null;null;null;.533333;3;49.4;null;1008.069892;32.858065;25.660645;18.843333;86.58871;3;.677419;36.083333;
1970-09-30;5;null;null;null;null;.532941;4;19.4;null;1007.544444;32.91;26.067333;19.4;89.25;3;.833333;42.457627;
1970-10-31;5;87.4;null;null;null;.64086;0;0;null;1003.745161;34.087097;26.630323;19.780645;79.645161;3;.903226;42.645161;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;0;50;null;null;104.9;.697826;21;400.2;null;1000.530435;29.190323;24.826452;21.696774;86.967742;4;.913043;55.225806;
1971-02-28;0;33.9;null;null;82.9;.853571;21;235;null;1000.438095;28.992857;24.421429;21.385714;87.446429;6;.630952;57.589286;
1971-03-31;0;42.9;null;null;84.7;.865591;22;375.6;null;1000.208602;29.470968;24.704516;22.087097;88.798387;5;.645161;59.112903;
1971-04-30;0;47;null;null;null;.887778;16;654.2;null;1001.01;29.58;24.636;22.043333;89.633333;4;.322222;60;
1971-05-31;0;45;null;null;null;.830108;18;261.7;null;1001.878495;29.119355;24.706452;22.129032;87.637097;5;.290323;58.548387;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;36;null;null;null;null;.58587;null;96.9;null;998.622826;30.890323;26.005806;19.958065;83.564516;5;1.445652;17.33871;
