Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-10-31;0;113.9;null;null;null;.622826;5;18.2;1008.580435;null;null;21.148387;78.153226;5;.705435;59.83871;null;
1970-11-30;0;66.7;null;null;null;.681111;11;41.5;1005.018889;null;null;20.203333;83.091667;2.4;.483333;55.5;null;
1970-12-31;0;79.6;null;null;null;.719355;0;0;998.735484;32.351613;26.074194;20.574194;83.879032;2.4;.532258;57.419355;null;
1971-01-31;0;64.4;null;null;null;.743011;null;null;998.073118;null;null;19.119355;86.346774;2.4;.629032;56.290323;null;
1971-02-28;0;61;null;null;null;.744048;null;null;997.522619;null;null;18.407143;88.0625;4.4;.780952;58.571429;null;
1971-03-31;0;63.1;null;null;null;.806452;null;null;996.962366;null;null;18.741935;87.193548;4.4;.963441;57.258065;null;
1971-04-30;0;54.7;null;null;null;.736667;null;47.9;1000.267778;null;null;19.04;89.125;6.7;.657778;57.166667;null;
