Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.742684
Longitude: -43.3521
Altitude: 104
Situacao: Operante
Data Inicial: 1976-08-27
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-10-31;5;204.7;null;null;262.6;4.880435;null;21.3;996.971739;33.587097;27.083226;22.306452;67.064516;6.3;3.311957;68.548387;null;
1976-11-30;5;207.8;null;null;277.1;4.755556;null;76.9;996.753333;33.6;23.07;null;65.45;6.3;3.505556;62.916667;null;
1976-12-31;5;246;null;null;297.9;4.602151;null;6.8;996.039785;34.677419;null;null;62.032258;6.6;3.78172;61.612903;null;
1977-01-31;5;110.1;null;null;140.2;7.902174;21;302;997.144086;30.935484;null;null;81.701613;6.1;2.830108;44.209677;null;
1977-02-28;5;73.1;null;null;158.6;7.592593;18;350.6;998.238095;30.3;null;null;84.205357;5.6;2.208333;44.910714;null;
1977-03-31;5;82.8;null;null;155.8;7.766667;24;469.9;997.376344;30.922581;null;null;85.903226;5;2.307527;55.483871;null;
1977-04-30;5;65.4;null;null;153.7;7.888889;26;279.2;997.596667;30.593333;null;null;86.366667;5.6;2.166292;56.833333;null;
1977-05-31;14;76.5;null;null;243.4;6.355556;21;194.9;998.308602;30.5;null;null;84.419355;7.3;2.060215;66.935484;null;
1977-06-30;14;94.9;null;null;246.3;5.055556;12;108.6;999.235556;30.33;null;null;81.358333;4.6;2.01;66.75;null;
1977-07-31;14;146.1;null;null;272.6;3.630435;11;37.9;999.552688;30.683871;null;null;75.443548;5.6;2.476344;68.387097;null;
1977-08-31;14;187.8;null;null;324.4;3.282609;0;0;998.984946;32.767742;null;null;66.596774;6.5;2.937634;70;null;
1977-09-30;36;225.1;null;null;279.2;4.111111;0;0;998.548889;34.2;null;null;62.1;6.6;3.435556;63.666667;null;
1977-10-31;9;225.5;null;null;285;4.010753;0;0;997.694624;34.809677;null;null;63.153226;6.3;3.576344;62.903226;null;
1977-11-30;36;231.1;null;null;236;3.8;1;.1;996.777778;34.876667;25.55;null;60.558333;7.1;3.8;62.333333;null;
