Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;147.1;null;null;247;6.44086;12;92.6;null;1008.196774;30.925806;27.589677;25.158065;76.298387;12;5.849462;45.698925;
1970-02-28;9;131.8;null;null;253.7;5.809524;17;39;null;1007.619048;31.132143;27.608571;24.789286;75.633929;10;5.178571;45.238095;
1970-03-31;9;90.2;null;null;164.7;7.086022;21;220.8;null;1007.577419;30.477419;26.673548;23.670968;84.193548;10;4.268817;42.473118;
1970-04-30;9;71.5;null;null;200.7;6.511111;24;578.6;null;1007.931111;29.973333;26.566667;23.763333;85.466667;12;4.366667;43.888889;
1970-05-31;9;107.8;null;null;288.8;4.860215;12;53.5;null;1008.515054;30.56129;26.832903;23.658065;80.25;10;5.344086;45.376344;
1970-06-30;9;88.3;null;null;253.7;5.188889;16;89.2;null;1009.988889;29.906667;26.262667;23.14;80.158333;9;5.122222;46.111111;
1970-07-31;14;119.1;null;null;290.8;4.268817;9;33.2;null;1010.573118;30.593548;26.265806;22.474194;75.782258;12;5.72043;46.666667;
1970-08-31;9;144.6;null;null;305.9;3.655914;11;15.3;null;1009.515054;30.554839;26.52129;22.793548;74.645161;12;6.419355;45.268817;
1970-09-30;9;174.4;null;null;293.7;3.855556;8;4.1;null;1009.054444;30.803333;27.017333;23.953333;74.491667;12;7.422222;46.222222;
1970-10-31;9;210.9;null;null;313.6;3.827957;9;6;null;1008.103226;31.151613;27.230968;24.080645;76.540323;12;6.473118;46.451613;
1970-11-30;9;163.4;null;null;267.8;5.377778;11;47.1;null;1007.097778;30.71;27.113333;24.17;76.175;10;5.822222;46;
1970-12-31;9;169.4;null;null;287.6;5.172043;7;12.5;null;1007;31.5;27.601935;24.525806;76.58871;12;6.537634;45.741935;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;9;115.4;null;null;207.9;6.793478;21;124.5;null;1008.677174;30.632258;27.548387;24.658065;80.395161;9;3.619565;45.217391;
1973-02-28;9;86.6;null;null;165.2;6.785714;19;384.7;null;1008.044048;30.071429;26.88;24.267857;84.678571;8;3.011905;44.404762;
1973-03-31;9;51.5;null;null;142.3;7.064516;29;424.2;null;1007.767742;29.493548;26.382581;23.909677;90.201613;7;2.150538;41.72043;
1973-04-30;14;45.7;null;null;102.1;7.988889;29;407.7;null;1007.82;29.233333;25.862;23.25;90.691667;8;1.888889;43.555556;
1973-05-31;14;65.8;null;null;191.6;6.397849;24;324.4;null;1008.553763;29.612903;26.147097;23.451613;86.862903;8;2.967742;45.16129;
1973-06-30;0;62.7;null;null;209.6;5.633333;24;231.9;null;1008.962222;29.533333;25.8;23.063333;86.516667;10;2.811111;45.666667;
1973-07-31;9;68.2;null;null;215.4;5.602151;21;195.9;null;1009.954839;29.103226;25.653548;22.835484;84.524194;8;3.139785;44.83871;
1973-08-31;9;126.3;null;null;310.7;3.817204;10;25.8;null;1009.696774;30.26129;26.349677;22.825806;78.75;10;4.44086;46.666667;
1973-09-30;9;151.9;null;null;300.4;4.255556;10;38.8;null;1009.778889;30.59;26.938667;23.633333;77.2;12;5.311111;46.333333;
1973-10-31;9;182.5;null;null;306.8;4.096774;5;12.9;null;1007.463441;31.667742;27.616129;24.158065;73.048387;12;4.408602;46.344086;
1973-11-30;9;175.9;null;null;292.9;5.088889;7;26.8;null;1007.78;31.416667;27.75;24.796667;72.608333;9;4.722222;46.444444;
1973-12-31;9;174.6;null;null;293.4;4.774194;9;11.3;null;1007.615054;31.522581;27.698065;24.619355;72.241935;12;4.666667;46.55914;
1974-01-31;9;105.4;null;null;195.9;6.655914;17;318;null;1007.074194;30.016129;26.449677;23.358065;81.072581;7;2.430108;44.301075;
1974-02-28;0;56.9;null;null;141.7;7.369048;21;204.2;null;1006.496429;29.460714;25.773571;22.732143;86.508929;9;2.321429;44.880952;
1974-03-31;0;48.6;null;null;84.9;8.634409;26;547.1;null;1007.063441;28.706452;25.229032;22.658065;89.16129;9;1.580645;44.086022;
1974-04-30;0;39.7;null;null;107.8;7.788889;28;641.8;null;1008.196667;28.536667;25.278667;22.76;89.791667;7;1.492222;41.666667;
1974-05-31;0;42.9;null;null;135.5;6.913978;28;680.9;null;1009.243011;28.567742;24.930323;22.303226;89.862903;6;1.311828;42.903226;
1974-06-30;14;77.1;null;null;235.6;5.411111;23;150.5;null;1008.954444;29.373333;25.259333;22.37;83.833333;10;2.8;43.688889;
1974-07-31;14;114.9;null;null;274.8;3.946237;10;21.5;null;1010.997849;29.712903;25.047742;21.66129;77.983871;10;3.935484;45.913978;
1974-08-31;9;144.6;null;null;312.1;3.892473;8;31.8;null;1010.088172;30.119355;25.550968;22.077419;76.693548;10;4.397849;45.16129;
1974-09-30;9;162.1;null;null;299.3;4.133333;16;62.4;null;1009.543333;30.013333;26.16;22.75;76.458333;14;5.566667;45.888889;
1974-10-31;9;176;null;null;286.9;5.010753;12;25.3;null;1008.670968;30.225806;26.592903;23.603226;75.467742;10;4.709677;44.731183;
1974-11-30;9;173.1;null;null;279.6;5.155556;10;19.7;null;1007.566667;30.633333;26.936667;23.92;72.116667;9;4.177778;45.555556;
1974-12-31;9;117.7;null;null;256.4;5.580645;18;84.1;null;1007.410753;29.951613;26.513548;23.5;80.298387;12;3.591398;44.516129;
1975-01-31;9;113.6;null;null;224;6.096774;18;101.9;null;1007.62043;30.087097;26.78129;23.870968;82.217742;8;2.913978;44.086022;
1975-02-28;9;71.3;null;null;144.8;6.845238;22;131.5;null;1008.086905;29.785714;26.706429;23.55;83.705357;7;2.642857;44.166667;
1975-03-31;9;57.4;null;null;143.1;7.193548;24;483.7;null;1008.143011;29.335484;25.883226;22.945161;88.104839;5;2.096774;42.473118;
1975-04-30;9;53.4;null;null;186.8;6.677778;27;252.7;null;1007.421111;29.91;26.312667;23.176667;86.666667;6;2.255556;43.888889;
1975-05-31;18;43.3;null;null;130.2;7.408602;29;421.8;null;1008.148387;28.970968;25.549032;22.896774;89.709677;7;2.075269;43.010753;
1975-06-30;14;56.2;null;null;250;5.544444;20;157.7;null;1009.867778;29.046667;25.818;23.113333;84.208333;9;3.344444;45.888889;
1975-07-31;14;81.5;null;null;245.4;5.709677;15;119.7;null;1009.969892;29.896774;25.036774;21.445161;83.41129;8;3.11828;45.376344;
1975-08-31;9;147.6;null;null;293.2;3.978495;7;12.1;null;1010.215054;30.851613;26.146452;22.358065;79.596774;14;4.516129;46.236559;
1975-09-30;9;147.8;null;null;274;3.977778;13;35.9;null;1009.864444;31.013333;26.570667;22.993333;74.441667;9;4.188889;46.555556;
1975-10-31;9;125.5;null;null;285.9;4.483871;6;13.7;null;1008.523656;31.051613;27.085161;24.193548;75.193548;9;4.043011;46.451613;
1975-11-30;9;99.7;null;null;267.5;4.688889;7;13.4;null;1007.798889;31.02;27.308667;24.27;74.291667;9;3.955556;45.777778;
1975-12-31;9;82.4;null;null;239.9;5.634409;21;92.1;null;1006.934409;29.964516;26.701935;23.735484;81.629032;8;3.344086;45.483871;
1976-01-31;9;110.2;null;null;237.5;5.688172;15;53.5;null;1006.919355;30.612903;27.044516;24.1;77.782258;9;3.83871;46.666667;
1976-02-29;9;48.4;null;null;149.3;6.885057;24;382.1;null;1007.55977;28.927586;25.927586;23.034483;85.844828;7;2.264368;44.022989;
