Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08534
Longitude: -63.145144
Altitude: 34.18
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;null;null;null;null;null;22;142.5;null;null;31.16129;null;23.13871;null;null;null;null;
1970-02-28;0;40.5;null;null;127.3;6.301205;23;297.4;null;1003.393976;30.771429;25.801429;22.028571;89.375;1;.698795;13.25;
1970-03-31;0;44.8;null;null;147.1;6.086022;21;297.7;null;1003.724731;30.922581;25.957419;22.051613;88.709677;1;.591398;16.225806;
1970-04-30;0;35.8;null;null;140.5;6.677778;21;291.3;null;1004.631111;30.42;25.750667;21.646667;90.308333;1;.59;10.4;
1970-05-31;0;44.6;null;null;214.2;6.053763;21;244.7;null;1004.825806;31.448387;26.047097;21.296774;87.806452;1;.634409;15.064516;
1970-06-30;18;30.5;null;null;211.6;5.611111;15;70.9;null;1005.452222;31.193333;25.869333;21.66;86.525;1;.8;14.9;
1970-07-31;18;43.3;null;null;147.7;6.258065;12;72.3;null;1006.353763;30.683871;25.765161;21.845161;85.612903;1;.731183;13.903226;
1970-08-31;0;69.1;null;null;null;5.268817;12;49.7;null;1004.398925;32.722581;26.837419;22.967742;82.943548;1;.645161;17.934426;
1970-09-30;0;61.3;null;null;166.4;5.3;16;66.1;null;1003.884444;32.4;26.670667;22.873333;83.65;1;.566667;15.118644;
1970-10-31;0;66.1;null;null;null;5.301075;10;111.1;null;1002.675269;33.374194;27.345806;23.141935;82.33871;1;.580645;16.225806;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;0;44.6;null;null;137.7;6.576087;16;160.4;null;1002.131522;31.664516;26.36129;22.832258;87.975806;1;.478261;8.677419;
1971-01-31;0;38.3;null;null;120.5;6.88172;20;250.5;null;1002.654839;31.077419;25.645161;22.483871;89.225806;1;.580645;6.935484;
1971-02-28;0;18.3;null;null;null;6.416667;19;208.4;null;1002.583333;30.485714;25.14;21.964286;89.973214;1;.583333;10.035714;
1971-03-31;18;30.9;null;null;129.7;6.451613;17;387.1;null;1002.354839;31.064516;25.736774;22.722581;89.056452;1;.655914;10.419355;
1971-04-30;0;18;null;null;153;6.077778;12;278.4;null;1003.327778;31.02;25.848;22.626667;88.866667;1;.588889;13.466667;
1971-05-31;0;16.4;null;null;148;6.376344;18;318.6;null;1004.088172;30.922581;25.821935;22.612903;89.354839;1;.548387;10.129032;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;0;49;null;null;201.7;4.934783;null;166.3;null;1003.803261;31.954839;25.898065;22.090323;86.258065;1;.554348;14.774194;
1971-08-31;18;52.7;null;null;217.4;5.967742;null;115.1;null;1004.164516;31.851613;25.837419;22.064516;86.669355;1;.612903;12.16129;
1971-09-30;18;63;null;null;230.4;5.411111;null;117.7;null;1002.998889;33.14;26.387333;22.303333;84.641667;1;.688889;16.1;
1971-10-31;18;54.6;null;null;175.7;6.290323;null;104.5;null;1002.81828;32.16129;26.249032;22.393548;86.524194;1;.677419;10.709677;
1971-11-30;0;47.9;null;null;164.4;6.344444;null;211.7;null;1001.854444;32.02;26.128;22.72;87.958333;1;.588889;10.7;
1971-12-31;0;65;null;null;210.5;6.043011;null;126.4;null;1001.175269;33.251613;26.948387;23.070968;85.193548;1;.387097;12.451613;
1972-01-31;0;45.3;null;null;135.4;6.494624;15;229.1;null;1001.892473;31.522581;25.628387;22.374194;89.564516;1;.505376;11.048387;
1972-02-29;0;43.7;null;null;134.4;6.632184;21;428.7;null;1002.722989;31.468966;25.623448;22.158621;89.741379;1;.494253;8.517241;
1972-03-31;0;52;null;null;150.6;6.483871;null;183.2;null;1002.48172;31.819355;25.96129;22.470968;88.435484;1;.655914;9.83871;
1972-04-30;0;42;null;null;121.8;7.011111;15;137.6;null;1002.842222;31.846667;26.162667;22.753333;89.466667;1;.566667;7.4;
1972-05-31;0;36.9;null;null;173.3;6.516129;18;207.9;null;1002.652688;32.077419;26.274839;22.903226;89.766129;1;.612903;11.225806;
1972-06-30;0;48.7;null;null;195.2;6.088889;15;177.5;null;1003.254444;32.38;26.369333;22.733333;87.608333;1;.544444;11.9;
1972-07-31;0;49.3;null;null;229.5;5.516129;null;71.7;null;1003.743011;32.922581;26.766452;22.748387;86.5;1;.569892;14.483871;
1972-08-31;0;32.3;null;null;237.3;5.247312;null;32.1;null;1003.024731;33.348387;26.829677;22.445161;83.935484;1;.655914;12.327869;
1972-09-30;0;61.6;null;null;224.3;5.277778;null;187;null;1002.87;33.906667;26.974667;22.406667;83.133333;1;.511111;15.2;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;0;48.7;null;null;171.7;6.224719;null;183.4;null;1001.788764;33.246667;26.76;22.606667;87.35;1;.539326;11.3;
1972-12-31;0;49.8;null;null;156;5.322581;null;237.2;null;1002.311828;33.064516;26.780645;22.580645;88.483871;1;.612903;10.852459;
1973-01-31;18;52.1;null;null;173.4;5.086022;17;238.8;null;1003.122581;31.941935;26.405161;22.245161;87.282258;1;.688172;12.16129;
1973-02-28;18;51.7;null;null;131.3;5.452381;null;186.4;null;1002.821429;31.521429;26.34;22.792857;88.625;1;.642857;11.818182;
1973-03-31;0;52.1;null;null;160.6;5.72043;18;404.4;null;1002.180645;null;null;22.43871;89.072581;1;.645161;10.129032;
1973-04-30;0;41.3;null;null;120.8;5.722222;19;346.4;null;1002.94;null;null;22.133333;91.075;1;.588889;9.5;
1973-05-31;0;38.9;null;null;145.1;5.591398;20;360.9;null;1003.711828;null;null;21.887097;91.935484;1;.451613;11;
1973-06-30;0;44.1;null;null;183.5;5.011111;null;186;null;1003.717778;null;null;21.933333;90.958333;1;.494382;13.3;
1973-07-31;18;49;null;null;180.3;5.344086;null;148.1;null;1004.246237;null;null;21.225806;89.758065;1;.612903;14.193548;
