Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.276986
Longitude: -55.993087
Altitude: 24.5
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;null;32.8;null;null;100.2;.887097;24;249.1;null;999.748387;31.025806;25.454839;22.264516;null;9.3;1.303333;null;
1970-02-28;null;30.8;null;null;119;.896429;22;330.3;null;999.641667;31.77037;25.766667;22.625;null;6.7;1.492857;null;
1970-03-31;null;32.1;null;null;125.1;.719355;21;252.8;null;999.815054;31.845161;25.832903;22.674194;null;12.3;2.751613;null;
1970-04-30;null;29.2;null;null;124.1;.861111;24;355.8;null;1000.215556;31.414286;25.817857;22.826667;null;6.7;1.065;null;
1970-05-31;null;47.1;null;null;211.9;.475269;11;62.8;null;1000.627957;32.516129;25.925806;21.854839;null;6.7;2.069355;null;
1970-06-30;null;73.1;null;null;224.5;.377778;5;37.7;null;1001.641111;33.833333;25.536667;20.06;null;6.7;1.503333;null;
1970-07-31;null;133.1;null;null;301.3;.244086;0;0;null;1002.87957;34.354839;24.782581;17.525806;null;5;1.353226;null;
1970-08-31;null;143.5;null;null;248.6;.306452;2;64.3;null;1001.197849;35.558065;25.062581;17.177419;null;6;1;null;
1970-09-30;null;64.6;null;null;178.6;.583333;20;108.8;null;999.717778;33.84;25.864667;20.73;null;4;1.183333;null;
1970-10-31;null;56.8;null;null;170.8;.850538;22;161.7;null;998.919355;33.693548;25.723871;21.096774;null;10;1.290323;null;
