Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2019-08-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;35.2;null;null;174.8;6.27957;18;139.7;null;27.316129;21.530323;17.9;82.677419;2.4;.406452;24.247312;null;
1970-02-28;0;33.9;null;null;169.2;6.154762;null;92;null;27.607143;21.750714;17.892857;81.928571;2.4;.375;23.511905;null;
1970-03-31;0;15.2;null;null;86.7;8.698925;22;311.1;null;25.183871;21.116774;17.787097;90.120968;2.4;.319355;17.043011;null;
1970-04-30;0;19;null;null;139.5;7.477778;19;357.8;null;25.47;21.216;17.986667;89.8;2.4;.266667;21.5;null;
1970-05-31;0;29;null;null;215.3;5.258065;10;108.3;null;26.03871;21.165161;17.522581;86.733871;2.4;.377419;24.784946;null;
1970-06-30;0;23.2;null;null;159.6;6.444444;14;120.4;null;25.653333;20.785333;16.86;86.608333;2.4;.056667;22.333333;null;
1970-07-31;0;39;null;null;236.2;4.978495;11;86.9;null;26.774194;20.625806;15.464516;81.564516;2.4;.374194;28.172043;null;
1970-08-31;0;51.3;null;null;230.2;3.967742;14;66;null;26.845161;20.611613;15.480645;80.112903;2.4;.554839;26.677419;null;
1970-09-30;0;49.8;null;null;243.6;4.177778;5;10.3;null;28.09;21.053333;16.82;77.458333;2.4;.253333;27.666667;null;
1970-10-31;0;49.6;null;null;247.6;4.462366;6;14.6;null;28.966667;21.556667;17.412903;77.096774;2.4;.374194;27.849462;null;
1970-11-30;0;38.1;null;null;215.5;5.355556;11;39.6;null;27.8;21.328;17.623333;80.5;2.4;.286667;27.677778;null;
1970-12-31;0;48.1;null;null;236.7;5.387097;8;56.2;null;28.254839;21.686452;17.832258;79.379032;2.4;.335484;25.913978;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;5;47.3;null;null;129.5;8.326087;null;65.6;null;24.690323;20.96129;17.796774;87.733871;6.6;3.159783;24.891304;null;
1973-02-28;5;41.4;null;null;107.6;7.142857;null;154.2;null;24.464286;20.457857;15.882143;87.75;7.6;3.429762;26.666667;null;
1973-03-31;5;28.7;null;null;80.7;8;20;151.2;null;23.516129;20.63871;16.896774;92.290323;7.6;2.932258;24.354839;null;
1973-04-30;5;25.3;null;null;40.8;9.122222;27;280.2;null;23.026667;20.031333;15.82;93.491667;5.6;2.422222;18.833333;null;
1973-05-31;5;34;null;null;121.4;8.139785;22;250.1;null;23.106452;20.229677;17.132258;93.951613;6.6;3.343011;26.827957;null;
1973-06-30;5;24.2;null;null;129;7.911111;16;77.5;null;22.586667;19.658;15.693333;94.416667;6.6;3.287778;24.722222;null;
1973-07-31;36;25.9;null;null;138.8;7.849462;null;60.2;null;22.293548;19.501935;16.870968;92.403226;5.3;3.230108;26.451613;null;
1973-08-31;5;47.8;null;null;243.3;6.096774;null;13.7;null;24.329032;null;null;90.314516;9.3;3.849462;33.27957;null;
1973-09-30;36;62.7;null;null;229.7;6.655556;null;16.6;null;25.493333;null;null;90;6.6;4.161111;29.822222;null;
1973-10-31;32;76.6;null;null;250.6;6.032258;null;12.4;null;26.374194;20.786452;17.316129;85.177419;7.8;3.932258;32.580645;null;
1973-11-30;32;70.1;null;null;227.1;5.522222;null;10.4;null;25.95;null;null;85.333333;11.3;3.338889;31.755556;null;
1973-12-31;32;75.4;null;null;213.4;5.139785;null;0;null;25.545161;17.247742;null;82.193548;6.1;3.068817;32.526882;null;
1974-01-31;32;58;null;null;151.8;6.892473;null;0;null;24.742857;null;null;86.483871;5.1;2.288172;27.795699;null;
1974-02-28;32;29.8;null;null;83.9;8.238095;null;0;null;23.385714;null;null;92.366071;7.5;3.002381;20.607143;null;
1974-03-31;32;22.6;null;null;47.4;8.956989;null;.1;null;null;null;null;93.274194;6.6;2.836559;17.505376;null;
1974-04-30;0;13.2;null;null;49.9;8.955556;null;.2;null;null;null;null;93.325;4.5;1.116667;19.666667;null;
1974-05-31;14;17.4;null;null;77.2;7.580645;18;201.5;null;21.858824;19.745882;18.204762;93.75;6;1.913978;23.548387;null;
1974-06-30;9;11.6;null;null;102.4;7.488889;21;225.3;null;null;null;17.926667;94;8;3.605556;22.833333;null;
1974-07-31;14;23.1;null;null;176.4;6.075269;null;71.6;null;null;null;12.504;89.879032;8.3;4.209677;29.569892;null;
1974-08-31;9;30.3;null;null;225.4;5.44086;null;16.6;null;23.722727;null;null;86.975806;8;3.863441;30.322581;null;
1974-09-30;9;15.5;null;null;162.9;6.744444;17;81.8;null;24.594444;null;null;88.058333;7;3.608889;30.111111;null;
1974-10-31;9;40;null;null;171.6;5.290323;17;28.9;null;25.303226;null;null;86.306452;6.6;3.827957;35.376344;null;
1974-11-30;9;69.1;null;null;178.7;5.655556;18;11.3;null;25.26;null;null;85.275;7.3;4.408889;33.444444;null;
1974-12-31;5;47.4;null;null;161.7;7.268817;19;124.2;null;24.719355;null;null;87.306452;7.5;4.310753;24.946237;null;
1975-01-31;9;45.2;null;null;144.6;7.258065;16;46.3;null;24.780645;null;null;87.451613;7.3;4.105376;24.139785;null;
1975-02-28;9;32.2;null;null;25.5;8.107143;20;239.3;null;23.985714;null;null;91.857143;6.8;3.260714;19.5;null;
1975-03-31;9;23.3;null;null;3.1;7.709677;26;321.1;null;23.641935;null;null;92.685484;6.3;3.08172;19.301075;null;
1975-04-30;9;23;null;null;113.7;7.777778;23;240.2;null;23.736667;null;null;91.366667;6.6;2.897778;20.277778;null;
1975-05-31;14;25.3;null;null;94.3;8.623656;28;301.9;null;22.977419;null;null;92.870968;6.6;2.798925;20.451613;null;
1975-06-30;14;22.1;null;null;115.3;7.944444;21;252.2;null;22.143333;null;null;93.091667;6.6;3.775556;19.555556;null;
1975-07-31;18;40.6;null;null;165.4;6.935484;22;144.4;916.735714;21.758065;17.790323;16.815789;87.225806;8.3;3.71828;28.709677;null;
1975-08-31;14;57.8;null;null;222.3;6.290323;16;53.4;916.728261;23.116129;19.19871;16.867742;85.862903;9.8;4.275269;31.989247;null;
1975-09-30;14;78.9;null;null;230.8;5.788889;17;52.8;915.958889;24.793333;19.637333;17.18;81.666667;7.3;4.506667;29.888889;null;
1975-10-31;5;71.5;null;null;194.8;6.903226;17;40;915.818478;25.174194;20.110968;17.983871;84.354839;8;4.282796;28.763441;null;
1975-11-30;9;89.6;null;null;214.4;6.411111;null;19.9;914.805682;25.85;20.626667;18.3;83.25;8;4.587778;31.777778;null;
1975-12-31;9;53.3;null;null;176.5;6.935484;22;175.4;null;24.36129;20.194839;18.206452;88.693548;10.8;4.610753;25.698925;null;
1976-01-31;5;53.7;null;null;165.5;7.473118;25;125.1;913.707609;24.454839;20.135484;18.293548;88.040323;7.5;4.12043;24.086022;null;
1976-02-29;5;29.2;null;null;96.9;8.333333;25;271.9;914.325287;23.624138;20.246207;18.558621;91.801724;6.6;3.177011;18.298851;null;
