Nome: BARRA DO CORDA
Codigo Estacao: 82571
Latitude: -5.50638888
Longitude: -45.23722221
Altitude: 154.17
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;69.2;null;null;140.7;7.193548;16;197.3;null;null;30.177419;25.172903;21.858065;84.66129;5;1.150538;58.794521;
1970-02-28;0;68.9;null;null;166.4;6.27381;null;190.3;null;null;30.721429;25.457857;21.7;84.982143;5;1.54881;2.290909;
1970-03-31;0;68.6;null;null;182.9;6.358696;13;89.2;null;null;30.593548;25.262;21.809677;86.2;5;1.478261;59.064516;
1970-04-30;0;58.9;null;null;156.9;6.833333;10;83.6;null;null;30.646667;25.346667;21.7;87.95;5;.877778;60.333333;
1970-05-31;0;81.6;null;null;215.3;5.021505;4;37.5;null;null;30.770968;24.41871;19.177419;83.967742;9;.967742;null;
1970-06-30;0;110;null;null;237.7;4.147727;3;46.2;null;null;31.01;24.369655;18.616667;78.767241;7;1.595506;null;
1970-07-31;0;211.6;null;null;283.6;2.593407;null;0;null;null;32.583333;24.612667;17.367742;64.941667;9;2.097826;null;
1970-08-31;0;247.9;null;null;288.1;2.698925;0;0;null;null;34.264516;26.215484;18.877419;56.032258;7;2.112903;null;
1970-09-30;0;182.7;null;null;212.2;4.555556;6;68.2;null;null;34.12;26.844;20.78;62.383333;7;1.422222;59.666667;
1970-10-31;0;189.1;null;null;222.1;4.602151;4;11.8;null;null;34.309677;27.488387;22.412903;62.516129;7;1.376344;60;
1970-11-30;0;85;null;null;142.2;6.662921;17;174.5;null;null;30.716667;25.317241;21.703333;81.077586;8;1.168539;52.316667;
1970-12-31;0;90.4;null;null;211.2;5.623656;9;57.5;null;null;31.835484;25.530323;21.258065;80.024194;5;1.129032;60;
1971-01-31;null;89.6;null;null;173.3;null;9;96.1;null;null;30.667742;null;20.993548;null;null;null;null;
1971-02-28;null;59.8;null;null;151.5;null;16;187.2;null;null;30.028571;null;20.746429;null;null;null;null;
1971-03-31;null;61.5;null;null;151.3;null;16;386.8;null;null;30.23871;null;21.325806;null;null;null;null;
1971-04-30;null;50.1;null;null;150.9;null;17;294.3;null;null;29.87;null;21.443333;null;null;null;null;
1971-05-31;null;81.2;null;null;223.9;null;null;29.1;null;null;30.448387;null;20.612903;null;null;null;null;
1971-06-30;null;101.4;null;null;250.3;null;null;18.7;null;null;30.8;null;19.523333;null;null;null;null;
1971-07-31;null;140;null;null;275.6;null;null;21;null;null;31.486667;null;18.86129;null;null;null;null;
