Nome: MORADA NOVA
Codigo Estacao: 82588
Latitude: -5.13666666
Longitude: -38.35666666
Altitude: 45.02
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;185;null;null;242.7;4.978495;5;80.5;null;35.412903;28.421935;23.93871;63.830645;10;3.526882;52.989247;null;
1970-02-28;14;173.2;null;null;251.6;4.72619;null;26.8;null;35.857143;28.760714;24.164286;62.669643;9;3.428571;54.5;null;
1970-03-31;0;88.5;null;null;236.8;6.602151;15;122;null;32.7;26.867097;23.167742;78.766129;9;2.236559;53.139785;null;
1970-04-30;0;117.1;null;null;236.6;5.4;7;73.5;null;33.833333;27.798667;23.54;73.958333;8;2.211111;52.933333;null;
1970-05-31;14;165.2;null;null;286.1;3.408602;4;26.6;null;34.867742;27.884516;22.745161;66.725806;10;3.043011;54.494624;null;
1970-06-30;14;170.5;null;null;240;4.244444;3;11.2;null;34.623333;27.837333;22.626667;62.266667;10;3.388889;52.888889;null;
1970-07-31;14;215.6;null;null;279.6;3.978495;2;6.6;null;34.829032;27.770323;22.306452;56.887097;8;3.634409;54.645161;null;
1970-08-31;14;245.8;null;null;269.3;3.580645;0;0;null;35.283871;27.952258;22.548387;55.096774;10;3.967742;53.741935;null;
1970-09-30;14;233.6;null;null;302.3;2.255556;1;8.2;null;36.336667;28.145333;22.55;57.866667;10;3.744444;55.533333;null;
1970-10-31;14;223.5;null;null;306.9;2.860215;1;8;null;36.758065;28.371613;22.983871;59.620968;10;3.924731;55.096774;null;
1970-11-30;9;199.1;null;null;255.8;4.233333;2;6.4;null;36.203333;28.558667;23.65;60.091667;10;3.966667;54.444444;null;
1970-12-31;14;226.2;null;null;289.3;3.709677;0;0;null;36.683871;28.96129;23.941935;60.298387;10;3.978495;54.193548;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;0;101.3;null;null;237.6;6.108696;null;272.2;null;33.980645;27.699355;23.880645;75.983871;9;1.98913;52.652174;null;
1973-02-28;0;96.5;null;null;183.5;5.666667;null;76.2;null;34.05;27.784286;23.839286;74.383929;9;1.642857;52.333333;null;
1973-03-31;0;63.3;null;null;178;6.516129;20;320;null;32.558065;26.952903;23.648387;85.080645;10;1.247312;51.032258;null;
1973-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-11-30;5;386.8;null;null;289.7;3.910112;null;0;1006.192135;null;null;22.99;57.675;7.6;4.865169;47.191011;null;
1973-12-31;9;357.9;null;null;294.6;4.16129;null;19.6;1006.123656;null;null;null;60.532258;6.5;4.224731;46.55914;null;
1974-01-31;9;199.8;null;null;238.8;6.096774;null;203.9;1005.737778;33.02;27.034667;23.041935;71.916667;6.6;3.201075;43.548387;null;
1974-02-28;9;90.3;null;null;169.6;7.583333;19;163.6;1005.481928;null;null;22.7;81.509259;6;2.133333;46.428571;null;
1974-03-31;0;null;null;null;null;6.050633;null;187.5;1005.4875;null;null;22.642308;null;7.3;1.751282;41.075949;null;
1974-04-30;null;null;null;null;null;null;15;155.7;1006.930435;30.23125;25.64375;23.24;86.233333;5.5;null;null;null;
