Nome: APODI
Codigo Estacao: 82590
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.37
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;228.9;null;null;263.3;6.215054;6;20.1;null;35.219355;28.410968;23.870968;68.177419;7;1.666667;54.086022;null;
1970-02-28;0;216.9;null;null;264.1;5.714286;3;42.5;null;35.692857;28.825714;24.117857;64.839286;9;2.404762;55.380952;null;
1970-03-31;0;112.7;null;null;245.9;6.408602;19;273.2;null;33.087097;27.163226;23.551613;75.951613;7;1.258065;54.860215;null;
1970-04-30;0;132;null;null;248.7;6.811111;12;101.4;null;33.543333;27.567333;23.66;73.3;7;1.044444;55.155556;null;
1970-05-31;14;154.2;null;null;307.9;4.623656;6;7.5;null;33.825806;27.744516;22.96129;67.209677;7;1.774194;55.698925;null;
1970-06-30;0;154.8;null;null;247.7;4.844444;5;34.3;null;33.776667;28.008;22.93;62.033333;9;2.155556;54.755556;null;
1970-07-31;14;177.7;null;null;274;4.333333;3;11.1;null;33.63871;27.854839;22.632258;58.677419;9;4.612903;54.645161;null;
1970-08-31;14;268.8;null;null;270.7;3.913978;4;3;null;34.083871;27.906452;22.912903;58.016129;9;3.215054;54.537634;null;
1970-09-30;14;255.3;null;null;285.7;3.6;2;5.1;null;35.286667;27.934667;22.64;60.083333;5;1.622222;55.844444;null;
1970-10-31;14;278.5;null;null;305.5;3.27957;0;0;null;36.4;28.204516;22.909677;60.443548;9;2.688172;55.849462;null;
1970-11-30;14;260.8;null;null;274.8;4.933333;2;6.8;null;36.05;28.420667;23.3;60.941667;9;2.911111;54.911111;null;
1970-12-31;5;286.5;null;null;300.8;4.215054;1;2;null;36.377419;28.773548;23.622581;59.709677;9;3.451613;51.16129;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
