Nome: MOSSORO
Codigo Estacao: 82591
Latitude: -5.213412
Longitude: -37.312164
Altitude: 37.99
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2008-10-01
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;5;258.3;null;null;257.2;null;6;79.2;1011.636957;33.625806;28.109677;23.73871;67.806452;12;.581522;33.370787;null;
1970-02-28;5;223.3;null;null;277.6;null;4;38;1011.069048;34.089286;28.400714;23.632143;69.642857;4;.539286;null;null;
1970-03-31;0;120.3;null;null;212.6;6.434783;20;184.7;1011.607527;32.290323;26.880645;23.03871;83.314516;0;0;null;null;
1970-04-30;null;111.5;null;null;236.5;5.655556;12;129.8;1011.884444;32.473333;27.056;22.733333;79.458333;null;null;null;null;
1970-05-31;null;211.4;null;null;259.5;3.752688;3;8.7;null;34.190323;27.876774;22.790323;66.5;null;null;null;null;
1970-06-30;null;208.1;null;null;209.4;4.7;4;5.6;null;33.663333;27.068667;22.044828;66.566667;null;null;null;null;
1970-07-31;null;228.2;null;null;262.7;4.483871;7;8.8;null;33.777419;27.290968;21.545161;63.33871;null;null;null;null;
1970-08-31;null;284.8;null;null;247.3;4.172043;4;9.2;null;33.8;27.423226;21.883871;61.467742;null;null;null;null;
1970-09-30;null;306.7;null;null;289.2;3.433333;0;0;null;34.626667;28.026667;22.406667;66.083333;null;null;null;null;
1970-10-31;null;260.2;null;null;324.1;3.053763;0;0;null;34.377419;27.96;22.729032;69.862903;null;null;null;null;
1970-11-30;null;228.9;null;null;284.9;3.855556;0;0;1007.806742;34.04;28.139333;23.22;74.241667;null;null;null;null;
1970-12-31;9;317.8;null;null;285;3.946237;0;0;1007.601075;34.664516;28.292258;23.454839;64.290323;12;5.021739;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
