Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;9;189.5;null;null;null;4.924731;1;51.2;null;30.7;27.287097;22.051613;70.766129;10;5.333333;40;null;
1970-02-28;14;206.5;null;null;null;3.869048;2;17;null;32.014286;27.696429;22.285714;66.080357;9;5.404762;39.285714;null;
1970-03-31;14;162.1;null;null;null;6.709677;10;121.9;null;31.412903;27.201935;21.983871;75.25;8;4.258065;40;null;
1970-04-30;14;156.1;null;null;null;6.166667;8;117.5;null;31.6;27.277333;21.916667;74.6;9;4.644444;40;null;
1970-05-31;14;248.5;null;null;null;3.860215;5;24.8;null;32.412903;27.201935;21.293548;69.5;10;6.032258;40;null;
1970-06-30;14;234.9;null;null;null;4.322222;7;13.2;null;31.203333;26.502667;20.926667;70.85;10;5.444444;40;null;
1970-07-31;14;243.7;null;null;null;3.795699;3;13.4;null;31.56129;26.337419;20.287097;68.137097;10;6.086022;40;null;
1970-08-31;14;295.8;null;null;null;3.784946;2;6.4;null;31.683871;26.115484;20.287097;67.016129;10;6.892473;39.354839;null;
1970-09-30;14;260.7;null;null;null;2.544444;1;3.8;null;31.793333;26.452;20.84;68.241667;12;6.744444;40;null;
1970-10-31;9;258.6;null;null;null;2.172043;0;0;null;30.658065;26.577419;21.074194;71.112903;10;6.025806;40.290323;null;
1970-11-30;9;252.7;null;null;null;3.544444;0;0;null;30.4;26.766667;21.586667;72.308333;12;6.244444;40.011111;null;
1970-12-31;5;244.6;null;null;null;3.236559;0;0;null;30.996774;27.222581;22.174194;69.41129;10;6.150538;40;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
