Nome: ARAGUAINA
Codigo Estacao: 82659
Latitude: -7.103778
Longitude: -48.20133
Altitude: 231.85
Situacao: Operante
Data Inicial: 1984-08-20
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1984-08-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1984-09-30;null;144.9;null;null;175;.641111;8;111;985.071111;33.496667;25.326667;19.496667;null;6;2.292222;null;null;
1984-10-31;null;87.1;null;null;139.5;.678495;15;181.7;985.115054;null;null;20.374194;null;4;1.263441;null;null;
1984-11-30;null;34;null;null;144.7;.604444;15;115.3;985.023333;30.938462;24.791538;20.446667;null;5;1.363333;null;null;
1984-12-31;null;56.7;null;null;133.8;.645161;15;110.1;983.786022;31.009677;24.979355;20.851613;null;5;1.212903;null;null;
1985-01-31;36;54.1;null;null;54.2;7.586022;26;528.7;988.622581;28.955556;24.054815;21.192593;90.87037;3;1.098925;44.4;null;
1985-02-28;36;49.3;null;null;107;8.404762;25;469.1;989.182143;29.917857;24.129286;20.85;89.116071;3;1.034524;44.75;null;
1985-03-31;36;59.9;null;null;111.5;7.225806;23;302.8;987.523656;30.887097;25.097419;21.809677;88.798387;4;.874194;61.526882;null;
1985-04-30;0;52.9;null;null;100.7;7.622222;26;438.9;988.075556;29.78;24.358667;21.296667;90.016667;3;.518889;55.444444;null;
1985-05-31;0;101.7;null;null;205.9;4.580645;12;148.7;988.250538;31.316129;24.450323;19.774194;84.056452;3.5;.663441;68.086022;null;
1985-06-30;0;165.8;null;null;226.1;3.822222;5;35.1;992.782222;31.376667;23.534;17.886667;76.158333;3;.374444;72.977778;null;
1985-07-31;0;271.3;null;null;282.1;2.827957;1;1;993.044086;32.570968;23.523226;16.341935;67.983871;3;.654839;78.27957;null;
1985-08-31;0;276.7;null;null;289.7;2.107527;2;17.3;989.144086;34.129032;24.489032;16.758065;64.564516;5;.886022;61.688172;null;
1985-09-30;0;237;null;null;201.1;3.766667;8;95.1;986.558889;33.943333;25.212;18.573333;68.05;4;.582222;42.711111;null;
1985-10-31;0;153.3;null;null;115.9;6.408602;16;199.5;985.864516;30.977419;24.903226;21.109677;85.008065;5;.45914;55.322581;null;
