Nome: SAO FELIX DO PIAUI
Codigo Estacao: 82669
Latitude: -5.8
Longitude: -42.17
Altitude: 184
Situacao: Desativada
Data Inicial: 1976-02-29
Data Final: 1983-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1976-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1976-04-30;14;97;null;null;249.6;5.078652;10;74.2;993.586517;31.55;25.492667;21.372414;78.441667;4;1.466292;40.449438;null;
1976-05-31;14;151.5;null;null;281.4;4.053763;6;12.3;994.032258;33.029032;26.185806;20.796667;68.846774;4.1;1.384946;40;null;
1976-06-30;14;267.3;null;null;288.4;3.7;2;2.6;994.297778;34.436667;27.016;20.362069;50.891667;6;2.204444;40;null;
1976-07-31;14;383.6;null;null;314.6;2.677419;0;0;996.026882;35.012903;27.823871;20.164516;38.645161;5.6;2.708602;40;null;
1976-08-31;14;401.4;null;null;316.1;3.655914;1;.2;995.108602;35.790323;28.825806;21.245161;35.693548;6.6;2.773118;40;null;
1976-09-30;5;347.6;null;null;284.1;4.388889;4;30.8;993.938889;36.006667;29.185333;22.631034;41.641667;6.3;2.746667;40;null;
1976-10-31;5;246.4;null;null;248.9;5.935484;11;68.2;992.306452;34.603226;27.987097;23.214286;56.33871;6;2.209677;40;null;
1976-11-30;5;196.1;null;null;243;5.544444;9;105.8;991.976667;33.98;27.720667;22.934483;60.633333;4;2.031111;40;null;
1976-12-31;5;270.6;null;null;268.5;5.172043;12;25;991.151613;35.912903;28.649677;23.141379;54;5;2.233333;40;null;
1977-01-31;18;113.9;null;null;153.6;7.827957;22;256.8;992.990323;31.080645;26.132903;22.393548;76.733871;5;1.734409;39.569892;null;
1977-02-28;18;66.3;null;null;129.9;7.238095;17;230.9;993.761905;30.396429;25.202857;21.371429;84.026786;5;1.328571;39.52381;null;
1977-03-31;14;60.4;null;null;159.9;7.537634;30;292.9;993.354839;30.974194;null;null;86.564516;6.3;1.26129;39.032258;null;
1977-04-30;0;66.5;null;null;168.1;7.277778;19;395.8;993.515556;30.476667;null;null;84.441667;5.3;1.481111;36.111111;null;
1977-05-31;14;94.2;null;null;253.3;5.483871;21;127;993.995699;31.329032;23.034839;null;79.435484;4.6;1.769892;40;null;
1977-06-30;14;137.7;null;null;248.7;4.388889;9;59.1;995.282222;31.563333;25.722;21.1;73.683333;6.1;1.997778;40;null;
1977-07-31;14;292.2;null;null;290.2;3.494624;1;.5;995.553763;33.535484;26.773548;20.496774;52.056452;6.1;2.688172;40;null;
1977-08-31;14;386.9;null;null;328.2;2.462366;2;1;994.52043;35.909677;28.578065;21.212903;41.677419;5.3;2.846237;40;null;
1977-09-30;14;392.4;null;null;267.5;4.488889;4;7.1;994.303333;36.743333;30.162;23.556667;40.216667;6.5;2.787778;40;null;
1977-10-31;14;338.2;null;null;262.8;5.88172;5;37.7;993.645161;36.629032;30.493548;24.596774;44.879032;5.6;2.452688;40;null;
1977-11-30;5;274.4;null;null;259.4;4.622222;5;35.7;993.873333;36.333333;29.718667;23.85;48.35;5.5;2.251111;40;null;
1977-12-31;14;200.3;null;null;186.4;5.784946;11;268;993.35914;33.170968;27.616774;22.783871;64.975806;5;1.795699;37.204301;null;
1978-01-31;18;95.3;null;null;177.9;5.913978;15;231.6;994.002151;30.845161;26.060645;22.125806;78.508065;4.6;1.458065;38.935484;null;
1978-02-28;5;111.3;null;null;175.4;5.714286;9;162.3;993.240476;32.114286;26.626429;22.446429;76.107143;4.3;1.714286;38.928571;null;
1978-03-31;14;88.7;null;null;170.2;7.569892;21;260;994.074194;30.7;25.604516;21.751613;81.032258;5.3;1.668817;39.032258;null;
1978-04-30;18;86.8;null;null;212.2;6.733333;17;171;993.241111;31.376667;26.196;22.793333;81.158333;5.5;1.595556;39.444444;null;
1978-05-31;14;90.1;null;null;216.2;5.763441;19;217;993.841935;30.970968;25.768387;22.122581;80.41129;4;1.497849;40;null;
1978-06-30;14;197.3;null;null;263.3;3.966667;1;1.9;996.1;32.003333;25.996;20.566667;63.333333;6.3;2.41;39.555556;null;
1978-07-31;14;222.6;null;null;274.6;4.860215;11;37.2;994.702151;33.425806;26.591613;21.316129;62.330645;6.6;2.134409;40;null;
1978-08-31;14;392.5;null;null;306.8;2.55914;2;5.7;995.57957;35.180645;28.409677;21.470968;42.16129;7;2.906452;40.107527;null;
1978-09-30;14;396.2;null;null;285.8;4.766667;2;8.5;994.027778;36.506667;30.137333;23.82;40.166667;6.3;2.705556;40;null;
1978-10-31;14;326.3;null;null;262.3;5.655914;10;69.8;992.673118;36.206452;29.815484;23.964516;47.290323;6.3;2.453763;40;null;
1978-11-30;0;236.3;null;null;260.3;5.366667;7;173.3;992.195556;34.313333;28.218667;22.933333;58.566667;5;.68254;37.888889;null;
1978-12-31;18;133.5;null;null;188.1;5.83871;8;73.3;992.994624;32.196774;26.955484;22.703226;72.064516;4.8;1.710753;40;null;
1979-01-31;null;94.9;null;null;134;null;15;274.8;null;31.648148;null;22.611111;null;null;null;null;null;
1979-02-28;18;null;null;null;113.8;7.216216;16;222.3;986.114865;30.696;25.5864;22.012;82.13;4.6;1.625676;59.2;null;
1979-03-31;18;95.2;null;null;214.1;6.36;18;147.6;985.225333;31.719355;26.3;22.287097;80.86;4.5;1.594667;60;null;
1979-04-30;14;null;null;null;186.2;5.666667;9;70.7;985.71875;32.429167;26.48;22.445833;77.96875;6.8;1.7875;null;null;
1979-05-31;null;118.8;null;null;203.6;null;15;39.4;null;31.717241;null;21.975862;null;null;null;null;null;
1979-06-30;null;null;null;null;null;null;null;0;null;33.354545;null;20.845455;null;null;null;null;null;
1979-07-31;null;null;null;null;null;null;1;12.3;null;34.89;null;20.545;null;null;null;null;null;
1979-08-31;null;null;null;null;null;null;5;18;null;35.245455;null;23.077273;null;null;null;null;null;
1979-09-30;null;null;null;null;null;null;2;3.8;null;null;null;null;null;null;null;null;null;
1979-10-31;null;null;null;null;null;null;5;34.4;null;null;null;null;null;null;null;null;null;
1979-11-30;null;null;null;null;null;null;3;61;null;33.921053;null;23.257895;null;null;null;null;null;
1979-12-31;null;null;null;null;196.2;null;6;50.3;null;33.811538;null;22.626923;null;null;null;null;null;
1980-01-31;null;null;null;null;159;null;14;160.6;null;31.534615;null;22.519231;null;null;null;null;null;
1980-02-29;18;null;null;null;84.6;8.194444;17;417.3;992.783333;29.858333;25.386667;22.5875;84.697917;5.5;1.566667;59.166667;null;
1980-03-31;18;88.7;null;null;204.4;6.409091;9;114.3;993.030303;31.692593;26.216364;22.181481;75.113636;5;1.925758;null;null;
1980-04-30;null;116.8;null;null;224.1;null;14;60.5;993.759091;32.477778;26.438667;22.555556;72.366667;6.3;null;null;null;
1980-05-31;null;null;null;null;null;null;4;1.8;null;34.105;null;22.535;null;null;null;null;null;
1980-06-30;null;null;null;null;null;null;1;.1;null;35.393333;null;22.566667;null;null;null;null;null;
1980-07-31;null;null;null;null;null;null;1;1.6;null;null;null;null;null;null;null;null;null;
1980-08-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1980-09-30;null;null;null;null;null;null;1;.2;null;null;null;null;null;null;null;null;null;
1980-10-31;null;null;null;null;null;null;null;0;null;null;null;null;null;null;null;null;null;
1980-11-30;null;null;null;null;null;null;7;33.7;null;34.48125;null;24.05;null;null;null;null;null;
1980-12-31;null;null;null;null;null;null;10;55.4;null;33.52381;null;22.938095;null;null;null;null;null;
1981-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1981-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
