Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;14;281.8;null;null;187.6;1.978495;3;78.6;null;33.083871;25.743226;22.529032;57.120968;8;3.376344;32.795699;null;
1970-02-28;14;263.8;null;null;186.9;1.940476;2;60.8;null;32.157143;25.328571;21.835714;58.732143;7;3.261905;33.333333;null;
1970-03-31;14;239.9;null;null;154.7;2.516129;9;86;null;30.967742;25.033548;21.993548;61.766129;7;3.010753;33.333333;null;
1970-04-30;9;101;null;null;null;2;2;40.2;null;31.36;24.826667;20.313333;66.225;6;2.888889;33.333333;null;
1970-05-31;14;160.3;null;null;228.6;3.88172;2;5.9;null;32.593548;25.663871;19.848387;62.41129;8;2.698925;33.333333;null;
1970-06-30;14;166;null;null;208;1.933333;1;.2;null;31.193333;25.220667;21.21;66.2;8;2.933333;33.333333;null;
1970-07-31;14;190.5;null;null;221.3;1.569892;0;0;null;31.948387;25.03871;19.819355;59.548387;8;3.537634;33.333333;null;
1970-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1970-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;9;null;null;null;184.2;7.23913;12;74.9;null;31.329032;22.643871;null;73.225806;9;2.76087;32.163043;null;
1973-02-28;0;null;null;null;156.8;7.095238;8;79.8;null;31.553571;null;null;74.25;7;2.321429;33.333333;null;
1973-03-31;9;null;null;null;204;6.763441;15;42;965.852542;32.051613;25.159355;21.659259;77.201613;9;3.311828;33.333333;null;
1973-04-30;0;null;null;null;133.2;7.255556;21;215.5;965.718889;29.543333;24.569333;21.376667;85.733333;10;2.333333;32.388889;null;
1973-05-31;14;null;null;null;212.2;6.516129;7;81.1;966.645161;29.425806;23.930323;19.741935;82.669355;7;3.163043;32.903226;null;
1973-06-30;14;null;null;null;186.1;6.144444;15;50.5;967.022222;29.43;23.648667;19.303333;84.266667;7;2.544444;32.388889;null;
