Nome: SAO GONCALO
Codigo Estacao: 82689
Latitude: -6.83583333
Longitude: -38.31166666
Altitude: 237.04
Situacao: Operante
Data Inicial: 1970-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;156.3;null;null;231.4;5.354839;6;130.3;null;33.948387;27.456774;22.212903;63.967742;4.2;.804301;38.924731;null;
1970-02-28;0;149.2;null;null;236.4;3.404762;5;167.5;null;34.739286;27.557857;21.982143;61.866071;3.1;.890476;39.285714;null;
1970-03-31;0;61.6;null;null;232.7;5.268817;18;244.6;null;32.116129;26.218065;21.416129;76.290323;2;.809677;38.924731;null;
1970-04-30;0;88.1;null;null;253.7;3.544444;6;76.8;null;32.69;26.541333;21.423333;68.683333;3.1;1.055556;39.888889;null;
1970-05-31;0;137.4;null;null;280.4;2.311828;0;0;null;33.151613;26.276129;19.46129;63.282258;3.5;1.348387;39.677419;null;
1970-06-30;0;153.2;null;null;202.8;4.833333;1;23.4;null;33.23;26.504667;20.06;64.491667;5.6;1.61;38.666667;null;
1970-07-31;0;150.6;null;null;289.9;2.053763;1;1.2;null;32.535484;25.983871;19.532258;59.516129;8.7;2.27957;39.892473;null;
1970-08-31;14;205.9;null;null;277.9;2.795699;2;7.9;null;33.374194;26.821935;20.529032;53.645161;8.7;2.933333;39.032258;null;
1970-09-30;0;190;null;null;296.5;.844444;0;0;null;34.816667;27.69;20.836667;51.141667;7.6;2.472222;39.444444;null;
1970-10-31;0;187;null;null;282.9;2.354839;3;24;null;35.035484;27.920645;21.651613;56.104839;7.2;1.587097;38.924731;null;
1970-11-30;0;162.3;null;null;249.9;3.155556;1;11.6;null;34.293333;27.672;21.783333;56.358333;6;1.311111;39;null;
1970-12-31;0;186;null;null;292.3;2.193548;1;4.5;null;36.322581;29.59871;23.193548;49.266129;5.2;1.005376;39.247312;null;
1971-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1971-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1972-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
1973-01-31;5;151.2;null;null;267.9;5.532609;7;43.6;null;33.448387;27.644516;22.790323;58.451613;6.1;2.545652;40;null;
1973-02-28;5;135;null;null;234;6.25;11;142.2;null;34.392857;28.019286;22.871429;61.017857;5.8;2.108333;39.52381;null;
1973-03-31;5;83.8;null;null;272.9;5.698925;13;98;null;32.603226;26.707742;22.774194;75.967742;3.8;1.812903;39.462366;null;
1973-04-30;5;66.6;null;null;229.9;7.077778;25;441.3;983.665556;31.17;25.771333;21.9;78.925;4.6;1.883333;38.888889;null;
1973-05-31;14;90.5;null;null;289.4;4.193548;13;66.6;984.854839;30.719355;25.465161;20.983871;76.354839;5.6;1.919355;39.892473;null;
1973-06-30;14;106.6;null;null;254.4;5.1;13;80.2;985.336667;30.743333;25.306;21.15;74.608333;4.6;2;39.777778;null;
1973-07-31;14;165;null;null;290.7;4.11828;9;63.7;986.133333;31.370968;25.373548;20.03871;65.403226;5.3;2.302151;39.569892;null;
1973-08-31;14;210.2;null;null;322.2;2.741935;4;6.6;985.598925;33.66129;26.443871;19.377419;51.806452;6.3;2.870968;39.247312;null;
1973-09-30;14;245.4;null;null;294.2;3.855556;3;2.1;985.387778;34.61;28.178667;21.6;48.275;7;3.582222;39.888889;null;
1973-10-31;5;223.8;null;null;313.8;3.516129;4;73.3;983.021505;34.770968;28.052258;21.954839;49.387097;7;3.158065;39.354839;null;
1973-11-30;5;247.4;null;null;304;3.911111;1;.7;982.988889;35.433333;28.622667;22.346667;47.775;7.1;3.357778;39.888889;null;
1973-12-31;5;213.6;null;null;311.5;5.107527;6;16.4;982.915054;34.841935;28.449677;22.790323;47.959677;5.8;3.051613;40;null;
1974-01-31;5;143.7;null;null;261.8;5.569892;14;308.4;982.716129;32.745161;26.694194;21.706452;60.330645;8.3;2.322581;39.354839;null;
1974-02-28;5;66;null;null;241.9;6.630952;21;320.1;982.703571;30.889286;25.475714;21.157143;71.830357;7.3;1.804762;39.404762;null;
